str_no_string|¡NO STRING!
str_comment_you_enfiefed_a_commoner_hesitant|Al parecer habéis concedido {s51} a un plebeyo que se hace llamar {s54}. Tened cuidado. Aprender el arte de gobernar no es tarea fácil, y tal vez sea mejor que pase de padres a hijos. Os aconsejo que no juguéis a crear nuevos nobles.
str_comment_you_enfiefed_a_commoner_derisive|Al parecer habéis concedido {s51} a un plebeyo que se hace llamar {s54}. ¿No sabéis por los ancianos que no debéis hacer togas reales con pieles de cerdo?
str_comment_you_enfiefed_a_commoner_nasty|Al parecer habéis concedido {s51} a un plebeyo que se hace llamar {s54}. ¡Prestad más atención! Un perro puede volverse contra su dueño.
str_comment_marriage_normal_family|Felicitaciones por vuestro casamiento con mi {s11} {s50}. ¡Ahora ya os podéis considerar parte de la familia!
str_comment_marriage_normal|Felicitaciones por vuestro casamiento con {s50}. Sois dignos el uno del otro.
str_comment_marriage_normal_nasty|Bueno... veo que os habéis casado con {s50}. Siempre fue una muchacha tonta, con muy poco seso.
str_comment_marriage_elopement_family|Bueno... de algún modo, habéis persuadido a mi {s11} {s50} para casarse con vos. No sé que hicisteis para convencerla, pero nuestra familia no olvidará esta humillación.
str_comment_marriage_elopement_liege|He oído que os fugasteis con {s50}, en contra de los deseos de su familia. Eso no me agrada. No me gusta ver como se ríen de los grandes señores de mi reino
str_comment_you_broke_truce_as_my_vassal|He oído que habéis roto mi tregua al atacar {s55}. ¿Os dais cuenta cómo me hace quedar esto? Si habéis actuado bajo mis órdenes, es deshonroso por mi parte. Si habéis ido por vuestra cuenta, quedo en ridículo. Me estoy planteando acusaros de traición ahora mismo.
str_comment_you_attacked_neutral_as_my_vassal|He oído que habéis atacado a siervos de los {s55}. Les habéis dado una excusa para atacarme, si quieren... ya veremos en qué desemboca todo esto. ¡Os habéis lucido, desde luego!
str_personality_archetypes|señor feudal
str_martial|marcial
str_quarrelsome|malhumorado
str_selfrighteous|implacable
str_cunning|astuto
str_debauched|sádico
str_goodnatured|de buen corazón
str_upstanding|de honor impecable
str_roguish|pícaro
str_benevolent|benevolente
str_mercantile|mercantilista
str_surrender_demand_default|¡Rendíos o morid!
str_surrender_demand_martial|La suerte no está de vuestro lado hoy. Podréis luchar contra nosotros, pero no es indigno que os rindáis ahora.
str_surrender_demand_quarrelsome|Os tengo entre la espada y la pared. Rendíos, u os mataré como a un perro.
str_surrender_demand_pitiless|No podéis vencerme y os llevaréis una dolorosa lección si lo intentáis. ¡Rendíos!
str_surrender_demand_cunning|Hoy no sois rival para nosotros. ¡Rendíos! ¡Si no por vos, pensad al menos en vuestros hombres!
str_surrender_demand_sadistic|¡Rendíos u os destriparé como a un pez!
str_surrender_demand_goodnatured|Nosotros tenemos la ventaja. Rendíos y os trataremos dignamente.
str_surrender_demand_upstanding|Podéis luchar contra nosotros, pero muchos de vuestros hombres caerán y probablemente perderéis la batalla. Rendíos y ahorradnos el baño de sangre.
str_surrender_offer_default|¡Deteneos! ¡Me rindo!
str_surrender_offer_martial|¡Deteneos! ¡Me rindo!
str_surrender_offer_quarrelsome|¡Basta! ¡Hoy ganáis vos, {perro/perra}! ¡Argh, qué vergüenza!
str_surrender_offer_pitiless|¡Me rindo! Habéis ganado. ¡Maldito el día!
str_surrender_offer_cunning|¡Deteneos! ¡Me rindo ante vos!
str_surrender_offer_sadistic|¡Me rindo! ¡Me rindo! ¡Detened a vuestros perros!
str_surrender_offer_goodnatured|¡Me rindo! ¡Enhorabuena por vuestra victoria, {señor/señora}!
str_surrender_offer_upstanding|¡Me rindo! ¡Concededme los privilegios de guerra y sed honorable!
str_lord_declines_negotiation_offer_default|Puede ser, pero deseo luchar con vos
str_lord_declines_negotiation_offer_martial|Puede ser, pero es mi obligación luchar con vos
str_lord_declines_negotiation_offer_quarrelsome|¡Ja! Quiero luchar con vos
str_lord_declines_negotiation_offer_pitiless|¿Por qué habría de importarme? Deseo luchar con vos
str_lord_declines_negotiation_offer_cunning|Ah. Veréis, por desgracia, deseo luchar con vos
str_lord_declines_negotiation_offer_sadistic|¡Cuidad esa lengua! La necesitaréis pronto, para pedir clemencia
str_lord_declines_negotiation_offer_goodnatured|Lo siento... no puedo permitir que os vayáis sin más. ¿Sin rencores?
str_lord_declines_negotiation_offer_upstanding|Puede ser, pero mi deber hacia mi señor requiere que luche con vos
str_prisoner_released_default|Tenéis mi gratitud, {señor/señora}. No olvidaré vuestra gentileza.
str_prisoner_released_martial|Sois {un hombre/una mujer} de honor, {señor/señora}. ¡No lo olvidaré!
str_prisoner_released_quarrelsome|¿Soy libre? Bueno... en ese caso, adiós.
str_prisoner_released_pitiless|Gracias. Cuando os venza, pediré que vuestra ejecución sea rápida y piadosa. A menos que os unáis a nosotros... Adiós, por ahora.
str_prisoner_released_cunning|¿Sí? Sois {un buen hombre/una buena mujer}. Intentaré encontrar una forma de pagároslo.
str_prisoner_released_sadistic|¿Sí? ¿Tan refinada es vuestra crueldad que preferís verme libre y humillado a tenerme encadenado? ¡Disfrutad de vuestro triunfo!
str_prisoner_released_goodnatured|Sois {un hombre/una mujer} de honor, {señor/señora}. ¡No lo olvidaré!
str_prisoner_released_upstanding|Sois {un hombre/una mujer} de honor, {señor/señora}. ¡No lo olvidaré!
str_enemy_meet_default|¿Quién sois vos que os presentáis con vuestras armas ante mí?
str_enemy_meet_martial|¿Cuál es vuestro nombre, {señor/señora}? Si debemos enfrentarnos, quisiera saber contra quién lucho.
str_enemy_meet_quarrelsome|¿Quién diablos sois?
str_enemy_meet_pitiless|¿Quién sois? Hablad, así sabré a quién he matado.
str_enemy_meet_cunning|Decidme vuestro nombre. Siempre es bueno conocer al enemigo.
str_enemy_meet_sadistic|¿Quién sois? Hablad rápido antes de que os arranque la lengua.
str_enemy_meet_goodnatured|¿Cuál es vuestro nombre, {señor/señora}? Si llegamos a las manos, quisiera saber contra quién lucho.
str_enemy_meet_upstanding|¿Quién sois vos que venís con vuestras armas a disputar nuestra noble causa?
str_battle_won_default|Hoy habéis demostrado ser {un aliado valioso/una aliada valiosa}.
str_battle_won_martial|¡No hay mayor fortuna que la oportunidad de mostrar nuestra valía en el campo de batalla!
str_battle_won_quarrelsome|¡Ja! Les hemos enseñado algo a esos bastardos, ¿eh?
str_battle_won_pitiless|¡Juntos haremos que nuestros enemigos teman nuestro nombre y tiemblen al vernos venir!
str_battle_won_cunning|Ahora que estamos en ventaja debemos presionar y así no malgastaremos la sangre derramada hoy.
str_battle_won_sadistic|Saqueemos a los muertos y dejémosles para los cuervos, y así todos sabrán el destino que les espera a quienes se cruzan en nuestro camino.
str_battle_won_goodnatured|¡Bien hecho! No hay mejor alegría que la de la victoria, ¿eh?
str_battle_won_upstanding|Demos gracias a los cielos por nuestra victoria y recemos por los buenos hombres que han caído hoy.
str_battle_won_grudging_default|Hoy habéis sido el factor determinante en la batalla. Pese a lo que piense de vos, no puedo negaros vuestro valor.
str_battle_won_grudging_martial|{playername}, hoy habéis demostrado ser {un hombre/una mujer} de valor, pese a las faltas cometidas en el pasado.
str_battle_won_grudging_quarrelsome|Hmf. Vuestra cara no es una que me apetezca ver, pero supongo que hoy debo agradecer vuestra ayuda.
str_battle_won_grudging_pitiless|Vuestra ayuda ha sido muy valiosa hoy. Imagino que no me habéis ayudado por amabilidad, pero de todas formas os lo agradezco.
str_battle_won_grudging_cunning|No sería prudente por mi parte no agradecer vuestra ayuda en un momento de necesidad. Así que... Tenéis mi gratitud.
str_battle_won_grudging_sadistic|¡Bueno! ¡Qué emoción! {playername} ha venido a salvarme.
str_battle_won_grudging_goodnatured|¡{playername}! No puedo decir que siempre nos hayamos llevado bien, pero hoy habéis luchado con valor. ¡Os doy las gracias!
str_battle_won_grudging_upstanding|Tal vez me equivocaba con vos. Vuestra llegada ha sido muy oportuna. Tenéis mi gratitud.
str_battle_won_unfriendly_default|Así que estáis aquí. Bueno, mejor tarde que nunca.
str_battle_won_unfriendly_martial|Hemos cruzado duras palabras en el pasado, pero por ahora, simplemente disfrutemos de la victoria.
str_battle_won_unfriendly_quarrelsome|Si estáis esperando que os lo agradezca, podéis seguir haciéndolo. No necesitaba vuestra ayuda, pero supongo que no teníais nada mejor que hacer, ¿verdad?
str_battle_won_unfriendly_pitiless|Habéis llegado como un chacal a serviros de lo que ha matado el león. Muy bien, disfrutad de la carroña. No os detendré.
str_battle_won_unfriendly_cunning|{playername}... Bueno, supongo que vuestra llegada no fue algo malo, pero no voy a fingir que estoy feliz de veros.
str_battle_won_unfriendly_sadistic|¡Salid de aquí, {carroñero/carroñera}! Ésta es mi victoria, por mucho que queráis robarme la gloria para vos.
str_battle_won_unfriendly_goodnatured|Oh, sois vos. Bueno, supongo que debo agradeceros la ayuda.
str_battle_won_unfriendly_upstanding|Gracias por venir en mi ayuda. Ahora me retiro, antes de que diga algo de lo cual me arrepienta.
str_troop_train_request_default|Necesito alguien como vos para ponerlos en forma.
str_troop_train_request_martial|Necesitan a alguien que les enseñe el sentido del valor.
str_troop_train_request_quarrelsome|Miserables zánganos. Me dan arcadas de verlos.
str_troop_train_request_pitiless|Tienen más miedo al enemigo que a mí, y eso no es bueno.
str_troop_train_request_cunning|Pero los hombres, al igual que las espadas, se templan y endurecen con el fuego.
str_troop_train_request_sadistic|Necesitan que alguien les dé unos latigazos para enseñarles lo que es el coraje, o que los mate en el intento.
str_troop_train_request_goodnatured|Son buenos chicos, pero me temo que aún no están listos para la batalla.
str_troop_train_request_upstanding|Enviarlos a una batalla así como están ahora sería un asesinato.
str_unprovoked_attack_default|¿Qué? ¿Por qué nos atacáis? ¡Hablad, granuja!
str_unprovoked_attack_martial|No tengo objeciones a un juicio de armas, pero me gustaría saber por qué nos atacáis.
str_unprovoked_attack_quarrelsome|Estáis cometiendo un gran error, {muchacho/muchacha}. ¿Qué creéis que estáis haciendo?
str_unprovoked_attack_pitiless|¿Sí? Si realmente queréis morir hoy me sentiré feliz de complaceros, pero tengo curiosidad por saber qué pretendéis conseguir.
str_unprovoked_attack_cunning|¿En serio? Creo que actuáis de forma muy poco prudente. ¿Qué pretendéis conseguir con todo esto?
str_unprovoked_attack_sadistic|¿Qué es esto? ¿Os gusta que os arranquen los ojos?
str_unprovoked_attack_goodnatured|¿Por qué hacéis esto? No tenemos querellas, {señor/señora}.
str_unprovoked_attack_upstanding|Considero éste un ataque sin provocación y protestaré a vuestro rey. ¿Por qué hacéis esto?
str_unnecessary_attack_default|No dudaré en mataros si me presionáis, pero os ofrezco la oportunidad de que os vayáis ahora mismo.
str_unnecessary_attack_martial|Estoy deseando aceptar vuestro desafío, {señor/señora}, pero os daré un minuto para que lo reconsideréis.
str_unnecessary_attack_quarrelsome|¡Bah! No estoy de humor para tales tonterías hoy. Idos de aquí.
str_unnecessary_attack_pitiless|Hoy me siento dadivoso. Fingiré que nos os he escuchado.
str_unnecessary_attack_cunning|No veo qué podríais ganar al hacerme vuestro enemigo. Tal vez deberíais iros.
str_unnecessary_attack_sadistic|No tengo tiempo que perder con una babosa como vos. Fuera de mi vista.
str_unnecessary_attack_goodnatured|No sé qué ganáis al desafiarme, {señor/señora}. Aún podéis iros.
str_unnecessary_attack_upstanding|Si queréis luchar, {señor/señora}, entonces lucharemos, pero os ofrezco la oportunidad de reconsiderarlo.
str_lord_challenged_default|Como queráis. ¡Preparaos para morir!
str_lord_challenged_martial|Que así sea. ¡Defendeos!
str_lord_challenged_quarrelsome|¡Idiota imprudente! ¡Os aplastaré!
str_lord_challenged_pitiless|Si tanto deseáis morir, entonces tendré que complaceros.
str_lord_challenged_cunning|Bueno, si no me dejáis otra opción...
str_lord_challenged_sadistic|¡Basura! Os haré desear no haber nacido.
str_lord_challenged_goodnatured|Muy bien. Esperaba que no llegásemos a esto, pero veo que no tengo otra opción.
str_lord_challenged_upstanding|Que así sea. Me entristece que no seáis capaz de razonar.
str_lord_mission_failed_default|Bueno, me decepciona, pero tengo la seguridad de que dispondréis de oportunidades para redimiros.
str_lord_mission_failed_martial|No es ningún honor el fracasar en una misión para la que os habéis comprometido, pero acepto vuestra palabra.
str_lord_mission_failed_quarrelsome|¿Habéis fracasado? Bah. Debería habérmelo imaginado.
str_lord_mission_failed_pitiless|¿Habéis fracasado? Vaya. Me decepcionáis. Y eso no es nada bueno.
str_lord_mission_failed_cunning|Bueno, es una decepción, pero nadie puede garantizar que los vientos de la fortuna siempre sean favorables.
str_lord_mission_failed_sadistic|¿Sí? Quienes me fallan no siempre viven para lamentarlo.
str_lord_mission_failed_goodnatured|Oh, bueno. De todas formas era algo demasiado complicado. Gracias por vuestro esfuerzo.
str_lord_mission_failed_upstanding|Muy bien. Tengo la seguridad que habéis hecho todo lo que habéis podido.
str_lord_follow_refusal_default|¿Seguiros? Olvidáis vuestra posición, {señor/señora}.
str_lord_follow_refusal_martial|Tal vez si un día demostráis vuestro valor y honor me decida a seguiros. Pero no hoy.
str_lord_follow_refusal_quarrelsome|¿Seguir a alguien como vos? No lo creo.
str_lord_follow_refusal_pitiless|Los nobles como yo no seguimos a gente como vos, {señor/señora}.
str_lord_follow_refusal_cunning|Primero demostradme que no sois el tipo de {hombre/mujer} que me conducirá hacia el desastre, y entonces tal vez os siga.
str_lord_follow_refusal_sadistic|¡No lo creo! Creo que vos deberíais seguirme a mí, como un perro apaleado sigue a su amo.
str_lord_follow_refusal_goodnatured|Hum, tengo asuntos que solucionar ahora mismo. Tal vez en otro momento.
str_lord_follow_refusal_upstanding|Antes mostradme que sois alguien digno de ser seguido, y entonces puede que os siga.
str_lord_insult_default|miserable rufián
str_lord_insult_martial|truhán sin honor
str_lord_insult_quarrelsome|bastardo repugnante
str_lord_insult_pitiless|gusano de baja estofa
str_lord_insult_cunning|bruto necio
str_lord_insult_sadistic|perro baboso
str_lord_insult_goodnatured|tipo desagradable
str_lord_insult_upstanding|sinvergüenza sin escrúpulos
str_lord_derogatory_default|abyecto y vil
str_lord_derogatory_martial|cabezota
str_lord_derogatory_quarrelsome|pendenciero y conflictivo
str_lord_derogatory_pitiless|cruel, tiránico
str_lord_derogatory_cunning|sin escrúpulos y manipulador
str_lord_derogatory_sadistic|vil y deshonroso
str_lord_derogatory_goodnatured|totalmente ingenuo
str_lord_derogatory_upstanding|estirado y mojigato
str_lord_derogatory_result|ruinoso
str_lord_derogatory_martial_action|atacar al enemigo sin orden ni concierto y echar a perder las vidas de vuestros hombres
str_lord_derogatory_quarrelsome_action|buscar peleas con otros señores, dejándonos divididos y débiles
str_lord_derogatory_pitiles_action|alienar a los plebeyos, provocando revueltas y motines
str_lord_derogatory_cunning_action|pactar con el enemigo a nuestras espaldas
str_lord_derogatory_sadistic_action|traer la desgracia a nuestra causa y a nuestro reino
str_lord_derogatory_goodnatured_action|apiadarse de nuestros enemigos, en vez de luchar con ellos
str_lord_derogatory_upstanding_action|poner vuestro exagerado sentido del honor por encima de las necesidades del reino
str_rebellion_dilemma_martial|{s45} ha sufrido claras injusticias. Aunque juré lealtad a {s46}, nada me ata a él si es verdad que usurpó el trono de forma ilegal.
str_rebellion_dilemma_quarrelsome|Hum. {s46} nunca me ha compensado, así que no creo que le deba demasiado. Sin embargo, {s45} no es mucho mejor y {s46} al menos ha mostrado su verdadera cara.
str_rebellion_dilemma_pitiless|Hum. {s45} dice que {reg3?ella:él} es {reg3?la heredera legítima:el heredero legítimo} del trono. Eso es bueno, ya que anula mi juramento a {s46}. Pero de todas formas debo considerar cuidadosamente mi decisión.
str_rebellion_dilemma_cunning|Hum. He jurado lealtad a {s46}, pero los poderosos no están atados por sus juramentos como la gente normal. Nuestro deber es hacia nuestra propia habilidad de liderar, de imponer el orden y evitar la guerra de todos contra todos.
str_rebellion_dilemma_sadistic|Hum. En este mundo vil, una persona prudente debe pensar en sí misma, pues nadie más lo hará. Así pues, ¿qué ganaría yo?
str_rebellion_dilemma_goodnatured|No sé qué decir. Juré lealtad a {s46} como regente legítimo, pero si no lo es, no sé si mi juramento es válido.
str_rebellion_dilemma_upstanding|Esto es un problema. Es muy grave declarar la anulación de mi juramento a {s46} y disolver los vínculos que evitan que nuestras tierras se hundan en la anarquía. Pero también he jurado dar mi apoyo a un sucesor legítimo, y la reclamación de {s45} es válida.
str_rebellion_dilemma_2_martial|Por otro lado, {s46} nos ha liderado durante la guerra y la paz y detesto renunciar a mi juramento.
str_rebellion_dilemma_2_quarrelsome|Decidme, ¿por qué debería dar la espalda al bastardo que conozco en favor de {reg3?una mujer:un bastardo} que no conozco?
str_rebellion_dilemma_2_pitiless|Es una situación muy difícil... pedirme que decida a quién haría {reg3?reina:rey} de estas tierras. ¡Pero también es una oportunidad, el momento de recoger lo que se me debe!
str_rebellion_dilemma_2_cunning|{s46} ha sido desafiado y por ese simple motivo ya no podrá reinar tan firmemente como aquél cuyo derecho nunca ha sido cuestionado. Pero si {s45} toma el trono por la fuerza, {reg3?ella:él} nunca será tan fuerte como alguien que lo ha obtenido de forma pacífica.
str_rebellion_dilemma_2_sadistic|Tal vez si me uno a {s45} mientras {reg3?ella:él} aún es débil, {reg3?ella:él} me recompense con riquezas, pero tal vez si le llevo vuestra cabeza a {s46} me recompense aún más.
str_rebellion_dilemma_2_goodnatured|{s46} siempre me ha tratado decentemente, pero es verdad que ha sido injusto con {s45}. Tengo mis reservas sobre anular mi juramento a {s46}, pero a su vez creo que no es justo respaldar una injusticia.
str_rebellion_dilemma_2_upstanding|Creo que debo hacer lo mejor para el reino, evitar que sea asolado por la guerra civil y saqueado por sus enemigos.
str_political_philosophy_martial|Mi espada está a disposición de mi señor, siempre que él cumpla con su deber hacia mí.
str_political_philosophy_quarrelsome|Bah. Son todos una panda de desgraciados. Intento asegurarme de que los que me perjudican acaben lamentándolo.
str_political_philosophy_pitiless|Los hombres siempre intentan arrebatarse unos a otros lo que es suyo. En este mundo ingrato, cada uno debe permanecer alerta para defender sus derechos.
str_political_philosophy_cunning|Bueno, es un mundo cruel, y nos toca enfrentarnos a decisiones duras. A veces uno debe servir a un tirano para mantener la paz, pero otras veces un poco de rebelión viene bien para mantener la honestidad de los reyes. Depende de las circunstancias.
str_political_philosophy_sadistic|Mi filosofía es sencilla: mejor ser el lobo que el cordero.
str_political_philosophy_goodnatured|Bueno, deberíais dar fe de vuestras promesas, y no cometer injusticias con otros. A veces es difícil mantener el equilibrio entre ambas cosas. Juntaos con gente de confianza, y creo que será difícil que os equivoquéis mucho.
str_political_philosophy_upstanding|El reinado y el señorío se instituyeron para mantener la paz y prevenir la guerra de todos contra todos, pero eso no debe cegarnos ante la posibilidad de injusticias.
str_political_philosophy_roguish|Hmm.. supongo que mi conclusión es que es bueno ser un señor.
str_political_philosophy_benefactor|Un buen gobernante se asegura de que a todos se nos trate con justicia. Personalmente pretendo utilizar mi autoridad para mejorar la vidas de aquéllos bajo mi tutela.
str_political_philosophy_custodian|Un buen gobernante busca las condiciones propicias para que su gente prospere. Personalmente, pretendo utilizar mi fortuna para crear más fortuna, para mí y para el beneficio común.
str_rebellion_prior_argument_very_favorable|Ya he escuchado algunos argumentos en favor de vuestro candidato al trono y debo decir que estoy bastante de acuerdo.
str_rebellion_prior_argument_favorable|Ya he escuchado algunos argumentos en favor de vuestro candidato al trono y debo decir que estoy bastante de acuerdo.
str_rebellion_prior_argument_unfavorable|Ya he escuchado algunos argumentos en favor de vuestro candidato al trono, pero no los encuentro convincentes.
str_rebellion_prior_argument_very_unfavorable|Ya he escuchado algunos argumentos en favor de vuestro candidato al trono, pero no estoy de acuerdo con ellos.
str_rebellion_rival_martial|{s49} vuestro aliado {s44} cuestionó mi honor y valentía. No tengo muchas oportunidades de enfrentarme a él en batalla y hacer que se retracte de sus palabras.
str_rebellion_rival_quarrelsome|{s49} estáis trabajando con {s44}. Él es una comadreja astuta en la que no se puede confiar.
str_rebellion_rival_pitiless|{s49} parece que os habéis procurado la ayuda de {s44}, que es blando, débil, incapaz de gobernar un feudo y alguien a quien siempre he detestado.
str_rebellion_rival_cunning|{s49} {s44}, que se ha unido a vuestra causa, es terco y pendenciero, y bastante desaconsejable.
str_rebellion_rival_sadistic|{s49} no tengo deseo alguno de luchar junto a {s44}, con sus nauseabundas demostraciones de virtud.
str_rebellion_rival_goodnatured|{s49} no sé si aceptaría estar del mismo lado que {s44}, cuya reputación de crueldad es notoria.
str_rebellion_rival_upstanding|{s49} en mi opinión vuestro aliado {s44} es peligroso, no se puede confiar en él y no tiene principios.
str_rebellion_argument_favorable|respeto vuestros argumentos
str_rebellion_argument_neutral|encuentro vuestros argumentos moderadamente acertados
str_rebellion_argument_unfavorable|no me parecen acertados vuestros argumentos
str_rebellion_persuasion_favorable|exponéis vuestro caso elocuentemente
str_rebellion_persuasion_neutral|exponéis vuestro caso razonablemente
str_rebellion_persuasion_unfavorable|vuestra exposición no es convincente
str_rebellion_relation_very_favorable|os tengo el mayor de los respetos.
str_rebellion_relation_favorable|os conozco y respeto.
str_rebellion_relation_neutral|no os conozco tanto como quisiera.
str_rebellion_relation_unfavorable|no me fío de vos.
str_and_comma_3|Lo que es más, 
str_but_comma_3|Sin embargo, 
str_and_comma_1|, y 
str_but_comma_1|, pero 
str_and_comma_2|. Además, 
str_but_comma_2|. No obstante, 
str_rebellion_agree_martial|He tomado una decisión. Apoyaré a {s45} como legítimo heredero.
str_rebellion_agree_quarrelsome|Ahh, ya he pensado lo suficiente. La verdad es que nunca me gustó {s46}. Vayamos a quitarle su trono.
str_rebellion_agree_pitiless|La fortuna está de vuestro lado. He decidido unirme a vos. Espero que no hagáis que me arrepienta.
str_rebellion_agree_cunning|Ésta es una decisión peligrosa, pero tras considerarlo detenidamente, he decidido unirme a vos. Esperemos que sea lo mejor.
str_rebellion_agree_sadistic|He tomado una decisión. Apoyaré a {reg3?vuestra mujer:vuestro hombre}, {s45}. ¡Pero será mejor que os aseguréis de que reciba mi recompensa por ello!
str_rebellion_agree_goodnatured|Muy bien. Creo que {reg3?vuestra mujer:vuestro hombre} será {reg3?una buena:un buen} líder. Os apoyaré.
str_rebellion_agree_upstanding|Que así sea. Mi primer deber es para con el reino, y para evitar la anarquía apoyaré a {s45} y renunciaré a mi juramento hacia {s46}. Que los Cielos me perdonen si me equivoco.
str_rebellion_refuse_martial|Lo siento. La reclamación de {s45} es legítima, pero no es suficiente como para renunciar al juramento que he contraído con {s46}. Seré leal a mi señor.
str_rebellion_refuse_quarrelsome|No. Vuestro angelito, {s45}, no tiene lo que hay que tener para gobernar este reino. Seguiré siendo fiel a {s46}.
str_rebellion_agree_pitiless|No. No me uniré a vuestra rebelión. Me suena simplemente al lloriqueo de un niño a quien se le niega un juguete que cree suyo. Seguiré siendo leal a {s46}, cuya habilidad de liderazgo es bien conocida.
str_rebellion_agree_cunning|Lo siento. No me dais razones para confiar en vuestra victoria. Muchos morirán, pero yo no quiero estar entre ellos. Continuaré siendo leal a {s46}.
str_rebellion_agree_sadistic|No. No jugaré a ese jueguecito vuestro. Queréis una corona, pero creo que en su lugar ganaréis un viaje rápido al patíbulo y yo estaré al lado de {s46} viendo caer el hacha del verdugo.
str_rebellion_agree_goodnatured|Lo siento. No me parece bien traicionar a {s46}. No habrá resentimientos cuando nos encontremos en el campo de batalla.
str_rebellion_agree_upstanding|Lo siento. La pretensión de {s45} no es lo suficientemente firme como para infligir sobre las pobres almas de estas tierras la maldición del desorden civil. Continuaré apoyando a {s46}. Que los Cielos me perdonen si me equivoco.
str_talk_later_martial|¡Ahora no es momento de hablar de política! Estoy aquí hoy con mis camaradas, armados para la batalla. Será mejor que os preparéis para la lucha.
str_talk_later_quarrelsome|¿Esperáis que hable sobre traicionar a mi señor mientras su ejército nos rodea? ¿Es que me tomáis por idiota?
str_talk_later_pitiless|¡Cuidad vuestra lengua! Lo que tenga que decir sobre el asunto no lo diré aquí y ahora, cuando estamos rodeados por nuestros ejércitos.
str_talk_later_cunning|No es momento para discutir tal cosa. Tal vez en otro momento y otro lugar pero, por ahora, seguimos siendo enemigos.
str_talk_later_sadistic|¡Debéis cerrar la boca! ¿Sabéis qué pasaría si otros vasallos me ven hablando con vos sobre traición?
str_talk_later_goodnatured|¿Así que queréis hablar de rebelión conmigo? Intentadlo nuevamente cuando no estemos rodeados por el ejército de mi señor, y os escucharé.
str_talk_later_upstanding|Cualesquiera sean mis opiniones sobre la legitimidad de la sucesión, no las discutiré aquí y ahora. Si volvemos a vernos en privado, escucharé lo que tengáis que decir. Pero por ahora, consideradme vuestro enemigo.
str_gossip_about_character_default|Dicen que {s6} no es una persona carismática.
str_gossip_about_character_martial|Dicen que {s6} ama la guerra por encima de todo.
str_gossip_about_character_quarrelsome|Dicen que {s6} casi llegó a las manos con otro señor porque éste último hizo una broma acerca de su nariz.
str_gossip_about_character_selfrighteous|Oí que {s6} hizo ejecutar a un escudero porque el pobre hombre mató a un ciervo en sus bosques.
str_gossip_about_character_cunning|Dicen que {s6} es un oponente astuto.
str_gossip_about_character_sadistic|Dicen que {s6} se divierte torturando a sus enemigos. No me gustaría tener problemas con él.
str_gossip_about_character_goodnatured|Dicen que {s6} es un buen hombre que trata a sus subordinados decentemente. No se puede decir lo mismo de muchos nobles.
str_gossip_about_character_upstanding|La gente dice que es bueno estar al servicio de {s6}. Es bueno con sus seguidores y los recompensa cuando trabajan bien.
str_latest_rumor|El último rumor que escuchaste sobre {s6} fue:
str_changed_my_mind_martial|No obstante, vuestras sabias palabras hacen que reconsidere mi posición.
str_changed_my_mind_quarrelsome|Pero creo que ya me habéis convencido de todas formas, maldita sea. Os escucho
str_changed_my_mind_pitiless|Pero ya que lo pedís así, me dignaré a reconsiderarlo.
str_changed_my_mind_cunning|Pero, sabéis, sois excelente con las palabras, maldita sea. Me impresionáis. Os escucho.
str_changed_my_mind_sadistic|Pero como vuestra lengua de oro sabe ser bastante convincente, no rechazaré la idea todavía.
str_changed_my_mind_goodnatured|Pero lo habéis argumentado bien, así que trataré de mantener mi mente abierta.
str_changed_my_mind_upstanding|No obstante, sabéis argumentarlo bien. Os escucho.
str_swadian_rebellion_pretender_intro|Soy Isolla, legítima Reina de los Swadianos.
str_vaegir_rebellion_pretender_intro|Me llamo Valdym. Algunos me llaman 'El Bastardo'. Soy príncipe de los Vaegires, pero por derecho debería ser su rey, en lugar de mi primo Yaroglek.
str_khergit_rebellion_pretender_intro|Soy el Khan Dustum, hijo del Khan Janakir, legítimo Khan de los Khergitas.
str_nord_rebellion_pretender_intro|Soy Lethwin Buscador-Lejano, hijo de Hakrim el Viejo, y debería ser el rey de los Nórdicos de Calradia.
str_rhodok_rebellion_pretender_intro|Soy Lord Kastor, el legítimo Rey de los Rhodoks, que los liberará de la tiranía.
str_sarranid_rebellion_pretender_intro|Soy Arwa, aquélla a quien llaman la Perlada, Madre de los Sarraníes y su legítima Reina.
str_swadian_rebellion_pretender_story_1|Soy la única hija de mi padre, el Rey Esterich. Aunque soy mujer, me amaba como a un hijo y me nombró su heredera, no una, si no varias veces, ante los grandes nobles de la tierra, para que nadie dudara de sus intenciones. No hay ley que impida a las mujeres reinar, de hecho nosotros, los Swadianos, tenemos leyendas de reinas guerreras de tiempos lejanos.
str_vaegir_rebellion_pretender_story_1|Mi padre murió cuando yo era joven, dejándome a cargo de su hermano, el regente Burelek. Pero en lugar de regentar hasta que yo me hiciera mayor de edad, el usurpador utilizó su poder para acusar a mi madre de adulterio, diciendo que yo no era hijo de mi padre. Ella fue ejecutada por traición y yo fui declarado bastardo.
str_khergit_rebellion_pretender_story_1|El Khan Sanjar es mi hermano, ambos somos hijos del Khan Janakir, aunque de madres diferentes. Aunque soy el menor, todos quienes conocían al viejo Khan testificarán que durante su vida fui su favorito, y que a mí era a quien confiaba las responsabilidades del gobierno. Sanjar sólo se ocupó de acudir a banquetes y cacerías para ganarse el afecto de los comandantes más disolutos de mi padre.
