qstr_res_cape1|res cape1
qstr_Back_to_the_beginnin|Volver al comienzo...
qstr_View_next_segment...|Ver segmento siguiente...
qstr_^No_food:___{reg7}|^Sin comida:  -{reg7}
qstr_^Wage_debt:___{reg6}|^Deudas de sueldo:  -{reg6}
qstr_On_loan|On loan,
qstr_Appoint_next_marshal|Nombrad al próximo mariscal
qstr_Award_{s12}_as_fief|Entregad a {s12} como feudo
qstr_No_one|Nadie
qstr_Selected_faction_is:|La facción seleccionada es: {s10}^^{s9}
qstr_You_are_currently_re|Actualmente estáis leyendo {s8}.
qstr_You_are_not_reading_|No estáis leyendo ningún libro.
qstr_none|ninguno
qstr_{s5}_and_{s6}|{s5} y {s6}
qstr_Your_estates_are:_{s|Vuestras propiedades son: {s8}.^{s9}
qstr_Current_party_size_l|El límite actual del grupo es {reg5}.^Los modificadores del tamaño del grupo son:^^Tamaño base:  +10^Liderar: {s2}{reg1}^Carisma: {s3}{reg2}^Renombre: {s4}{reg3}^TOTAL:  {reg5}
qstr_Loyal|Leal
qstr_Devoted|Devoto
qstr_Fond|Afectuoso
qstr_Gracious|Amable
qstr_Friendly|Amigable
qstr_Supportive|Solidario
qstr_Favorable|Favorable
qstr_Cooperative|Cooperador
qstr_Accepting|Tolerante
qstr_Indifferent|Indiferente
qstr_Suspicious|Receloso
qstr_Grumbling|Reticente
qstr_Hostile|Hostil
qstr_Resentful|Resentido
qstr_Angry|Enfadado
qstr_Hateful|Odio
qstr_Revengeful|Rencoroso
qstr_Vengeful|Vengativo
qstr_Your_relation_with_t|Vuestra relación con las facciones es:^{s2}
qstr_Player_renown_is_inc|El renombre del jugador se ha incrementado en 100. 
qstr_Player_honor_is_incr|El honor del jugador ha aumentado en 1 y ahora es {reg7}.
qstr_north_region|north region
qstr_middle_region|middle region
qstr_south_region|south region
qstr_Ironsight_mode_disab|Ironsight mode disabled.
qstr_Ironsight_mode_enabl|Ironsight mode enabled.
qstr_{reg1}_{s1}_{reg2?ac|{reg1} {s1} {reg2?aceptan:acepta} la oferta.
qstr_No_one_accepts_the_o|Nadie acepta la oferta.
qstr_You_start_reading_{s|Comenzáis a leer {s2}. Pasadas unas páginas, presentís que podríais aprender mucho de este libro. Decidís mantenerlo cerca para leerlo cuando tengáis tiempo.
qstr_You_flip_through_the|Pasáis las páginas de {s2}, pero el texto os parece confuso y difícil. Intentáis comprenderlo, pero termináis con dolor de cabeza y tenéis que dejar el libro.
qstr_Villagers|Aldeanos
qstr_You_have_encountered|Os habéis encontrado con un grupo de {s1}.
qstr_You_have_engaged_{s1|Habéis atacado a {s1} mientras estaba asaltando {s3}.
qstr_You_were_caught_by_{|{s1} os ha capturado mientras vuestras fuerzas asaltaban {s3}.
qstr_You_were_victorious!|¡Victoria!
qstr_Battle_was_lost._You|Vuestras fuerzas han sido aplastadas... habéis perdido la batalla.
qstr_Your_companions_carr|Vuestros compañeros os apartan de la lucha.
qstr_You_have_defeated_th|Habéis derrotado al enemigo.
qstr_You_have_retreated_f|Os habéis retirado de la lucha.
qstr_^^Ally_Casualties:{s|^^Bajas aliadas:{s0}
qstr_{s1}_of_{s3}_managed|{s1} del {s3} ha logrado escapar.
qstr_Some_of_your_tendons|Algunos de vuestros tendones fueron dañados durante la batalla. Perdéis 1 punto de fuerza.
qstr_You_took_a_nasty_wou|Os han provocado una herida grave que os hace cojear incluso luego de haberse curado. Perdéis 1 punto de agilidad.
qstr_You_have_trouble_thi|Tras la batalla tenéis problemas para concentraros, tal vez debido a un fuerte golpe en la cabeza, y ahora sufrís de migrañas. Vuestra inteligencia se reduce en 1.
qstr_Perhaps_I_m_getting_|Tal vez estoy perdiendo mi buena suerte...
qstr_Retirement_is_starti|Lo de retirarse suena cada vez mejor.
qstr_No_matter!_I_will_pe|¡No importa! ¡Perseveraré!
qstr_What_did_I_do_to_des|¿Qué he hecho para merecer esto?
qstr_I_suppose_it_ll_make|Supongo que al menos tendré muchas anécdotas que contar...
qstr_{s9}_wants_you_to_fo|{s9} quiere que sigáis a su ejército hasta que os indique lo contrario.
qstr_The_local_road_netwo|The local road network connects {s2} to the cities of {s60}, {s61} and {s62}. This region has access to the sea.
qstr_The_local_road_networ|The local road network connects {s2} to the cities of {s60}, {s61} and {s62}.
qstr_{s8}_of_{s9}|{s8} del {s9}
qstr__Your_nation_flag_fl| Your nation flag flies over the fort gate.
qstr__You_see_the_banner_| Veis el estandarte de {s7} ondeando sobre las puertas del castillo.
qstr__Your_own_banner_fli| Vuestro estandarte ondea sobre las puertas del castillo.
qstr__You_see_the_banner_o| Veis el estandarte de {s7} ondeando sobre las puertas de la ciudad.
qstr_Cannot_besiege:_too_|Cannot besiege: too far from any center of your faction (closest centers to this {reg6?town:castle} are {s60}, {s61} and {s62}) and can't be besieged from the sea.
qstr_The_{reg6?town_s:cas|Las reservas de comida {reg6?de la ciudad:del castillo} deberían durar {reg3} días más.
qstr_The_{reg6?town_s:cast|Las reservas de comida {reg6?de la ciudad:del castillo} se han agotado y los defensores están hambrientos.
qstr_You_re_preparing_to_|Os preparáis para atacar los muros, esta labor debería finalizar en {reg9} horas.
qstr_Your_forces_are_buil|Vuestras fuerzas están construyendo una torre de asedio. Se estiman otras {reg9} horas para completar la construcción.
qstr_You_are_ready_to_att|Ya podéis atacar los muros, si así lo deseáis.
qstr_The_siege_tower_is_b|La torre de asedio está lista y ya podéis comenzar el ataque.
qstr_As_a_last_defensive_|Como última medida defensiva, os retiráis a la sala principal de la fortaleza. Vos y vuestros últimos soldados lucharéis allí desesperadamente. Si os derrotan, no tenéis ya ningún lugar a donde escapar.
qstr_You_ve_been_driven_a|Habéis perdido los muros de la ciudad. Los atacantes anegan ya las calles. Si podéis vencerlos, tal vez podáis cambiar vuestra suerte.
qstr_You_ve_breached_the_|¡Habéis conseguido atravesar los muros de la ciudad, pero los obstinados defensores continúan la resistencia en las calles! Tendréis que ocuparos de ellos antes de poder atacar el corazón de la fortaleza.
qstr_The_town_is_yours_bu|The town is yours, but the remaining defenders have retreated to the castle. It must fall before you can complete your victory.
qstr_The_remaining_defend|Los últimos defensores se han refugiado en el castillo como última barrera. Debéis entrar y aplastar a la resistencia.
qstr_However_since_you_ar|Sin embargo, al no haber jurado lealtad a {s9}, no hay posibilidad de que él os reconozca como {señor/señora} de {reg8?esta ciudad:este castillo}.
qstr_The_enemy_has_been_f|El enemigo ha sido obligado a retirarse. El asalto ha concluido, pero el asedio continúa.
qstr_As_you_approach_you_|Los guardias del castillo os ven cuando intentáis acercaros. Inmediatamente abren las puertas a su {rey/reina}.
qstr_As_you_approach_you_a|Los guardias del castillo os descubren cuando intentáis acercaros. Inmediatamente abren las puertas a su {señor/señora}.
qstr__This_village_and_th| Esta aldea y sus tierras colindantes os pertenecen.
qstr__You_remember_that_t| Recordáis que esta aldea y sus tierras colindantes pertenecen al {s7}.
qstr__These_lands_belong_| Estas tierras no pertenecen a nadie.
qstr__The_village_is_infe| La aldea está infestada de {reg8} {s35}.
qstr__The_village_has_bee| La aldea ha sido saqueada. Unas pocas almas se dispersan mientras pasáis por entre las casas quemadas.
qstr__The_village_is_bein| La aldea ha sido asaltada.
qstr_soldiers|soldiers
qstr_rebels|rebels
qstr_No_one_here_seems_to|Nadie parece estar interesado en unirse a vuestro grupo.
qstr_One_{s3}_volunteers_|Un {s3} se ofrece voluntario a seguiros.
qstr_{reg5}_{s3}_voluntee|{reg5} {s3} se ofrecen voluntarios a seguiros.
qstr_Try_as_you_might_you|Por más que lo intentasteis, no pudisteis vencer a los bandidos. Llenos de ira, arrasan la aldea para castigar a los campesinos, y luego dejan atrás las tierras que acaban de incendiar para buscar otros sitios que saquear.
qstr_village|La aldea
qstr_town|La ciudad
qstr_castle|El castillo
qstr_The_{s17}_has_no_imp|{s17} no tiene mejoras.
qstr_The_{s17}_has_the_fo|{s17} tiene las siguientes mejoras: {s18}.
qstr_The_assasins_beat_yo|Los asesinos os golpean hasta dejaros inconsciente en el suelo y se van creyendo haberos matado.
qstr_You_have_fallen._The|Habéis caído. Los bandidos rebuscan rápidamente en vuestro cuerpo para robaros lo que tenéis, y desaparecen en la noche. Os han dejado con vida, aunque poco les ha faltado para mataros.
qstr_Luckily_some_of_your|Por fortuna, algunos de vuestros compañeros llegan buscándoos y os encuentran en el suelo. Rápidamente os llevan a un sitio seguro y atienden vuestras heridas.
qstr_Luckily_some_passing|Por fortuna, algunos campesinos os encuentran en la cuneta y se percatan de que no sois cualquiera. Ellos os llevan a una posada cercana y atienden vuestras heridas.
qstr_You_fail_to_steal_an|Sois incapaz de robar el ganado.
qstr_You_drive_away_{reg1|Sacáis {reg17} {reg12?cabezas:cabeza} de ganado del rebaño de la aldea.
qstr_You_are_at_{s2}.|Estáis en {s2}.
qstr__You_see_the_flag_of| You see the flag of {s7} over the town gates.
qstr__This_castle_has_no_| Este castillo no tiene guarnición.
qstr__Your_own_flag_flies| Your own flag flies over the town gates.
qstr__You_see_the_flag_of_| You see the flag of {s7} over the town gates.
qstr__This_town_has_no_ga| Esta ciudad no tiene guarnición.
qstr__You_have_successful| Habéis sido capaz de pasar sin que os detectaran.
qstr_{s13}_A_tournament_w|{s13} Pronto se celebrará un torneo aquí.
qstr___Join_the_commander| (Join the commanders' meeteing)
qstr___{reg1}_pounds_per_| ({reg1} pounds per night)
qstr_You_are_not_allowed_|You are not allowed here (need to have relation with faction 5 and higher).
qstr_Moreover_you_earn_{r|Además, ganáis {reg8} denares por las astutas apuestas que habéis hecho sobre vuestra persona...
qstr_Victory_is_yours!_Yo|¡La victoria es vuestra! Habéis ganado este combate, pero ahora debéis prepararos para la próxima ronda. 
qstr_You_have_been_bested|Os han vencido en este combate, pero el maestro de ceremonias reconoce vuestra habilidad y valentía, permitiéndoos participar en la siguiente ronda. 
qstr_You_were_beaten._The|Os han vencido. Los campesinos están felices de su éxito, pero la lección que intentabais inculcarles probablemente no les ha llegado...
qstr_After_beating_your_l|Tras vencer a vuestro último oponente, explicáis a los campesinos cómo defenderse contra un ataque así. Esperáis que hayan aprendido y la próxima vez puedan defenderse solos.
qstr_The_bandits_are_brok|¡Los bandidos han sido derrotados! Los pocos que quedan vivos y conscientes huyen con el rabo entre las piernas, aterrorizados de los campesinos y de su nuevo líder.
qstr_{s1}_s_Ship|Barco de {s1}
qstr_However_{reg3?You_ar|Sin embargo, {reg3?no sois:{s1} no es} capaz de encontrar mercancías de comercio que puedan procurar ganancias.
qstr_^Buying_{s4}_here_an|^Comprar {s4} aquí e ir a {s5} para vender os reportará una ganancia de {reg6} denares por unidad.{s3}
qstr_{reg3?You_find:{s1}_|{reg3?Os dais:{s1} se da} cuenta que:^{s3}
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1} {s1} ha ganado {reg0} puntos de experiencia.
qstr_{s2}^{s1}_earned_an_|{s2}^{s1} ha ganado {reg0} puntos adicionales de experiencia.
qstr_^You_earned_{reg0}_e|^Habéis ganado {reg0} puntos de experiencia.{s2}
qstr_The_training_didn_t_|El entrenamiento no ha ido nada bien.
qstr_The_training_didn_t_g|El entrenamiento no ha ido demasiado bien.
qstr_The_training_went_qu|El entrenamiento fue bastante bien.
qstr_The_training_went_ve|El entrenamiento fue muy bien.
qstr_The_training_went_pe|El entrenamiento fue perfectamente.
qstr_{s13}_asked_you_to_r|{s13} os ha pedido que reportéis ante él con al menos {reg13} tropas.
qstr_{s13}_ordered_you_to|{s13} os ha ordenado que os unáis en el asalto a {s14}.
qstr_Find_and_speak_with_|Debéis buscar y hablar con {s3} de {s4} para ofrecerle vuestro juramento de lealtad.
qstr_There_has_been_an_al|Ha habido un incidente fronterizo: {s9}
qstr_^^Note_that_so_long_|^^Notad que mientras seáis mariscal los señores del reino esperan que seáis vos quien los lidere en las campañas. Así que si estáis esperando por un banquete, ya sea por una boda u otro motivo, puede que queráis dimitir. Para ello debéis hablar con vuestro señor.
qstr_Temperature:_+{reg0}|Temperature: +{reg0} C ^Pressure: {reg1} hPa ^Humidity: {reg2}% ^Wind: {reg3} km/h ^Cloudiness: {reg4}% ^Precipitation: {reg5}%
qstr_Romanian_Principalit|Romanian Principalities
qstr_Kingdom_of_Wurttembe|Reino de Wurttemberg
qstr_Principality_of_Serb|Principado de Serbia
qstr_Kingdom_of_Bavaria|Kingdom of Bavaria
qstr_Kingdom_of_Hannover|Reino de Hannover
qstr_French_Empire|Imperio Francés
qstr_Austrian_Empire|Imperio Austriaco
qstr_Kingdom_of_Sardinia|Reino de Cerdeña
qstr_Kingdom_of_Prussia|Reino de Prusia
qstr_Principality_of_Bulg|Reino de Bulgaria
qstr_French_Republic|República Francesa
qstr_Austria_Hungary|Austria-Hungaria
qstr_Kingdom_of_Italy|Reino de Italia
qstr_German_Empire|Imperio Alemán
qstr_Kingdom_of_Romania|Reino de Rumania
qstr_Kingdom_of_Serbia|Reino de Serbia
qstr_Kingdom_of_Bulgaria|Reino de Bulgaria
qstr_Kingdom_of_Norway|Kingdom of Norway
qstr_Principality_of_Alba|Principado de Albania
qstr_You_have_bought_a_fi|Has comprado un cañon de campaña.
qstr_You_have_exceeded_pa|Has excedido el limite de tu ejercito.
qstr_You_have_no_enough_m|No tienes suficiente dinero.
qstr_Not_available_in_thi|No esta disponible en este pueblo.
qstr_You_have_bought_a_ho|Has comprado un Obús.
qstr_You_have_bought_a_he|Has comprado un Obús Pesado.
qstr_You_have_bought_a_ma|Has comprado una Ametralladora Pesada.
qstr_Not_available_for_th|No disponible para esta Facción.
qstr_Declare_war_on_Serbi|Declarar la guerra a Serbia.
qstr_Join_league.|Entrar a la Liga.
qstr_Join_Serbia_and_Gree|Join Serbia and Greece and declare war on Bulgaria.
qstr_Days_after_peaceful_|Days after peaceful protests began, backlashes from many organizations, still not yet bore a fruit. The government decided to ignore the demands from the protesters. The government has only given them pain instead of listening them for fair investigations, leading to more and more widespread protests across the country. And now, the government has two decision, whether to comply or just simply, refuse.^^Effects: Socialist movement popularity increased by 10%.
qstr_After_hearing_about_|After hearing about the protests, being a nuisance for the government, the government decided to dispatch some policemen to disperse the crowd of protesters by non-lethal means. They tried to disperse the crowd with whips and baton and it resulted in a success. Some of the protesters thrown rocks and debris to the officers but all of them have been arrested in the following afternoon. The last of the protesters finally dispersed after some of the demonstration leaders escaped the scene.^^Effects: Socialist movement popularity increased by 5%. Socialist movement radicalism increased by 3%.
qstr_At_noon_when_the_dem|At noon, when the demonstration leader was making a speech about their demands infront of the crowd of protesters, troops and policemen entered the scene to disperse the crowd. Unfortunately, the government ordered the dispersion with a violent way. Then, soldiers opened fire on the protesters, killing and wounding many people. Others, tried to flee from the scene, ran either wounded or dying. Few managed to hide from the law enforcement and the dispersion is successful. The government quickly received backlashes from peace organizations, socialists and even foreign countries alike, thus souring foreign relations. ^^ Socialist movement radicalism increased by 10%.
qstr_Breaking_camp...|Levantando el campamento...
qstr_The_{s31}_gets_1_inf|El {s31} obtiene 1 de infamia por estar en una guerra prolongada con {s32}.
qstr_Party_has_nothing_to|¡El grupo no tiene nada para comer!
qstr_{reg1}_{s1}_{reg2?ha|{reg1} {s1} {reg2?se ha:se han} escapado de vuestro grupo durante la noche.
qstr_{s1}_of_{s3}_has_bee|{s1} de {s3} ha sido puesto en libertad.
qstr_Building_of_{s0}_in_|La construcción de {s0} en {s4} ha finalizado.
qstr_{s1}_is_no_longer_in|{s1} ya no está infestado de bandidos (por la noche).
qstr_You_pay_for_accommod|Pagáis por el alojamiento.
qstr_Betrothal_to_{s5}_ex|El compromiso con {s5} termina
qstr__Your_tactics_skill_| Vuestra habilidad de tácticas ha aumentado 1 punto.
qstr__Your_persuasion_ski| Vuestra habilidad de persuadir ha aumentado 1 punto.
qstr__Your_leadership_ski| Vuestra habilidad de liderar ha aumentado 1 punto.
qstr__Your_intelligence_h| Vuestra inteligencia ha aumentado 1 punto.
qstr__Your_trade_skill_ha| Vuestra habilidad de comerciar ha aumentado 1 punto.
qstr__Your_weapon_master_| Vuestra habilidad de maestría en armas ha aumentado 1 punto.
qstr__Your_engineer_skill| Vuestra habilidad de ingeniería ha aumentado 1 punto.
qstr_You_have_finished_re|Habéis terminado de leer {s1}.{s2}
qstr_Book_Read|Leer libro
qstr_{s1}_is_scouted.|Habéis localizado {s1}.
qstr_{s1}_has_switched_fr|{s1} ha cambiado de {s2} a {s3}.
qstr_The_{s1}_has_finishe|The {s1} has finished researching technology '{s2}'.
qstr_The_year_is_{reg0}.|The year is {reg0}.
qstr_North_German_Confede|North German Confederation
qstr_Finished_improving_r|Finished improving relations with {s31}.
qstr_Interrupted_improvin|Interrupted improving relations with {s31}.
qstr_Albanian_Howitzer_Cr|Albanian Howitzer Crew Officer
qstr_Albanian_Howitzer_Cre|Albanian Howitzer Crew Officers
qstr_Albanian_Heavy_Howit|Albanian Heavy Howitzer Crew Officer
qstr_Albanian_Heavy_Howitz|Albanian Heavy Howitzer Crew Officers
qstr_Albanian_Field_Gun_C|Albanian Field Gun Crew Officer
qstr_Albanian_Field_Gun_Cr|Albanian Field Gun Crew Officers
qstr_Albanian_Howitzer_Crew|Albanian Howitzer Crew Cannoneer
qstr_Albanian_Howitzer_Crew_|Albanian Howitzer Crew Cannoneers
qstr_Albanian_Field_Gun_Cre|Albanian Field Gun Crew Cannoneer
qstr_Albanian_Field_Gun_Crew|Albanian Field Gun Crew Cannoneers
qstr_Albanian_MG_Operator|Albanian MG Operator
qstr_Norwegian_Howitzer_C|Norwegian Howitzer Crew Officer
qstr_Norwegian_Howitzer_Cr|Norwegian Howitzer Crew Officers
qstr_Norwegian_Heavy_Howi|Norwegian Heavy Howitzer Crew Officer
qstr_Norwegian_Heavy_Howit|Norwegian Heavy Howitzer Crew Officers
qstr_Norwegian_Field_Gun_|Norwegian Field Gun Crew Officer
qstr_Norwegian_Field_Gun_C|Norwegian Field Gun Crew Officers
qstr_Norwegian_Howitzer_Cre|Norwegian Howitzer Crew Cannoneer
qstr_Norwegian_Howitzer_Crew|Norwegian Howitzer Crew Cannoneers
qstr_Norwegian_Field_Gun_Cr|Norwegian Field Gun Crew Cannoneer
qstr_Norwegian_Field_Gun_Cre|Norwegian Field Gun Crew Cannoneers
qstr_Norwegian_MG_Operato|Norwegian MG Operator
qstr_Bulgarian_Howitzer_C|Bulgarian Howitzer Crew Officer
qstr_Bulgarian_Howitzer_Cr|Bulgarian Howitzer Crew Officers
qstr_Bulgarian_Heavy_Howi|Bulgarian Heavy Howitzer Crew Officer
qstr_Bulgarian_Heavy_Howit|Bulgarian Heavy Howitzer Crew Officers
qstr_Bulgarian_Field_Gun_|Bulgarian Field Gun Crew Officer
qstr_Bulgarian_Field_Gun_C|Bulgarian Field Gun Crew Officers
qstr_Bulgarian_Howitzer_Cre|Bulgarian Howitzer Crew Cannoneer
qstr_Bulgarian_Howitzer_Crew|Bulgarian Howitzer Crew Cannoneers
qstr_Bulgarian_Field_Gun_Cr|Bulgarian Field Gun Crew Cannoneer
qstr_Bulgarian_Field_Gun_Cre|Bulgarian Field Gun Crew Cannoneers
qstr_Bulgarian_MG_Operato|Bulgarian MG Operator
qstr_President_Raymond_Po|President Raymond Poincare
qstr_Tsar_Nicholas_II|Tzar Nicholas II
qstr_Kaiser_Franz_Joseph_|Kaiser Franz Joseph I
qstr_King_Victor_Emmanuel|Rey Victor Emmanuel III
qstr_Kaiser_Wilhelm_II|Kaiser Wilhelm II
qstr_Sultan_Mehmed_V|Sultan Mehmed V
qstr_King_Edward_VII|Rey Edward VII
qstr_Queen_Wilhelmina|Reina Wilhelmina
qstr_President_Armand_Fal|Presidente Armand Fallières
qstr_Sultan_Abdulhamid_II|Sultan Abdulhamid II
qstr_President_Sadi_Carno|President Sadi Carnot
qstr_Tsar_Alexander_III|Tsar Alexander III
qstr_King_Umberto_I|King Umberto I
qstr_Queen_Victoria|Queen Victoria
qstr_President_Patrice_de|President Patrice de MacMahon
qstr_Kaiser_Wilhelm_I|Kaiser Wilhelm I
qstr_King_Wilhelm_III|King Wilhelm III
qstr_Your_country_is_bank|Your country is bankrupt!
qstr_Government_type_was_|Government type was changed to Republic.
qstr_{reg65?my_Lady:my_Lo|{reg65?mi Señora:mi Señor}
qstr_{reg65?My_Lady:My_Lo|{reg65?Mi Señora:Mi Señor}
qstr_{reg65?madame:sir}|{reg65?dama:señor}
qstr_{reg65?Madame:Sir}|{reg65?Señora:Señor}
qstr__no_fiefs_|(sin feudos)
qstr__fiefs:_{s0}_|(feudos: {s0})
qstr_It_s_your_money_or_y|¡Alto! Vuestro dinero o vuestra vida, {amigo/niña}. No os mováis o lo lamentaréis.
qstr_Lucky_for_you_you_ca|Por suerte para su excelencia, estoy de buen humor. Dadnos todo el dinero y puede que os dejemos vivir.
qstr_This_a_robbery_eh?_I|Esto es un asalto, ¿eh? Sus doy la posibilidad de darme tó lo que lleváis o yo y mis amigos os matamos a tós. ¿Antendido?
qstr_we_have_made_very_li|hemos progresado muy poco hasta ahora
qstr_we_have_suceeded_in_|hemos conseguido ganar algo de terreno, pero aún nos falta bastante para llegar
qstr_we_have_become_a_sig|nos hemos convertido en una fuerza significativa, y tenemos posibilidades de victoria
qstr_we_are_winning_the_w|estamos ganando la guerra, pero nuestros enemigos aún resisten.
qstr_we_are_on_the_verge_|estamos a punto de alcanzar la victoria. Los enemigos que restan no son una amenaza, pero aún debemos acabar con ellos.
qstr_Ever_since_the_fall_|Ever since the fall of the Holy Roman Empire, the Austrian Emperor has been doing their best to undermine Northern conglomeration efforts. We will have to defeat and dissolve the weak German Confederation, lead by the Austrians, in order to rise to the position of a German hegemon, and annex the Kingdom of Hannover.^^ - Defeat the German Confederation armies belonging to Austria, Wurtemberg and Hannover^ - Conquer and hold the Bavarian fortification of Nuremberg ^ - Conquer the capital city of Stuttgart^ - Sign peace with German Confederation on conditions of taking Nuremberg and Stuttgart^^ We will be able to hold onto any conquests we make during the war, and our ultimate goal is to annex the Northern German states. Victory will pave the way to ultimate unification after we take back Alsace-Lorraine.
qstr_War_with_France_has_|War with France has broken out, and our goal will be to utterly destroy them, take back German clay in Alsace-Lorraine, and ultimately declare Empire under our soon-to-be Emperor {playername}. It's time to display to the Southern Germans, foremost the Bavarians, that we are indeed capable of defending and leading the German people.^^ - Conquer the French border city of Strasbourg^ - Annihilate the French Army entirely^ - Sign peace with France on conditions of taking Strasbourg^^Let a united Germany rise from the ashes of the 2nd French Empire.
qstr_The_first_step_towar|The first step towards German unification must be the reconquest of the Northern German regions of Schleswig, Holstein, and Lauenburg, which, for the past centuries, have been under occupation by the Danish Kingdom. Taking back the region, and destroying the Danish in the process, would certainly display might and competence in the eyes of the German states.^^ - Conquer the city of Kiel.^ - Defeat the Danish armies and destroy their economy to force them to surrender.^ - Sign peace with Denmark on conditions of taking Kiel^^Once we've defeated the Danes, we can move on to our Southern rival, the Austro-Hungarian Empire.
qstr_Papal_State_and_our_|Papal State, and our primary Italian adversary, the Kingdom of Two Sicilies
qstr_Papal_State_and_our_p|Papal State, and our primary Italian adversary, the Kingdom of Sardinia
qstr_Kingdom_of_Two_Sicil|Kingdom of Two Sicilies, and our primary Italian adversary, the the Kingdom of Sardinia
qstr_Your_highness_those_|Your highness, those people are our allies! We will be condemned by the entire international community, and lose a valuable ally! Are you sure?
qstr_We_ve_agreed_by_truc|We've agreed by truce not to attack them, at least for the moment being. We will face extreme scrutiny if we do, regardless of how righteous our cause my be. Are you sure?
qstr_Considering_we_have_|Considering we have a valid reason to attack {s31}, I don't see any inherent reason why this should speak against us. If you wish, I will send out a message to their ambassador immediately.
qstr_I_am_afraid_we_don_t|I am afraid we don't have a justification for conflict at this point in time. We can naturally still declare war against {s31}, but expect international pressure to mount extremely quickly, and for it to put us in the crossfire of future and ongoing conflicts.
qstr_This_is_my_decision_|This is my decision to make, go ahead anyways.
qstr_Then_send_that_ambas|Then send that ambassador a message, and one to our generals, too.
qstr_You_have_my_blessing|You have my blessings, go ahead.
qstr_Let_s_not_act_rashly|Let's not act rashly. We have all the time we need, let's wait.
qstr_Hold_it_then_we_can_|Hold it, then, we can't get ourselves condemned by a dozen nations at once!
qstr_This_will_be_unneces|This will be unnecessary bloodshed through and through. Hold off on it.
qstr_With_our_state_contr|With our state-controlled press, we can surely achieve a good result.
qstr_Because_of_free_pres|Because of free press laws in our country, campaign will not be much effective.
qstr_With_our_censorship_|With our censorship, we will be able to significantly reduce influence of our political opponents and get quite good results.
qstr_I_want_to_start_repr|I want to start repressions against our political opponents.
qstr_We_need_to_decrease_|We need to decrease influence of our opponents in the political arena.
qstr_Most_certainly._Arre|Most certainly. Arrests of influential figures of the political opposition will undermine their positions in the political arena and strengthen ours. Investigation will take 10 days and {reg1} pounds per day.
qstr_Most_certainly._Few_|Most certainly. Few revelatory articles condemning our opponents in illegal actions, aiding enemy and treason will dishonor them before the eyes of our people, and strengthen our position. The whole process will take 10 days and {reg1} pounds per day.
qstr_However_in_case_of_f|However, in case of failure, our opponents can condemn us as answer to our actions.
qstr_{playername}_when_we|{playername}, cuando comencé mi larga andadura, poca gente tuvo el coraje de apoyarme. Mucho menos aún de arriesgar su vida por mi causa. Pero vos no os lo pensasteis dos veces y cargasteis contra mis enemigos. Hemos pasado por muchas cosas juntos, y hubo momentos en los que casi perdí la esperanza. Pero con la ayuda de Dios hemos prevalecido. Es tiempo para mí de abandonaros  y tomar lo que es mío por derecho. De hoy en adelante asumiré la gran responsabilidad de gobernar {s3}. Sé que aún nos esperan muchos desafíos y cuento con vuestra ayuda para superarlos. Y por supuesto, no habrá mejor vasallo para mí que vos.
qstr__We_will_of_course_n| Por supuesto tendremos que esperar a que el reino no esté en campaña.
qstr_I_am_{s4}_the_ruler_|Soy el {s4}, el regente del {s6}
qstr_I_am_{s4}_a_vassal_o|Soy el {s4}, un vasallo del {s6}
qstr_{s9}{reg5?_and_the_l|{s9}{reg5? y el señor de {s8}.:.
qstr_{s13}_asked_you_to_g|{s13} os ha pedido que reunáis {reg3} cabezas de ganado y se las llevéis.
qstr_{s9}_asked_you_to_sc|{s9} os ha pedido que exploréis {s13}, {s14} y {s15}, y que luego le informéis de lo que encontréis.
qstr_you|vos
qstr_You_are_challenging_|¿Me estáis retando a un duelo? ¡Qué gracioso! Cómo queráis, {playername}, será divertido partiros el cráneo.
qstr_{s16}_and_{s17}|{s16} y {s17}
qstr_Very_well_I_will_acc|Muy bien, os acepto nuevamente entre mis filas, si es que volvéis a jurarme vuestra lealtad.
qstr_A_pardon_will_only_b|Solamente os perdonaré si me cedéis {s17}. ¿Estáis de acuerdo?
qstr_No._There_is_no_chan|No. No hay posibilidad de paz entre nosotros, no me interesa.
qstr_Our_marshal_{s1}|{Nuestro/Nuestra} mariscal, {s1}
qstr_{s11}_and_{s12}|{s11} y {s12}
qstr_We_are_not_at_war_wi|No estamos en guerra con nadie.
qstr_We_are_at_war_with_{|Estamos en guerra con {s12}.
qstr_go_on_the_offensive_|ir a la ofensiva ahora.
qstr_act_to_defend_our_la|actuar para defender nuestras tierras.
qstr_take_more_time_to_ga|tomar más tiempo para formar un ejército.
qstr_You_promised_to_help|Habéis prometido ayudar a {s13} a reclamar el trono del {s14}.
qstr_What_do_you_say_to_e|¿Aceptaríais asumir al mando de los mercenarios de {s9}? Necesita un capitán. No tengo dudas de que sois la persona indicada.
qstr_{s9}_asked_you_to_ta|{s9} os ha pedido que llevéis un mensaje a {s13}. {s13} supuestamente estaba en {s4} cuando se os asignó esta misión.
qstr_{s9}_asked_you_to_tak|{s9} os ha pedido que llevéis un mensaje a {s13} de {s15}. {s13} supuestamente estaba en {s4} cuando se os asignó esta misión.
qstr_{s11}_asked_you_to_e|{s11} os ha pedido que escoltéis a su {s17} {s13} a {s14}.
qstr_{s13}_asked_you_to_d|{s13} os ha pedido que os libréis de los bandidos que ocupan la aldea de {s15} y que luego regreséis para informarle.
