dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Я бы хотел отложить назначение владельца, до получения совета от моих подданных.
dlga_lord_mission_deliver_message_rejected:lord_pretalk|Что ж, хорошо. Найду кого-нибудь другого.
dlga_lord_mission_deliver_message_rejected_rudely:lord_mission_deliver_message_rejected_rudely_2|Хм, так вы отвечаете на вежливую просьбу о небольшом одолжении? Стыдно, {playername}. Мне казалось, подобная просьба не может быть оскорбительна.
dlga_lord_mission_deliver_message_rejected_rudely_2:lord_mission_deliver_message_rejected_rudely_3|Теперь знайте, что это так.
dlga_lord_mission_deliver_message_rejected_rudely_2:lord_mission_deliver_message_accepted|Простите мне мою вспыльчивость, {s65}. Я доставлю ваше письмо.
dlga_lord_mission_deliver_message_rejected_rudely_3:close_window|Хорошо. Я это запомню.
dlga_lord_tell_mission:lord_mission_deliver_message.1|Мне нужно передать послание для {s13} ({s15}), который сейчас, должно быть, в {s4}. Если вы направляетесь туда, не доставите ли ему это письмо? Оно должно попасть к нему в руки в течение 40 дней.
dlga_lord_tell_mission:lord_mission_told|Есть одно небольшое дельце... Моя {s17}, {s13}, собирается нанести визит своим родственникам, которые живут в {s14}. Путешествие несколько раз откладывалось - дороги в наши дни небезопасны. Но на сей раз она твердо намерена ехать, так что мне хотелось бы, по крайней мере, дать ей надежную охрану в сопровождение. Я доверяю вам, {playername}, и буду очень признателен, если вы отправитесь с ней и обеспечите ее безопасность.
dlga_lord_tell_mission:lord_mission_deal_with_bandits_told|Банда разбойников нашла убежище в моей деревне {s15}. Они разоряют соседние фермы, богатеют, воруя мои налоги и пожирая мой скот. Я хотел бы отправиться туда и преподать им урок, но у меня сейчас слишком много дел, ничего не могу с этим поделать.
dlga_lord_mission_deal_with_bandits_told:lord_mission_deal_with_bandits_accepted|Не беспокойтесь, {s15} - не самое удаленное место, так что я охотно туда отправлюсь и разберусь с этими мерзавцами.
dlga_lord_mission_deal_with_bandits_told:lord_mission_deal_with_bandits_rejected|Обратитесь за помощью к кому-то другому, я слишком {занят/занята}.
dlga_lord_mission_deal_with_bandits_accepted:close_window|Вы это сделаете? Я буду вам очень признателен! Вот немного денег, чтобы покрыть издержки вашей кампании. Ох уж эта деревня, ох уж эти {s43}... поставьте их на место!
dlga_lord_mission_deal_with_bandits_rejected:lord_pretalk|Ах, ну ладно. Забудьте мои слова.
dlga_lord_tell_mission:lord_tell_mission_raise_troops|Стыдно в этом признаться, {playername}, но я вчера инспектировал своих бойцов, и что же? Некоторые люди даже не знают, каким концом меч держать. {s43} Вы знаменитый воин, {playername}, - может быть, вы поможете мне подготовить войска? Я был бы вам благодарен.
dlga_lord_tell_mission_raise_troops:lord_tell_mission_raise_troops_2|Сколько человек вам нужно?
dlga_lord_tell_mission_raise_troops_2:lord_mission_raise_troops_told|Если вы сможете обучить {reg1} человек до {s14} и приведете их ко мне, то этого будет достаточно.
dlga_lord_mission_raise_troops_told:lord_mission_raise_troops_accepted|Конечно, {s65}. Дайте мне {reg1} неопытных новобранцев и я обучу их до {s14}.
dlga_lord_mission_raise_troops_told:lord_mission_raise_troops_rejected|Я слишком занят, чтобы заниматься муштрой.
dlga_lord_mission_raise_troops_accepted:close_window|Вы сняли груз с моих плеч, {playername}. Я велю своим командирам направить к вам новобранцев и передать их в ваше распоряжение. Также я выдам вам деньги, чтобы покрыть издержки. Вот, этого должно хватить. Спасибо за помощь.
dlga_lord_mission_raise_troops_rejected:lord_pretalk|О, конечно... я примерно этого и ожидал. Что ж, удачи вам в таком случае.
dlga_lord_tell_mission:lord_mission_collect_taxes_told|Возможно, вы знаете, что мне принадлежит {reg9?город:деревня} {s3}. Однако уже несколько месяцев {s3} не отчисляет мне ни налогов, ни ренты, хотя я законный правитель этих мест. Похоже, эти оборванцы задумали отложиться от меня, так что мне нужен человек, который бы доходчиво напомнил им об их обязанностях. И, в случае чего, убедил бы их силой. Если вы отправитесь туда и соберете налоги, которые они мне должны, я дам вам пятую часть от привезенной вами суммы.
dlga_lord_mission_collect_taxes_told:lord_mission_collect_taxes_accepted|Хорошее предложение, {s65}. Договорились.
dlga_lord_mission_collect_taxes_told:lord_mission_collect_taxes_rejected|Простите, но у меня нет времени.
dlga_lord_mission_collect_taxes_accepted:close_window|Отличная новость, {playername}. Доверяю это дело вам. Помните, эта {reg9?городская голь:деревенщина} на редкость хитра. Они пойдут на любые уловки, только бы не платить мне мои - законные, между прочим - налоги. Не дайте им себя одурачить.
dlga_lord_mission_collect_taxes_rejected:lord_pretalk|Ах, ну да... Что ж, удачи вам.
dlga_lord_tell_mission:lord_mission_hunt_down_fugitive_told|Есть одно дело, в котором вы могли бы помочь. Суть в том, что один негодяй, известный под именем {s4}, убил моего человека и с тех пор скрывается от правосудия. Я не могу допустить, чтобы он избежал наказания, так что назначил за его голову награду в размере 300 динар. Друзья убитого полагают, что убийца может прятаться у своих родичей, в деревне {s3}. Если бы вы выследили его и наказали должным образом, то получили бы награду.
dlga_lord_mission_hunt_down_fugitive_told:lord_mission_hunt_down_fugitive_accepted|Я поймаю его и накажу по заслугам.
dlga_lord_mission_hunt_down_fugitive_told:lord_mission_hunt_down_fugitive_rejected|Простите, мне сейчас некогда за ним гоняться.
dlga_lord_mission_hunt_down_fugitive_accepted:close_window|Это просто здорово, {playername}. Не только я буду благодарен вам, но и семья убитого. И, конечно, если вы поймаете преступника, вам причитается вознаграждение за его поимку. Доброй охоты!
dlga_lord_mission_hunt_down_fugitive_rejected:lord_pretalk|Как пожелаете, {playername}. Полагаю, здесь найдется немало людей, готовых выполнить эту работу за вознаграждение...
dlga_lord_tell_mission:lord_mission_told_kill_local_merchant|Неприятная правда состоит в том, что я должен немалую сумму денег одному из торговцев здесь, в {s3}. Конечно, у меня нет ни малейшего желания платить, но этот болтливый дурак поднял ужасную шумиху. Он даже имел наглость прийти и угрожать мне - мне! - что напишет жалобу на меня торговым гильдиям и банкирам. Он же разрушит мою репутацию! Короче, мне нужен надежный человек, который бы заставил замолчать этого торговца. Надолго. Навсегда.
dlga_lord_mission_told_kill_local_merchant:lord_mission_accepted_kill_local_merchant|Не беспокойтесь, он ни слова больше не скажет.
dlga_lord_mission_told_kill_local_merchant:lord_mission_rejected|Я не занимаюсь заказными убийствами. Для ваших грязных дел найдите кого-то другого.
dlga_lord_mission_accepted_kill_local_merchant:close_window|Отлично. Я доверяю вашему умению и осмотрительности, {playername}. Не разочаруйте меня. Идите и ждите весточку от меня - я сообщу вам, когда и где вы можете застать торговца. Разберитесь с ним, и я щедро вознагражу вас.
dlga_lord_tell_mission:lord_mission_told_meet_spy_in_enemy_town|У меня есть одно деликатное дельце, {playername}, и нет доверенных лиц, чтобы с ним разобраться. Дело в том, что в городе {s13} у меня есть соглядатай. Он следит за тем, что творится в городе, и сообщает мне обо всем, что могло бы привлечь мое внимание. Каждую неделю я посылаю туда кого-нибудь, чтобы забрать у лазутчика донесения и привезти их мне. Я могу поручить это дело вам, ежели возьметесь.
dlga_lord_mission_told_meet_spy_in_enemy_town:quest_meet_spy_in_enemy_town_accepted|Да, я не прочь поразвлечься. Все сделаю, не волнуйтесь.
dlga_lord_mission_told_meet_spy_in_enemy_town:quest_meet_spy_in_enemy_town_rejected|Мне придется отклонить это предложение. Дело плаща и кинжала" - не для меня."
dlga_quest_meet_spy_in_enemy_town_accepted:quest_meet_spy_in_enemy_town_accepted_response|Отлично! Отправляйтесь поскорее в {s13}, мой шпион будет ждать вас.
dlga_quest_meet_spy_in_enemy_town_accepted_response:quest_meet_spy_in_enemy_town_accepted_2|{s13} хорошо охраняется. Как мне подобраться поближе так, чтобы меня не заметили?
dlga_quest_meet_spy_in_enemy_town_accepted_2:quest_meet_spy_in_enemy_town_accepted_response|Вам придется скрываться. Избегайте вражеских крепостей, деревень и патрулей и не берите с собой слишком много людей. Если вам не удастся проникнуть в город с первого раза, подождите, пока гарнизон вновь потеряет бдительность. Не торопитесь, или вам придется туго.
dlga_quest_meet_spy_in_enemy_town_accepted_response:quest_meet_spy_in_enemy_town_accepted_3|Как я узнаю вашего шпиона?
dlga_quest_meet_spy_in_enemy_town_accepted_3:quest_meet_spy_in_enemy_town_accepted_response|Когда доберетесь до {s13}, поговорите с местными - среди них будет и шпион. Если вы решите, что нашли его, произнесите: '{s11}'. Мой лазутчик ответит вам фразой: '{s12}'. Так вы и узнаете, что это нужный вам человек, и {reg7?она:он} передаст вам все собранные для меня сведения.
dlga_quest_meet_spy_in_enemy_town_accepted_response:quest_meet_spy_in_enemy_town_accepted_4|А вы мне заплатите?
dlga_quest_meet_spy_in_enemy_town_accepted_4:quest_meet_spy_in_enemy_town_accepted_response|Конечно, у меня в сундуках полно серебра для верных людей вроде вас. Окажите мне услугу, {playername}, а уж я в долгу не останусь.
dlga_quest_meet_spy_in_enemy_town_accepted_response:quest_meet_spy_in_enemy_town_accepted_end|Мне ясно, что делать. Прощайте, милорд.
dlga_quest_meet_spy_in_enemy_town_accepted_end:lord_pretalk|Удачи, {playername}. Помните, пароль: {s11}". Отзыв: "{s12}". Привезите донесения мне, и я компенсирую вам потраченное время и силы."
dlga_quest_meet_spy_in_enemy_town_rejected:lord_pretalk|Как хотите, {playername}. Но в таком случае я настоятельно рекомендую вам забыть все, что я говорил о каких-то там шпионах. Их не существует, никогда не существовало, а если бы и были - никто их никогда не найдет. Помните об этом.
dlga_lord_tell_mission:lord_mission_told_raid_caravan_to_start_war|{s13} - подлый народец, и все это знают. Мир с ними раздражает меня, {playername}. Мы слишком долго закрывали глаза на их козни. Теперь они становятся все сильнее, а их высокомерие перешло всякие границы. Мы должны объявить им войну, пока не поздно! К сожалению, некоторые лорды наших земель по-прежнему цепляются за мир. Хм. Бабы и безмозглые трусы.
dlga_lord_mission_told_raid_caravan_to_start_war:lord_mission_tell_raid_caravan_to_start_war_2|Вы правы, {s65}, но что мы можем поделать?
dlga_lord_mission_told_raid_caravan_to_start_war:quest_raid_caravan_to_start_war_rejected_1|Не могу с вами согласиться, сир. Мир все же предпочтительнее войны.
dlga_lord_mission_tell_raid_caravan_to_start_war_2:lord_mission_tell_raid_caravan_to_start_war_3|Ах, приятно слышать, что хоть кто-то меня понимает! На самом деле мы можем кое-что сделать, {playername}. Устроить небольшую провокацию. Если бы один из наших отрядов смог проникнуть на их территорию, разорить несколько караванов и при этом оставить какие-нибудь свидетельства, что там побывали {s14}, это заставило бы их объявить нам войну. А тогда - ну, тогда даже трусам среди нас придется встать на защиту государства. Что скажете? Интересная идея?
dlga_lord_mission_tell_raid_caravan_to_start_war_3:quest_raid_caravan_to_start_war_accepted|Отличный план! Я возьмусь за это дело.
dlga_lord_mission_tell_raid_caravan_to_start_war_3:lord_mission_tell_raid_caravan_to_start_war_4|А почему бы вам не заняться этим самолично?
dlga_lord_mission_tell_raid_caravan_to_start_war_4:lord_mission_tell_raid_caravan_to_start_war_5|Ну, {playername}, некоторым нашим лордам не понравится, что кто-то развязывает войну без их ведома. Они и так ищут повод, чтобы вцепиться в меня, и если бы я решился на такое, они могли бы мне здорово попортить кровь. С другой стороны, вы молоды, отважны, у вас нет врагов, так что вам, если повезет, удастся легко отделаться. И, конечно, я поддержу вас и оправдаю вас в глазах ваших противников. Кое-кто из лордов может расстроиться из-за того, что вы предпримете, но я уверен, ничего плохого вам не грозит.
dlga_lord_mission_tell_raid_caravan_to_start_war_5:quest_raid_caravan_to_start_war_accepted|Хм... Разумно. Пожалуй, я смогу этим заняться.
dlga_lord_mission_tell_raid_caravan_to_start_war_5:quest_raid_caravan_to_start_war_rejected_2|Мне это не нравится. Идите поищите кого-нибудь другого для выполнения ваших замыслов.
dlga_quest_raid_caravan_to_start_war_accepted:close_window|Отлично! Итак, устройте налет на караван или, если ничего не получится, нападите на их деревню, и дело сделано. Ну что же, удачи вам и хорошей охоты.
dlga_quest_raid_caravan_to_start_war_rejected_1:lord_pretalk|Ах, вот как вы считаете? И сколько, по-вашему, продлится ваш драгоценный мир? Недолго, можете мне поверить.
dlga_quest_raid_caravan_to_start_war_rejected_2:lord_pretalk|Хм. Как хотите, {playername}. Я-то думал, что в вас горит некое пламя, но, похоже, я ошибался...
dlga_lord_tell_mission:lord_mission_told.1|В {s4} у меня с полевых работ сбежало несколько крепостных. Неблагодарные свиньи! Они возделывали мои поля и жили в моих домах, и вот их благодарность! Говорят, они со всех ног бежали в сторону {s3} и разделились на три группы, чтобы их не схватили. Я хочу, чтобы вы поймали все три группы и привели их обратно в {s4}, чего бы это ни стоило. Мне следовало бы повесить их за попытку бегства, но скоро сбор урожая, и нам потребуется рабочая сила, так что в этот раз ограничусь хорошей поркой.
dlga_lord_tell_mission:lord_tell_mission_follow_spy|Я точно знаю, что в этом городе есть вражеский шпион. Его следовало бы схватить и повесить за такую наглость, но... скоро он уйдет отсюда и отправится на встречу с хозяином, чтобы передать ему сведения. Сам шпион не особо важен, но его хозяин очень опасен и мог бы многое нам порассказать, сумей мы поймать его.
dlga_lord_tell_mission_follow_spy:lord_tell_mission_follow_spy_2|Ждите, пока шпион не отправится прочь из города, а потом проследуйте за ним к месту встречи. Только смотрите не попадитесь ему на глаза, иначе он заподозрит неладное и вернется. Когда появится его хозяин, арестуйте обоих и притащите ко мне. Живыми, пожалуйста.
dlga_lord_tell_mission_follow_spy_2:lord_tell_mission_follow_spy_accepted|Я все сделаю, {s65}.
dlga_lord_tell_mission_follow_spy_2:lord_tell_mission_follow_spy_rejected|Нет, это не по мне.
dlga_lord_tell_mission_follow_spy_accepted:close_window|Хорошо, думаю, вы отлично справитесь. Один из моих людей покажет вам шпиона, чтобы вы знали, за кем следить. Запомните: мне нужны они оба, и оба живьем!
dlga_lord_tell_mission_follow_spy_rejected:lord_pretalk|Плохо. Ну что ж, идите, {playername}.
dlga_lord_tell_mission:lord_tell_mission_capture_enemy_hero|У меня есть одно очень важное задание, {playername}, и, возможно, как раз вы с ним и справитесь. Нужно захватить знатного лорда из {s13} и привести его ко мне. Я смогу обменять этого лорда на моего родственника, которого удерживают там в плену. Работа несложная, только вот знатные лорды не ходят без охраны. Ну так что, согласны?
dlga_lord_tell_mission_capture_enemy_hero:lord_tell_mission_capture_enemy_hero_accepted|Будет сделано, {s65}.
dlga_lord_tell_mission_capture_enemy_hero:lord_tell_mission_capture_enemy_hero_rejected|Нет, {s65}. Я не похищаю людей.
dlga_lord_tell_mission_capture_enemy_hero_accepted:close_window|Вот и хорошо! Приведите мне врага, и я выпью за ваше здоровье по возвращении! И награжу вас, конечно же.
dlga_lord_tell_mission_capture_enemy_hero_rejected:lord_pretalk|Хм, видимо, не стоило мне переоценивать ваши возможности. Ничего, {playername}, я найду кого-нибудь еще.
dlga_lord_tell_mission:lord_tell_mission_lend_companion|Для вас у меня работы нет, но вот {s3} мне сейчас очень пригодится. Не уступите ли {reg3?ее:его} мне ненадолго?
dlga_lord_tell_mission_lend_companion:lord_tell_mission_lend_companion_2|На сколько {reg3?она:он} вам понадобится?
dlga_lord_tell_mission_lend_companion_2:lord_mission_lend_companion_told|Лишь на несколько дней, самое большее - на неделю.
dlga_lord_mission_lend_companion_told:lord_tell_mission_lend_companion_accepted|Тогда {s3} остается с вами на неделю.
dlga_lord_mission_lend_companion_told:lord_tell_mission_lend_companion_rejected|Простите, но за неделю {s3} может не раз мне понадобиться.
dlga_lord_tell_mission_lend_companion_accepted:close_window|Не знаю, как и благодарить вас, {playername}. Не бойтесь, скоро вы получите своего спутника обратно.
dlga_lord_tell_mission_lend_companion_rejected:lord_pretalk|Что ж, это крайне печально, но раз {s3} подчиняется вам, то я не могу настаивать. Придется как-нибудь обойтись.
dlga_lord_tell_mission:lord_tell_mission_collect_debt|Некоторое время назад {s3} занял у меня приличную сумму в {reg4} динар. Он обещал вернуть долг через месяц, но прошло уже гораздо больше времени, а он так ничего и не отдал. Так что, если вы вытрясете с него мой долг, я отдам вам пятую часть собранного. Что скажете?
dlga_lord_tell_mission_collect_debt:lord_tell_mission_collect_debt_2|Где мне найти {s3}, {s65}?
dlga_lord_tell_mission_collect_debt_2:lord_tell_mission_collect_debt_3|Если вы отправитесь в путь сейчас, то наверняка встретитесь с ним в {s4}. Думаю, он будет очень смущен и немедленно отдаст вам весь долг.
dlga_lord_tell_mission_collect_debt_3:lord_tell_mission_collect_debt_accepted|Никуда {s3} не денется. Я поговорю с ним от вашего имени.
dlga_lord_tell_mission_collect_debt_3:lord_tell_mission_collect_debt_rejected|Простите, {s65}, но вряд ли у меня получится вернуть ваш долг лучше, чем у вас самого.
dlga_lord_tell_mission_collect_debt_accepted:close_window|Замечательно, что вы согласились, {playername}! Прошу, сделайте все, чтобы {s3} отдал вам мои деньги!
dlga_lord_tell_mission_collect_debt_rejected:lord_pretalk|Может, и так, {playername}. Видно, никогда мне уже не получить этих денег.
dlga_lord_tell_mission:lord_tell_mission_incriminate_commander|Говорю вам, что {s14} не заслуживает такого слабого правителя, как {s13}. Если бы не его верный вассал {s15}, он уже давно лишился бы всех своих земель. Но пока {s15} у него на службе, ему ничего не страшно. Значит, {s15} должен исчезнуть, и я даже знаю, как именно. С вашей, разумеется, помощью.
dlga_lord_tell_mission_incriminate_commander:lord_tell_mission_incriminate_commander_2|{s66}, я вас внимательно слушаю.
dlga_lord_tell_mission_incriminate_commander:lord_tell_mission_incriminate_commander_rejected|{s15} не заслуживает подобной подлости с моей стороны.
dlga_lord_tell_mission_incriminate_commander_rejected:lord_pretalk|Подлости?! Тьфу, а мне-то казалось, вы нам поможете, {playername}! Теперь придется искать кого-то, кому можно верить до конца!
dlga_lord_tell_mission_incriminate_commander_2:lord_tell_mission_incriminate_commander_3|Мною написано фальшивое письмо с моей печатью, из которого следует, будто бы {s15} в заговоре с нами с целью совершения переворота в {s14}. Если {s13} поверит, что письмо настоящее, {s15} долго не проживет. Осталось, чтобы {s13} поверил.
dlga_lord_tell_mission_incriminate_commander_3:lord_tell_mission_incriminate_commander_4|Продолжайте, {s65}.
dlga_lord_tell_mission_incriminate_commander_3:lord_tell_mission_incriminate_commander_rejected|Нет, я не стану участвовать в этом грязном деле.
dlga_lord_tell_mission_incriminate_commander_4:lord_tell_mission_incriminate_commander_5|Вот тут как раз и пригодитесь вы. Вы отправитесь в {s14} с письмом, отдадите его одному из ваших солдат и велите доставить его {s15}. Я предупрежу своего человека из городской стражи, и вашего солдата арестуют на полпути. Стражи найдут письмо, и вскоре его получит {s13}. Конечно, вашего человека будут пытать, но ничего особенного он сказать не сможет, кроме того, что письмо должен был получить {s15}. {s13} знает, что вы служите мне, и должен быстро во все поверить.
dlga_lord_tell_mission_incriminate_commander_5:lord_tell_mission_incriminate_commander_7|И все?
dlga_lord_tell_mission_incriminate_commander_7:lord_tell_mission_incriminate_commander_8|И еще одно... Ваш посланник должен быть надежным человеком. Если послать письмо с каким-нибудь неприметным крестьянином, {s13} может заподозрить заговор. Ума у него не больше, чем у улитки, но даже улитка не проглядит очевидного. Так что пошлите с письмом кого-нибудь посолиднее, например {s9}.
dlga_lord_tell_mission_incriminate_commander_8:lord_tell_mission_incriminate_commander_9|Что? {s9} - мой человек ! Я не посылаю своих товарищей на смерть!
dlga_lord_tell_mission_incriminate_commander_8:lord_tell_mission_incriminate_commander_fin|В таком случае, примите {s8}.
dlga_lord_tell_mission_incriminate_commander_9:lord_tell_mission_incriminate_commander_10|Ну же, {playername}. Чувства важны, но не сейчас. Поверьте, вы получите достойное вознаграждение, и потом, умирать по приказу - это и есть предназначение любого солдата.
dlga_lord_tell_mission_incriminate_commander_10:lord_tell_mission_incriminate_commander_fin|Пускай будет {s8}.
dlga_lord_tell_mission_incriminate_commander_10:lord_tell_mission_incriminate_commander_rejected|Нет, я не стану жертвовать своими людьми.
dlga_lord_tell_mission_incriminate_commander_fin:lord_pretalk|Вы не представляете, как мне радостно это слышать, {playername}. Вы помогаете мне устранить с пути одно из самых серьезных препятствий. Вот письмо и 300 динар на расходы. В случае успеха вы получите больше, намного больше!
dlga_lord_tell_mission:lord_mission_told.2|Во время последней стычки с врагом группу моих солдат взяли в плен. К счастью, у нас есть соглашение об обмене пленными, и их отпустят, если мы вернем взамен столько же людей того же ранга. А пленников у меня как раз и нет! Поэтому мне нужны {reg1} пленных {s3}, чтобы было, кого обменивать.
dlga_lord_tell_mission:lord_pretalk|Нет, {playername}. Сейчас мне ваша помощь не нужна.
dlga_lord_mission_told:lord_mission_accepted|Можете рассчитывать на меня, {s65}.
dlga_lord_mission_told:lord_mission_rejected|Боюсь, сейчас я не могу взяться за это задание.
dlga_lord_mission_accepted:close_window|Отлично, {playername}, отлично. Я полностью доверяю вам.
dlga_lord_mission_rejected:close_window|Что ж, видно, задание вам не по силам. Поищу кого-нибудь поспособнее.
dlga_lord_talk:lord_leave_prison|Мне надо идти.
dlga_lord_talk:lord_leave|Аудиенция окончена. У меня дела.
dlga_lord_talk:lord_leave.1|Мне нужно идти.
dlga_lord_leave:lord_leave_give_quest|Прежде, чем вы уйдете, {playername}, мне нужно кое о чем попросить вас. На этой войне мы оказались по разные стороны, но я верю, что мы все-таки можем относиться друг к другу по-человечески... И, возможно, вы сумеете помочь мне в одном очень важном деле.
dlga_lord_leave_give_quest:enemy_lord_tell_mission|Я слушаю.
dlga_enemy_lord_tell_mission:lord_mission_told|У меня есть друг - старый воин, и он тяжко болен. Его старые раны воспалились, и если его немедленно не показать хирургу, он умрет. Этот человек мне очень дорог, {playername}, но он также очень упрям и не позволяет никому осмотреть себя, потому что не верит лекарям. Мне говорили, что у вас есть очень хороший хирург. Может, вы могли бы отпустить {reg3?его:ее} со мной, чтобы мы вместе убедили моего друга заняться своим здоровьем? Пожалуйста, я буду навечно в вашем долгу.
dlga_lord_leave_prison:close_window|Мы еще встретимся.
dlga_lord_leave:close_window|Прощайте, миледи. И знайте, я останусь самым преданным вашим поклонником.
dlga_lord_leave:close_window.1|Конечно, {playername}. Прощайте.
dlga_lord_leave:close_window.2|Счастливого вам пути, {playername}.
dlga_lord_leave:close_window.3|Да, да. Прощайте.
dlga_lord_leave:close_window.4|Мы еще встретимся.
dlga_member_chat:lady_journey_1|Как вам поездка, {s65}?
dlga_lady_journey_1:close_window|Все замечательно, {playername}. Спасибо за заботу.
dlga_start:spouse_talk|Да, дорогой?
dlga_spouse_talk:minister_issues|Так как Вы министр нашего королевства, я желаю обсудить состояние дел.
dlga_spouse_talk:offer_gift_quest_complete|У меня есть материалы для дара, человеку по имени {s4}.
dlga_spouse_talk:spouse_cancel_political_quest|Давайте откажемся от нашего плана относительно {s10}.
dlga_spouse_cancel_political_quest:spouse_cancel_political_quest_confirm|Вы действительно хотите отказаться от этой идеи?
dlga_spouse_cancel_political_quest_confirm:spouse_pretalk|Да, действительно. Оставим это.
dlga_spouse_cancel_political_quest_confirm:spouse_pretalk.1|Э... нет... ничего...
dlga_spouse_talk:combined_political_quests|Давайте подумаем о том, как нам упрочить свое положение в этом государстве.
dlga_spouse_talk:spouse_organize_feast|Я подумываю устроить праздник.
dlga_spouse_talk:spouse_household_possessions|Давайте проведем учет имуществу нашей вотчины.
dlga_spouse_household_possessions:spouse_pretalk|Как угодно, вот содержимое нашей кладовой.
dlga_spouse_talk:close_window|{Дорогая/Дорогой}, мы поговорим позже.
dlga_wedding_ceremony_bride_vow:wedding_ceremony_player_vow|Мой муж, я клянусь быть вашей женой, быть рядом с вами в хорошие времена и плохие. Пусть небеса улыбнуться нам и одарят нас детьми, скотом и землей.
dlga_wedding_ceremony_player_vow:wedding_ceremony_vows_complete|Прими и ты мою клятву, и станем мужем и женой.
dlga_wedding_ceremony_player_vow:close_window|Подождите... Мне рано идти на такой шаг.
dlga_wedding_ceremony_vows_complete:close_window|В таком случае объявляю вас и {s3} мужем и женой. Ступайте в приготовленные для вас покои, а мы тем временем подготовим вашу невесту. Скоро она присоединится к вам в залах {s11}.
dlga_spouse_pretalk:spouse_talk|Что-нибудь еще, {дорогой/дорогая}?
dlga_spouse_organize_feast:spouse_pretalk|Блестящая идея, {дорогой/дорогая}. Однако, давайте подождем окончания проходящего здесь праздника, прежде, чем устроить другой.
dlga_spouse_organize_feast:spouse_pretalk.1|Блестящая идея, {дорогой/дорогая}. Однако, мы должны выбрать двор прежде, чем организовать празднество.
dlga_spouse_organize_feast:spouse_pretalk.2|Блестящая идея идея, {дорогой/дорогая}. Однако, наше государство недавно проводило праздник. Возможно, нам следует подождать {reg3} дней, прежде, чем устроить другой.
dlga_spouse_organize_feast:spouse_evaluate_larder_for_feast|Блестящая идея, {дорогой/дорогая}. Однако, чтобы не оскорбить наших гостей, мы должны убедиться, что сможем обеспечить обильный и разнообразный пир для лордов, их семей и свиты. Словом, нам придется в течение нескольких дней кормить пару сотен ртов. Давайте-ка проверим запасы нашей кладовой...
dlga_spouse_evaluate_larder_for_feast:spouse_feast_confirm|{s9}
dlga_spouse_feast_confirm:spouse_feast_added_items|Позвольте пополнить нашу кладовую.
dlga_spouse_feast_added_items:spouse_evaluate_larder_for_feast|Ладно, а давайте еще раз посмотрим, что у нас есть...
dlga_spouse_feast_confirm:spouse_feast_confirm_yes|Пора рассылать приглашения.
dlga_spouse_feast_confirm:spouse_pretalk|Тогда давайте обождем.
dlga_spouse_feast_confirm_yes:spouse_pretalk|Я разошлю гонцов сразу, как только наша вотчина будет готова принять гостей. Пожалуй, вам лучше заняться пополнением наших кладовых, дабы никто не усомнился в нашем гостеприимстве.
dlga_spouse_feast_confirm_yes:spouse_pretalk.1|Отлично. Праздник начнется немедленно{reg4? здесь:} в {s9}. Вам, возможно, придется пополнить запасы нашей кладовой, чтобы мы могли показать свое гостеприимство.
dlga_start:close_window.16|Как же замечательно - еще немного, и мы поженимся! Однако не забывайте: в оставшиеся до свадьбы дни нам не пристало часто бывать вместе.
dlga_start:close_window.17|Хм, {playername}, вы, наверное, не знаете наших свадебных обычаев, но мне казалось, что кто-нибудь вам о них расскажет... Поговорите сперва с моим {s11}, {s4}.
dlga_start:close_window.18|Я не знаю, где находится мой {s11}, {s10}, а он по традиции должен руководить на нашем бракосочетании. Возможно, нам следует подождать, пока он не будет найден...
dlga_start:close_window.19|Достопочтенный {s12} позволил вернуться нам домой, к семьям. Мы скоро уедем.
dlga_start:kingdom_lady_captive|Как же мне одиноко! Как скучаю я по родимой семье!
dlga_start:kingdom_lady_captive.1|{Сир/Мадам}, невежественно так поступать с дамой...
dlga_start:kingdom_lady_captive.2|Как странно. Кажется, что вы добры и радушны, и все же вы удерживаете меня здесь против воли.
dlga_start:kingdom_lady_captive.3|Ну почему моя семья не платит выкуп? Да, вы стали моим тюремщиком, но при этом заботитесь обо мне больше, чем родня!
dlga_lady_stranded_next:close_window|Приветствую, {сир/миледи}. Течением войны меня выбросило сюда, но я скоро покину эту крепость.
dlga_start:lady_talk_refugee|{playername}, полагаю, что вы как {человек/дама} чести отпустите благородных дам к своим семьям, не дожидаясь выкупа.
dlga_start:lady_escort_lady_succeeded|Спасибо, что проводили меня, {playername}. Прошу, примите этот дар в знак моей благодарности. Надеюсь, мы с вами еще встретимся.
dlga_lady_escort_lady_succeeded:close_window|Для меня было честью служить вам, {s65}.
dlga_start:close_window.20|Мы скоро отправимся{s5}. Отрадно знать, что в нашем мире еще есть люди, не забывшие о чести.
dlga_lady_talk_refugee:close_window|Разумеется, миледи.
dlga_lady_talk_refugee:lady_captive_talk|Ошибаетесь, миледи!
dlga_lady_captive_talk:lady_captive_confirm|Что?! Какая низость!
dlga_lady_captive_confirm:close_window|Приношу свои извинения. Вы меня неправильно поняли. Разумеется, вы можете уехать.
dlga_lady_captive_confirm:close_window.1|Миледи, спишитесь со своей семьей, чтобы договориться о выкупе.
dlga_kingdom_lady_captive:close_window|Затем напишите своей семье и поторопите их с выкупом.
dlga_kingdom_lady_captive:close_window.1|Пожалуй, я переменю решение. Можете уезжать.
