str_no_string|НЕТ СТРОК!
str_rebellion_agree_quarrelsome|Хорошо, решение принято. {s46} никогда мне не нравился. Пойдемте, отберем у него трон.
str_rebellion_agree_pitiless|Нет. Я не присоединюсь к Вашему восстанию. На мой взгляд это не более чем обида ребенка, не получившего безделушку, которую он уже считал своей. Мой повелитель - {s46}, чья способность править уже хорошо проверена.
str_rebellion_agree_cunning|Извините. Вы не даете мне основания думать, что можете победить. Многие погибнут, и я не хочу быть среди них. Я не пойду с Вами, мой повелитель по прежнему {s46}.
str_rebellion_agree_sadistic|Я решил. Я вернусь к {s45}. Но вам лучше убедиться, что {reg3?она:он} вознаградит меня как подобает!
str_rebellion_agree_goodnatured|Ладно. Я считаю, что {reg3?ваша женщина:ваш мужчина} будет хорошим правителем. Я присоединюсь к вам.
str_rebellion_agree_upstanding|Извините. Претензии, которые выдвигает {s45} недостаточно обоснованы для меня, чтобы ради них принести в эти земли проклятие гражданской войны. Я останусь с моим повелителем, {s46} защитит нас. И пусть небеса простят меня, если я ошибаюсь.
str_rebellion_refuse_martial|Простите. {s45} поступает в своем роде правильно, но {s46} мой сюзерен, я пока что не вижу оснований предавать его. Я сохраню верность моему сеньору.
str_rebellion_refuse_quarrelsome|Нет. {s45} все равно не сможет тут править, так что я не стану перебегать со стороны на сторону и останусь с {s46}.
str_talk_later_martial|Не время сейчас говорить о политике! Мы пришли на бой, и вам тоже лучше бы подготовиться.
str_talk_later_quarrelsome|Вы хотите поговорить о предательстве, когда нас со всех сторон окружают враги? Вы за кого меня держите вообще?
str_talk_later_pitiless|Придержите язык! Я не собираюсь обсуждать это сейчас, находясь в сердце нашей армии!
str_talk_later_cunning|Сейчас не время и не место для такого разговора. Возможно, нам стоит обсудить это позже, но пока что мы все еще враги.
str_talk_later_sadistic|Закройте свой рот! Как думаете, что сделаю другие вассалы, увидев, как мы с вами обсуждаем измену?
str_talk_later_goodnatured|Хотите обсудить со мной измену? Попробуйте тогда, когда нас не будет окружать армия, и я непременно выслушаю вас.
str_talk_later_upstanding|Что бы там ни было с этим правом наследования, я не собираюсь обсуждать это здесь и сейчас. Если мы встретимся еще раз и сможем поговорить наедине, я вас выслушаю. Но пока что мы с вами враги.
str_gossip_about_character_default|Говорят, что {s6} не обладает никакими занятными чертами характера.
str_gossip_about_character_martial|Говорят, что {s6} ничего не любит так, как войну.
str_gossip_about_character_quarrelsome|Говорят, что {s6} едва не подрался с другим лордом, потому что тот пошутил насчет его носа.
str_gossip_about_character_selfrighteous|Мне говорили, что {s6} приказал казнить аристократа за то, что тот пристрелил оленя в его лесу.
str_gossip_about_character_cunning|Говорят, что {s6} отличается невероятной хитростью.
str_gossip_about_character_sadistic|Говорят, что {s6} обожает пытать врагов. Мне совершенно не хочется с ним ссориться.
str_gossip_about_character_goodnatured|Говорят, что {s6} - очень хороший человек и достойно обращается с теми, кто живет на его землях. Редко когда услышишь такое о правителе.
str_gossip_about_character_upstanding|Говорят, что {s6} - очень хороший хозяин. Он добр к своим последователям и награждает их за верную службу.
str_latest_rumor|Последний слух, в котором упоминается {s6}, это:
str_changed_my_mind_martial|Впрочем, ваши горячие слова заставляют меня изменить решение.
str_changed_my_mind_quarrelsome|Но сдается мне, что вы все равно меня втянете. Ладно, я слушаю.
str_changed_my_mind_pitiless|Ну раз уж вы так заговорили, то я могу и передумать.
str_changed_my_mind_cunning|Да, вы умеете ловко составлять слова. Это впечатляет. Продолжайте, я слушаю.
str_changed_my_mind_sadistic|Раз уж вы так мило заливаетесь о своих делах, я не стану отказывать вам прямо с порога.
str_changed_my_mind_goodnatured|Вы приводите разумные доводы, я попробую к ним прислушаться.
str_changed_my_mind_upstanding|Вы складно говорите. Продолжайте, прошу вас.
str_swadian_rebellion_pretender_intro|Я Изолла, законная королева свадийцев.
str_vaegir_rebellion_pretender_intro|Меня зовут Вальдим, хотя некоторые зовут меня Ублюдком". Я принц вегиров, но по праву я должен быть королем вместо моего кузена Яроглека."
str_khergit_rebellion_pretender_intro|Я Дастум-хан, сын Янакир-хана и законный хан хергитов.
str_nord_rebellion_pretender_intro|Я Летвин Странник, сын Хакрима Старого, должен править нордами Кальрадии.
str_rhodok_rebellion_pretender_intro|Я лорд Кастор, законный король родоков, который освободит их от тирании.
str_sarranid_rebellion_pretender_intro|Я Арва, которую называют Жемчужной, мать сарранидов и их законная королева.
str_swadian_rebellion_pretender_story_1|Я была единственным ребенком у отца, короля Эстериха. Хоть я и женщина, но он любил меня как сына, и не один раз называл меня своей наследницей в присутствии самых благородных людей этих земель, чтобы ни к у кого не возникало сомнений в его намерениях. Нет такого закона, который запрещал бы женщине править - у нас, свадийцев, полно легенд про королев-воительниц, которые правили нами в далеком прошлом.
str_vaegir_rebellion_pretender_story_1|Мой отец умер, когда я был еще ребенком, и оставил меня на попечение своего брата - регента Бурелека. Но вместо того, чтобы хранить трон до моего совершеннолетия, этот узурпатор с помощью новообретенной власти обвинил мою мать в измене и заявил, что я не сын своего отца. Мать казнили, а меня признали незаконнорожденным.
str_khergit_rebellion_pretender_story_1|Саньяр-хан и я - братья, сыновья старого Янакир-хана, хоть и от разных матерей. Я и моложе, но любой, кто знал старого хана, подтвердит - я был любимцем отца, и он позволял мне править вместе с ним. Саньяр же устраивал бесконечные охоты и пиры, чтобы завоевать привязанность самых распутных военачальников моего отца.
str_nord_rebellion_pretender_story_1|Меня прозвали Странником потому, что я всегда путешествовал в дальние - даже по меркам нордов - страны в поисках знаний. Когда я еще был молод, мой отец отправлял меня обучаться при дворах и в университетах заморских стран. Если норды зовут себя наследниками кальрадианской империи, они должны вести себя подобающе и знать кое-что о законах и буквах, а не просто драться, грабить и пить.
str_rhodok_rebellion_pretender_story_1|Родоки - свободный народ, а не рабы наследного монарха. Короля должно избирать из влиятельнейших благородных семейств этой земли, и избирать его должен совет, состоящий из знати Джелкалы, Велуки и Ялена. Совет встречается в поле перед Джелкалой, и никому не позволено приближаться к нему до окончания, под страхом смерти.
str_sarranid_rebellion_pretender_story_1|Я родилась в дальнем краю, в самой обычной семье. Еще девочкой я стала рабыней, но в том не было стыда: многие из наших царей в молодости побывали рабами. Как-то раз на рынке меня приметил старый султан Айзар. Он был сражен моей красотой и ввел в свой дом. Позже он полюбил меня и за ум. Одряхлев, он позволил мне править от своего имени. Сперва я занималась только делами дворца, а потом и всей страны.
str_swadian_rebellion_pretender_story_2|Но когда мой отец умер, его кузен Харлаус убедил знать, что ни один нормальный свадиец не назовет своей наследницей женщину. Харлаус сказал, что отец передал мне наследство в помутненном рассудке, что незаконно, и трон должен занять он сам как ближайший родственник моего отца мужского пола.
str_vaegir_rebellion_pretender_story_2|Преданный слуга увез меня за границу, но теперь я вырос и вернулся, чтобы потребовать принадлежащее мне по праву. Бурелек умер вскоре после своего предательства - вот вам и небесная кара. Сейчас королем зовется его сын Яроглек, но так как его притязания незаконны, он такой же узурпатор, как и его отец, и я сброшу его с трона.
str_khergit_rebellion_pretender_story_2|Согласно хергитским традициям, когда человек умирает, его имущество делится поровну между его сыновьями. Так же и с ханством. О смерти своего отца я узнал, когда патрулировал наши границы, но я тут же поспешил домой, в Тульгу, чтобы отдать Саньяру его часть и разделить ханство с ним. Но когда я приехал, то обнаружил, что он собрал всех своих придворных прихлебателей и объявил себя единственным ханом.
str_nord_rebellion_pretender_story_2|Мой отец умер до того, как я закончил курс обучения, и когда я мчался домой, чтобы занять трон, мой корабль попал в шторм. Один из танов моего отца, Рагнар, использовал эту возможность для распространения сплетен о том, будто я умер за границей. Он собрал всех своих последователей, объявил себя королем и в течение нескольких последующих лет только и делал, что укреплял свою силу.
str_rhodok_rebellion_pretender_story_2|Во время последних выборов было всего два кандидата - я и лорд Гравет. Пока совет решал, появился Гравет с мечом в руке и сказал, что армия свадийцев вот-вот подойдет сюда - это, кстати, было правдой - и если они не изберут его королем, то он бросит их на произвол судьбы.
str_sarranid_rebellion_pretender_story_2|Когда умер султан Айзар, для эмиров страны было само собой разумеющимся провозгласить меня главой государства - так удалось избежать гражданской войны. Однако эмиры настояли, что я должна выйти замуж за одного из полководцев султана по имени Байбак. После этого эмиры принесли нам клятву верности: Байбаку как командующему армиями, а мне как матери земель. В наше короткое правление страна процветала.
str_swadian_rebellion_pretender_story_3|Признаю, что я поступила некрасиво, прокляв Харлауса и всех, кто его послушал, но я также уверена в том, что он подкупил всех выступивших в его защиту. Но неважно - я соберу армию из преданных людей, верных памяти и воле своего короля. А если кто-то еще сомневается, что женщине можно давать власть, я быстро заставлю их изменить свое мнение, стащив с головы Харлауса корону, которую он надел незаконно!
str_vaegir_rebellion_pretender_story_3|Пока я не восстановлю свои права в глазах всех вегиров, я буду носить прозвище Ублюдок" как напоминание о том, что мне предстоит сделать."
str_khergit_rebellion_pretender_story_3|Мой брат убежден, что хергиты уважают только силу: настоящий хан всегда делает то, что хочет, и берет то, что ему нужно. Я думаю, он ошибается - наш народ не таков. Мы восхищаемся достойными вождями, но никогда не забываем, что человек, предавший родного брата, может с такой же легкостью предать своих бойцов и всех своих последователей.
str_nord_rebellion_pretender_story_3|Итак, я по-прежнему остаюсь в изгнании, но я больше не предаюсь бесплодным мечтаниям, а собираю верных бойцов, чтобы вернуться в землю нордов и силой добиться справедливости. Если Рагнар усомнится в моей способности управлять нашей землей, пусть попробует сказать мне это в лицо. Оружие очень помогает решать подобные вопросы. Может быть, тогда он поймет, что воин может быть отличным ученым и наоборот и что именно такой человек, одинаково умело обращающийся с мечом и с мыслью, достоин стать королем.
str_rhodok_rebellion_pretender_story_3|Да, Гравет расправился со свадийцами, и за это я как родок ему благодарен. Когда я стану королем, я самолично надену на него победный венок. Но потом я срублю ему голову с плеч за то, что он предал совет родоков и его священный обычай.
str_sarranid_rebellion_pretender_story_3|К несчастью, вскоре Байбак погиб в стычке с хергитами. Узнай я об этом сразу же, я сумела бы подготовиться к будущему предательству. Увы, но Хаким, подлый племянник моего мужа, успел ударить первым. Он прискакал во дворец со своими людьми и под угрозой смерти выставил меня за ворота. Но это еще не конец. Я соберу свою собственную армию и верну старые долги.
str_swadian_rebellion_monarch_response_1|Изолла считает, что должна быть королевой свадийцев? Ну, у короля Эстериха было доброе сердце, и дочь свою он очень любил, но добросердечный король без головы - это катастрофа для народа. Пусть Изолла рассказывает свои истории о королевах-воительницах, но вспомните, что все эти легенды кончаются одинаково - свадийцев наголову разбивает армия императора Кальрадии.
str_vaegir_rebellion_monarch_response_1|Если бы Вальдим пришел ко мне с миром, то я одарил бы его титулами и окружил почестями, и он стал бы моим величайшим вассалом. Но раз он пришел с войной, я велю притащить его ко мне в кандалах и заставлю признать меня законным правителем, а потом вырежу ему язык, чтобы он не мог отречься от своих слов.
str_khergit_rebellion_monarch_response_1|Мой брат Дастум, должно быть, рассказал вам о своем намерении разделить ханство, будто это стадо овец. Я вам вот что скажу. С тех самых пор, как хергиты поселились на этой земле, смерть каждого хана приводила к одному - ханство делилось, сыновья хана шли друг на друга войной, и в итоге все доставалось самому сильному. Я всего лишь хотел предотвратить гражданскую войну.
str_nord_rebellion_monarch_response_1|Летвин Странник? Скорей уж Летвин Заумник! Вы наверняка слышали выражение: Горе королевству, которым правит ребенок"? То же самое можно сказать и про правителя-студента. Вы что, хотите, чтобы нордами правил юнец, на руках которого даже нет мозолей от меча, который не умеет держать щит? Да если бы Летвин стал королем, его таны смеялись бы ему в лицо!"
str_rhodok_rebellion_monarch_response_1|Лорд Кастор, несомненно, рассказал вам, как я осквернил священный ритуал родоков, вмешавшись в выборы нового короля. Позвольте сказать вот что. Городская знать, конечно, может сколько угодно рассуждать о наших древних свободах, но потом они выберут королем того, кто последний раз гостил у них на вилле, пил их вино и обещал не обращать внимания на их неуплаченные налоги.
str_sarranid_rebellion_monarch_response_1|Наши ученые давно сошлись в одном: управление страной строится по единому закону. Люди должны принимать высшую власть, потому что даже тирания лучше гражданской войны. Именно поэтому я признал власть Байбака и Арвы, принеся клятву верности им обоим как двум правителям страны.
str_swadian_rebellion_monarch_response_2|Те, кто рыдают над историей свадийской принцессы, которую лишили трона, лучше бы обратили внимание на судьбу свадийской пастушки, которую похитил вегирский разбойник и продал на невольничьем рынке. Вот когда мы уничтожим наших воинственных соседей и в нашей стране наступит мир, тогда и поговорим о королевах и древних легендах.
str_vaegir_rebellion_monarch_response_2|Неважно, что сделал или не сделал мой отец для сохранности трона. Я унаследовал его, и говорить тут не о чем. Если бы каждое право оспаривалось, если бы насчет каждого наследства появлялись сомнения, то королевства давно бы умерли, и мы бы жили в условиях непрекращающейся гражданской войны.
str_khergit_rebellion_monarch_response_2|Дастум стал бы отличным управляющим или судьей в вопросах землевладения. Но разве можно представить его ханом? Да наши соседи вмиг бы отняли у нас все земли, и мы бы вернулись к своему голодному прошлому в степях.
str_nord_rebellion_monarch_response_2|Может, у Хакрима и возникла безумная идея разрушить таким образом свое королевство, но королевской крови мало для того, чтобы стать истинным правителем нордов! Я король по выбору танов и по праву сильнейшего. Это значит больше, чем родословная, и горе любому, кто скажет иначе!
str_rhodok_rebellion_monarch_response_2|Единственная свобода, которая им нужна - это свобода жрать и спать! А тем временем мои люди спят в степи, едят сухой хлеб и соленую рыбу, высматривают на горизонте горящие деревни и проливают кровь для того, чтобы сохранить маршруты караванам. О, хорошая идея! Если я когда-нибудь встречу торговца, который хромает из-за раны, нанесенной хергитской стрелой или свадийским мечом, я скажу: Вот этот человек сможет стать достойным советником!"
str_sarranid_rebellion_monarch_response_2|Но вам следует знать, что Арву сделали супругой Байбака не из-за природной мудрости или тяге к правосудию. Нет, она стала править, потому что была ведьмой. Колдуньей, способной превратить мужчин вроде Байбака или Айзара в бездумных глупцов. Но я оставался верен своей клятве и поддерживал ее власть, пока был жив ее муж. Теперь ей придется уважать мое право на трон.
str_courtship_comment_conventional_generic|благовоспитанная особа
str_courtship_comment_adventurous_generic|неплохой человек
str_courtship_comment_otherworldly_generic|сама вежливость и обходительность
str_courtship_comment_ambitious_generic|не хватает напора, но это, вероятно, пройдет
str_courtship_comment_moralist_generic|добрая душа
str_feast_description|недостаточно
str_feast_description_2|скудно
str_feast_description_3|едва хватает
str_feast_description_4|в достатке
str_feast_description_5|обильно
str_feast_description_6|изумительно
str_feast_lengthy_description_1|Для гостей и челяди было припасено слишком мало провизии. Им пришлось покупать собственную еду по всей округе, да еще и по диким ценам. Среди приглашенных бытует общее мнение, что вы не смогли проявить должного гостеприимства. Ваша репутация сильно пострадала, да и доверием окружающих вы больше не пользуетесь.
str_feast_lengthy_description_2|Вы запаслись провизией и напитками, однако все запасы вышли еще до конца праздника. Гостям пришлось отправлять слуг, чтобы по возможности разжиться едой и питьем. Часть приглашенных предпочла рано разъехаться по имениям. Люди склонны почитать вас неумехой (хорошо хоть не злостным шутником), и репутация ваша пострадала.
str_feast_lengthy_description_3|Еды и питья хватило на всех знатных гостей, но их челядь не всегда проводила праздник в сытости и достатке. Вы прослыли скопидомом, который блюдет свои обязанности, но не раскошеливается сверх меры.
str_feast_lengthy_description_4|Вы запаслись достаточным количеством еды и питья, не позабыв и о развлечениях. Вино лилось рекой, и в сей непринужденной обстановке гости были не прочь поговорить о делах ваших земель. Теперь они считают вас радушным хозяином и достойным доверия человеком.
str_feast_lengthy_description_5|Вы заставили столы ломиться от вин и яств. Не только благородные дамы и господа да их прислуга, но даже дворовые псы смогли утолить голод и жажду. Ваши гости искренне возносили вам хвалу за радушие и следование традициям. За столами велись непринужденные беседы, что пошло на пользу вашим связям с другими домами.
str_feast_lengthy_description_6|В стране еще долгие месяцы будут говорить об этом великом празднике. Он станет эталоном, мерилом того, как стоит устраивать пиры. Вы накормили не только высокородных гостей и их слуг, но даже нищих, которые позволили себе роскошь стать разборчивыми.
str_kingdom_1_adjective|Свад.
str_kingdom_2_adjective|Вегир.
str_kingdom_3_adjective|Хергит.
str_kingdom_4_adjective|Норд.
str_kingdom_5_adjective|Родок.
str_kingdom_6_adjective|Сарранид.
str_credits_1|Mount&Blade: Warband Copyright 2008-2014 Taleworlds Entertainment^^Перевод осуществлен Deyl&Co team и распространяется под лицензией CC-BY-NC-SA 3.0.^^Авторы:^^Deyl^^Lesjar^^Mixail^^Йохан^^Спасибо всем, кто нам помогал на rusmnb.ru^^Спасибо by-reservation.com за техническую поддержку
str_credits_2|Game design:^Armagan Yavuz^Steve Negus^Cem Cimenbicer
str_credits_3|Программирование:^Armagan Yavuz^Cem Cimenbicer^Serdar Kocdemir^Ozan Gumus^Mustafa Korkmaz^^Дополнительное программирование:^Gokhan Uras^M. Furkan Yilmaz
str_credits_4|CG Artists:^Ozgur Saral^Mustafa Ozturk^Pinar Cekic^Ozan Unlu^Yigit Savtur^Umit Singil
str_credits_5|Concept Artist:^Ganbat Badamkhand
str_credits_6|Writing:^Steve Negus^Armagan Yavuz^Ryan A. Span
str_credits_7|Original Music:^Jesse Hopkins
str_credits_8|Voice Talent:^Tassilo Egloffstein
str_credits_9|This game has been supported by The Scientific and Technological Research Council of Turkey.^^Tutorial written by:^Steve Negus^Armagan Yavuz^Edward Spoerl^^Horse Motion Capture Animation Supplied by:^Richard Widgery & Kinetic Impulse^^Physics:^Havok^^Sound and Music Program Library:^FMODex Sound System by Firelight Technologies^^Skybox Textures:^Jay Weston^^Chinese Translation:^Hetairoi; Gaodatailang; silentjealousy; Ginn; fallout13; James; D.Kaede; Kan2; alixyang; muyiboy^^TaleWorlds Director of Communications:^Ali Erkin^^TaleWorlds Forum Programming:^Brett Flannigan ^^^TaleWorlds.com Forum Administrators and Moderators:^Janus^Archonsod^Narcissus^Nairagorn^Lost Lamb^Deus Ex^Merentha^Volkier^Instag0^Ativan^ego^Guspav^Hallequin^Invictus^okiN^Raz^rejenorst^Skyrage^ThVaz^^^Mount&Blade Community Suggestions and Feedback:^A Mustang^adamlug^Adorno^alden^Alhanalem^amade^Anthallas^Alkhadias Master^Arch3r^Archevious^Arcas Nebun^Arcon^Arcturus^ares007^Arjihad^BadabombadaBang^Badun^BaronAsh^Berserker Pride^bgfan^bierdopjeee^Big Mac^Binboy^blink180heights^BlodsHammar^Bloid^Brandon^Brego^chenjielian^cifre^COGlory^Corinthian Hoplite^Crazed Rabbit^CryptoCactus^CtrlAltDe1337^Cuther^Da-V-Man^dimitrischris^dstemmer^EasyCo506^Egbert^ethneldryt^eudaimondaimon^Faranox^Fawzia dokhtar-i-Sanjar^Fei Dao^Gabeed^GeN76^General Hospital^GhosTR^glustrod^Gubbo^guspav^Halcyon^Harn^Hethwill^Highelfwarrior^HULKSMASH^Iberon^ignoble^Jack Merchantson^JoG^Jov^Kazzan^King Jonathan the Great^Kleidophoros^knight^Kong Burger^Kristiania^l3asu^Larkraxm^Leandro1021DX^lighthaze^Llew2^Lord Rich^lordum ediz^Lucke189^Mabons^MacPharlan^Madnes5^MagicMaster^Makh^ManiK^Manitas^Marin Peace Bringer^Martinet^MAXHARDMAN^Merlkir^miguel8500^Mithras^Moddan^Nate^Nemeo^Nite/m4re^noobalicous^Nord Champion^okiN^Orion^OTuphlos^Papa Lazarou^Phallas^Plazek^Prcin^PSYCHO78^PsykoOps^Reapy^Red River^Rhizobium^Riggea^Rongar^Ros^sadnhappy^Sarejo^ScientiaExcelsa^Scorch!^Seawied86^sebal87^shikamaru 1993^Shun^silentdawn^Sir Gowe^Skyrage^Slawomir of Aaarrghh^SoloSebo^SovietSoldier^Stabbing Hobo^Stratigos001^Styo^TalonAquila^test^The Yogi^Thundertrod^Thyr^Tim^Titanshoe^tmos^Toffey^Tonttu^Trenalok^Tronde^UberWiggett^Urist^Ursca^urtzi^Vermin^Viajero^Vincenzo^Vulkan^Warcat92^Welcome To Hell^Wheem^Wu-long^Yellonet^Yobbo^Yoshi Murasaki^Yoshiboy^Zyconnic^^^Special Thanks to Toby Lee for his ideas and in depth feedback on the combat system.^...and many many other wonderful Mount&Blade players!^^(This is only a small sample of all the players who have contributed to the game by providing suggestions and feedback.^This list has been compiled by sampling only a few threads in the Taleworlds Forums.^Unfortunately compiling an exhaustive list is almost impossible.^We apologize sincerely if you contributed your suggestions and feedback but were not listed here, and please know that we are grateful to you all the same...)
str_credits_10|Paradox Interactive^^President and CEO:^Theodore Bergqvist^^Executive Vice President:^Fredrik Wester^^Chief Financial Officer:^Lena Eriksson^^Finance & Accounting:^Annlouise Larsson^^VP Sales & Marketing US:^Reena M. Miranda^^VP Sales & Marketing EU:^Martin Sirc^^Distribution Manager Nordic:^Erik Helmfridsson^^Director of PR & Marketing:^Susana Meza^^PR & Marketing:^Sofia Forsgren^^Product Manager:^Boel Bermann
str_credits_11|Logotype:^Jason Brown^^Cover Art:^Piotr Fox Wysocki^^Layout:^Christian Sabe^Melina Grundel^^Poster:^Piotr Fox Wysocki^^Map & Concept Art:^Ganbat Badamkhand^^Manual Editing:^Digital Wordsmithing: Ryan Newman, Nick Stewart^^Web:^Martin Ericsson^^Marketing Assets:^2Coats^^Localization:^S&H Entertainment Localization^^GamersGate:^Ulf Hedblom^Andreas Pousette^Martin Ericson^Christoffer Lindberg
str_credits_12|Thanks to all of our partners worldwide, in particular long-term partners:^Koch Media (Germany & UK)^Blue Label (Italy & France)^Friendware (Spain)^New Era Interactive Media Co. Ltd. (Asia)^Snowball (Russia)^Pinnacle (UK)^Porto Editora (Portugal)^Hell-Tech (Greece)^CD Projekt (Poland, Czech Republic, Slovakia & Hungary)^Paradox Scandinavian Distribution (Scandinavia)
str_multi_scene_1|Развалины
str_multi_scene_2|Деревня
str_multi_scene_3|Замок Хейлс
str_multi_scene_4|Руины крепости
str_multi_scene_5|Место 5
str_multi_scene_6|Место 6
str_multi_scene_7|Поле за рекой
str_multi_scene_8|Замок Рудхан
str_multi_scene_9|Заснеженная деревня
str_multi_scene_10|Замок Турин
str_multi_scene_11|Нордский город
str_multi_scene_16|Нападение на порт
str_multi_scene_17|Замок Брюнвуд
str_multi_scene_18|Ледовое побоище
str_multi_scene_19|Замок Махдаар
str_multi_scene_20|Замок Джамейед
str_multi_scene_21|Арена
str_multi_scene_22|Лесное убежище
str_multi_scene_23|Каньон
str_multi_scene_24|Пустынный город
str_multi_scene_12|Случайные равнины (средняя)
str_multi_scene_13|Случайные равнины (большая)
str_multi_scene_14|Случайная степь (средняя)
str_multi_scene_15|Случайная степь (большая)
str_multi_scene_end|конец мульти-сцены
str_multi_game_type_1|Бой до смерти
str_multi_game_type_2|Командный бой до смерти
str_multi_game_type_3|Битва
str_multi_game_type_4|Захвати и разрушь
str_multi_game_type_5|Захват флага
str_multi_game_type_6|Покорение
str_multi_game_type_7|Осада
str_multi_game_type_8|Дуэль
str_multi_game_types_end|конец типов мульти-игр
str_poll_kick_player_s1_by_s0|{s0} устраивает голосование, чтобы удалить игрока {s1}.
str_poll_ban_player_s1_by_s0|{s0} устраивает голосование, чтобы изгнать игрока {s1}.
str_poll_change_map_to_s1_by_s0|{s0} устраивает голосование, чтобы сменить карту на {s1}.
str_poll_change_map_to_s1_and_factions_to_s2_and_s3_by_s0|{s0} устраивает голосование, чтобы сменить карту на {s1} и заменить фракции на {s2} и {s3}.
str_poll_change_number_of_bots_to_reg0_and_reg1_by_s0|{s0} устраивает голосование, чтобы изменить число ботов с {reg0} до {reg1}.
str_poll_kick_player|Удалить игрока {s0}: 1 = Да, 2 = Нет
str_poll_ban_player|Изгнать игрока {s0}: 1 = Да, 2 = Нет
str_poll_change_map|Сменить карту на {s0}: 1 = Да, 2 = Нет
str_poll_change_map_with_faction|Сменить карту на {s0} и фракции на {s1} и {s2}: 1 = Да, 2 = Нет
str_poll_change_number_of_bots|Изменить число ботов на {reg0} для фракции {s0} и {reg1} для фракции {s1}: 1 = Да, 2 = Нет
str_poll_time_left|(осталось {reg0} сек.)
str_poll_result_yes|Большинство проголосовало за.
str_poll_result_no|Большинство проголосовало против.
str_total_item_cost_reg0|Общая цена: {reg0}
str_server_name|Имя сервера:
str_game_password|Пароль игры:
str_map|Карта:
str_game_type|Тип игры:
str_max_number_of_players|Максимум игроков:
str_number_of_bots_in_team_reg1|Число ботов в команде {reg1}:
str_team_reg1_faction|Фракция команды {reg1}:
str_enable_valve_anti_cheat|Античит Valve (требуется действующий аккаунт Steam)
str_allow_friendly_fire|Стрельба по своим
str_allow_melee_friendly_fire|Удары по своим
str_friendly_fire_damage_self_ratio|Урон по себе (%):
str_friendly_fire_damage_friend_ratio|Урон по своим (%):
str_spectator_camera|Камера зрителя:
str_control_block_direction|Указание управляющего блока:
str_map_time_limit|Ограничение по времени (в минутах):
str_round_time_limit|Ограничение раунда по времени (в секундах):
str_players_take_control_of_a_bot_after_death|Переключение на бота после смерти:
str_team_points_limit|Лимит командных очков:
str_point_gained_from_flags|Командные очки за флаги (%):
str_point_gained_from_capturing_flag|Очки за захват флагов:
str_respawn_period|Время возрождения (в секундах):
str_add_to_official_game_servers_list|В официальный список серверов
str_combat_speed|Скорость боя:
str_combat_speed_0|Минимальная
str_combat_speed_1|Низкая
str_combat_speed_2|Средняя
str_combat_speed_3|Высокая
str_combat_speed_4|Максимальная
str_off|Выкл.
str_on|Вкл.
str_defender_spawn_count_limit|Число возрождений защитников:
str_unlimited|Бесконечное
str_automatic|Автоматическое
str_by_mouse_movement|По движению мыши
str_free|Свободное
str_stick_to_any_player|Закреплено за игроком
str_stick_to_team_members|Закреплено за членами команды
str_stick_to_team_members_view|Закреплено за видом членов команды
str_make_factions_voteable|Сделать фракции объектами голосования
str_make_kick_voteable|Исключать игроков голосованием
str_make_ban_voteable|Закрывать доступ на сервер голосованием
str_bots_upper_limit_for_votes|Добавлять ботов голосованием:
str_make_maps_voteable|Менять карты голосованием
str_valid_vote_ratio|Необходимое количество голосов (%):
str_auto_team_balance_limit|Порог автобаланса команд (разница):
str_welcome_message|Приветственное сообщение:
str_initial_gold_multiplier|Начальное золото (%):
str_battle_earnings_multiplier|Бонус золота в бою (%):
str_round_earnings_multiplier|Бонус золота за раунд (%):
str_allow_player_banners|Разрешить личные флаги
str_force_default_armor|Обязать ношение брони
str_respawning_in_reg0_seconds|Появление через {reg0} сек...
str_no_more_respawns_remained_this_round|Жизни на этот раунд израсходованы
str_reg0_respawns_remained|(Осталось жизней: {reg0})
str_this_is_your_last_respawn|(Это ваша последняя жизнь)
str_wait_next_round|(Ждите следующего раунда)
str_yes_wo_dot|Да
str_no_wo_dot|Нет
str_we_resign|У нас не осталось сил для продолжения боя. Мы сдаемся на вашу милость, {playername}.
str_i_resign|Я не хочу умирать сегодня, я сдаюсь.
str_s1_returned_flag|{s1} - игроки вернули флаг на свою базу!
str_s1_auto_returned_flag|{s1} - флаг автоматически вернулся на базу!
str_s1_captured_flag|{s1} - игроки захватили чужой флаг!
str_s1_taken_flag|{s1} - игроки забрали чужой флаг!
str_s1_neutralized_flag_reg0|{s1} - игроки обезвредили флаг стороны {reg0}.
str_s1_captured_flag_reg0|{s1} - игроки захватили флаг стороны {reg0}!
str_s1_pulling_flag_reg0|{s1} - игроки начали перемещать флаг стороны {reg0}.
str_s1_destroyed_target_0|{s1} уничтожили цель А!
str_s1_destroyed_target_1|{s1} - игроки уничтожили цель 2!
str_s1_destroyed_catapult|{s1} - игроки уничтожили катапульту!
str_s1_destroyed_trebuchet|{s1} - игроки уничтожили требушет!
str_s1_destroyed_all_targets|{s1} - игроки уничтожили все цели!
str_s1_saved_1_target|{s1} - игроки сберегли одну цель.
str_s1_saved_2_targets|{s1} - игроки сберегли все цели.
str_s1_defended_castle|{s1} - игроки защитили свой замок!
str_s1_captured_castle|{s1} - игроки захватили замок!
str_auto_team_balance_in_20_seconds|Автобаланс: будет выполнен за 20 секунд.
