stringsfile version 1
3399
str_no_string NO_STRING!
str_rebellion_agree_upstanding I_am_sorry._{s45}'s_claim_is_not_strong_enough_for_me_to_inflict_the_curse_of_civil_disorder_on_the_poor_wretches_of_this_land._I_will_continue_to_back_{s46}._May_the_Heavens_forgive_me_if_I_do_wrong.
str_talk_later_default {!}[liege]
str_talk_later_martial Now_is_not_the_time_to_talk_politics!_I_am_here_today_with_my_fellow_lords,_armed_for_battle._You'd_better_prepare_to_fight.
str_talk_later_quarrelsome Do_you_expect_me_to_discuss_betraying_my_liege_with_you,_while_we_are_surrounded_by_his_army?_What_do_you_take_me_for,_a_bloody_idiot?
str_talk_later_pitiless Still_your_tongue!_Whatever_I_have_to_say_on_this_matter,_I_will_not_say_it_here_and_now,_while_we_are_in_the_midst_of_our_army.
str_talk_later_cunning This_is_hardly_the_time_or_the_place_for_such_a_discussion._Perhaps_we_can_discuss_it_at_a_later_time_and_a_different_place,_but_for_now_we're_still_foes.
str_talk_later_sadistic You_should_have_your_mouth_sewn_shut!_Can_you_imagine_what_would_happen_if_the_other_vassals_see_me_talking_to_you_of_treason?
str_talk_later_goodnatured So_you_wish_to_discuss_your_rebellion_with_me?_Try_that_again_when_we_aren't_surrounded_by_my_liege's_army,_and_I_will_hear_what_you_have_to_say.
str_talk_later_upstanding Whatever_my_thoughts_on_the_legitimacy_of_the_succession,_I_am_not_about_to_discuss_them_here_and_now._If_we_meet_again_when_we_can_talk_in_privacy,_I_will_hear_what_you_have_to_say_on_the_matter._But_for_now,_consider_me_your_enemy.
str_npc_claim_throne_liege {!}[placeholder_-_i_am_already_king]
str_npc_claim_throne_liege_martial {!}[it_is_my_right_by_birth].
str_npc_claim_throne_liege_quarrelsome {!}[in_this_life,_you_take_power_when_you_can_get_it
str_npc_claim_throne_liege_pitiless {!}[it_is_my_right_by_birth].
str_npc_claim_throne_liege_cunning {!}[i_suppose_there_comes_a_time_in_a_man's_life_when_you_should_grasp_at_a_crown,_as_you'll_always_regret_not_doing_it].
str_npc_claim_throne_liege_sadistic {!}[i_will_show_those_who_despise_me].
str_npc_claim_throne_liege_goodnatured {!}[if_you_really_think_that_i_have_the_best_claim].
str_npc_claim_throne_liege_upstanding {!}[i_could_do_much_good].
str_gossip_about_character_default They_say_that_{s6}_doesn't_possess_any_interesting_character_traits.
str_gossip_about_character_martial They_say_that_{s6}_loves_nothing_more_than_war.
str_gossip_about_character_quarrelsome They_say_that_{s6}_almost_came_to_blows_with_another_lord_lately,_because_the_man_made_a_joke_about_his_nose.
str_gossip_about_character_selfrighteous I_heard_that_{s6}_had_a_squire_executed_because_the_unfortunate_man_killed_a_deer_in_his_forest.
str_gossip_about_character_cunning They_say_that_{s6}_is_a_cunning_opponent.
str_gossip_about_character_sadistic They_say_that_{s6}_likes_to_torture_his_enemies._I_wouldn't_want_to_get_on_the_bad_side_of_that_man.
str_gossip_about_character_goodnatured They_say_that_{s6}_is_a_good_man_and_treats_people_living_in_his_lands_decently._That_is_more_than_what_can_be_said_for_most_of_the_nobles.
str_gossip_about_character_upstanding People_say_that_it_is_good_to_be_in_the_service_of_{s6}._He_is_good_to_his_followers,_and_rewards_them_if_they_work_well.
str_latest_rumor The_latest_rumor_you_heard_about_{s6}_was:
str_changed_my_mind_default {!}[liege]
str_changed_my_mind_martial However,_your_stirring_words_make_me_reconsider_my_position.
str_changed_my_mind_quarrelsome But_I_think_you've_talked_me_into_it_anyway,_you_bastard._I'm_still_listening
str_changed_my_mind_pitiless But_when_you_plea_like_that,_I_will_deign_to_reconsider.
str_changed_my_mind_cunning But_you_know,_you're_a_well-spoken_bastard._That_impresses_me._I'm_still_listening.
str_changed_my_mind_sadistic But_as_your_silver_tongue_sings_so_pretty_a_song_on_your_behalf,_I_will_not_dismiss_the_idea_just_yet.
str_changed_my_mind_goodnatured But_you_make_a_good_case,_so_I'll_try_to_keep_an_open_mind.
str_changed_my_mind_upstanding However,_you_make_an_eloquent_case._I_am_still_listening.
str_swadian_rebellion_pretender_intro I_am_Isolla,_rightful_Queen_of_the_Swadians.
str_vaegir_rebellion_pretender_intro My_name_is_Valdym._Some_men_call_me_'the_Bastard.'_I_am_a_prince_of_the_Vaegirs,_but_by_all_rights_I_should_be_their_king,_instead_of_my_cousin_Yaroglek.
str_khergit_rebellion_pretender_intro I_am_Dustum_Khan,_son_of_Janakir_Khan,_and_rightful_Khan_of_the_Khergits.
str_nord_rebellion_pretender_intro I_am_Lethwin_Far-Seeker,_son_of_Hakrim_the_Old,_who_should_be_king_of_the_Nords_of_Calradia.
str_rhodok_rebellion_pretender_intro I_am_Lord_Kastor,_the_rightful_King_of_the_Rhodoks,_who_will_free_them_from_tyranny.
str_sarranid_rebellion_pretender_intro I_am_Arwa,_whom_they_call_the_Pearled_One,_Mother_of_the_Sarranids_and_their_rightful_Queen.
str_swadian_rebellion_pretender_story_1 I_was_the_only_child_of_my_father,_King_Esterich._Although_I_am_a_woman,_he_loved_me_like_a_son_and_named_me_his_heir_--_not_once,_but_several_times,_before_the_grandest_nobles_of_the_land_so_that_none_could_doubt_his_intention._There_is_no_law_that_bars_a_woman_from_ruling_--_indeed,_we_Swadians_tell_tales_of_warrior_queens_who_ruled_us_in_our_distant_past.
str_vaegir_rebellion_pretender_story_1 My_father_died_when_I_was_young,_leaving_me_in_the_care_of_his_brother,_the_regent_Burelek._But_rather_than_hold_the_throne_until_I_came_of_age,_this_usurper_used_his_newfound_power_to_accuse_my_mother_of_adultery,_and_to_claim_that_I_was_not_my_father's_son._She_was_executed_for_treason,_and_I_was_declared_a_bastard.
str_khergit_rebellion_pretender_story_1 Sanjar_Khan_and_I_are_brothers,_sons_of_the_old_Janakir_Khan,_although_of_different_mothers._Although_I_was_the_younger_brother,_all_those_who_knew_the_old_Khan_will_testify_that_throughout_my_father's_life,_I_was_his_favorite,_entrusted_with_the_responsibilities_of_government._Sanjar_busied_himself_with_hunts_and_feasts_to_win_the_affection_of_the_more_dissolate_of_my_father's_commanders.
str_nord_rebellion_pretender_story_1 I_am_called_the_Far-Seeker_because_I_have_travelled_great_distances,_even_by_the_standards_of_the_Nords,_in_search_of_knowledge._Before_I_came_of_age,_my_father_sent_me_abroad_on_a_tour_of_study_at_the_courts_and_universities_in_the_lands_overseas._If_the_Nords_are_to_call_themselves_the_heirs_of_the_Calradian_empire,_then_they_must_act_the_part,_and_know_something_of_law_and_letters,_and_not_call_themselves_content_merely_to_fight,_plunder,_and_drink.
str_rhodok_rebellion_pretender_story_1 The_Rhodoks_are_a_free_people,_and_not_slaves_to_any_hereditary_monarch._The_king_must_be_chosen_from_one_of_the_leading_noble_families_of_the_land,_by_a_council_drawn_by_lot_from_the_patricians_of_the_cities_of_Jelkala,_Veluca,_and_Yalen._The_council_meets_on_a_field_before_Jelkala,_and_no_man_is_allowed_to_appear_in_arms_during_their_deliberations,_on_pain_of_death.
str_sarranid_rebellion_pretender_story_1 I_was_born_in_a_faraway_land,_to_a_humble_family,_and_made_a_slave_when_I_was_but_a_girl_--_but_there_is_no_shame_in_that,_for_the_mothers_of_many_of_our_kings_were_slaves._The_old_Sultan,_Ayzar,_spotted_me_in_the_markets_and_was_struck_by_my_beauty._I_entered_his_household,_and_there_he_also_learned_to_respect_my_intelligence._As_he_grew_older,_he_allowed_me_to_govern_in_his_stead._First_I_managed_the_affairs_of_the_palace,_and_later_those_of_the_realm.
str_swadian_rebellion_pretender_story_2 Yet_when_my_father_died,_his_cousin_Harlaus_convinced_the_nobles_that_no_Swadian_king_of_sound_mind_could_name_a_woman_as_his_heir._Harlaus_said_that_his_designation_of_me_was_the_act_of_a_madman,_and_thus_had_no_legal_standing,_and_that_he,_as_my_father's_closest_male_relative,_should_of_take_the_throne.
str_vaegir_rebellion_pretender_story_2 I_was_smuggled_abroad_by_a_faithful_servant,_but_now_I_am_of_age_and_have_returned_to_reclaim_what_is_rightfully_mine._Burelek_died_soon_after_his_act_of_perfidy_--_the_judgment_of_heaven,_no_doubt._His_son_Yaroglek_now_calls_himself_king,_but_as_his_claim_is_tainted,_he_is_no_less_a_usurper_than_his_father,_and_I_will_topple_him_from_his_throne.
str_khergit_rebellion_pretender_story_2 According_to_Khergit_custom,_when_a_man_dies_his_herds_are_split_between_all_his_sons,_equally._So_too_it_is_with_the_khanate._When_I_heard_of_my_father's_death,_I_was_away_inspecting_our_borders,_but_I_hurried_home_to_Tulga,_ready_to_give_Sanjar_his_due_and_share_the_khanate_with_him._But_when_I_arrived,_I_found_that_he_rushed_his_supporters_to_the_court,_to_have_himself_proclaimed_as_the_sole_khan.
str_nord_rebellion_pretender_story_2 My_father_died_however_before_I_completed_my_course_of_study,_and_as_I_hurried_home_to_claim_his_throne_my_ship_was_wrecked_by_a_storm._One_of_my_father's_thanes,_Ragnar,_seized_this_opportunity_and_spread_rumors_that_I_had_died_abroad._He_summoned_a_gathering_of_his_supporters_to_have_himself_proclaimed_king,_and_has_taken_the_past_few_years_to_consolidate_his_power.
str_rhodok_rebellion_pretender_story_2 During_the_last_selection,_there_were_but_two_candidates,_myself,_and_Lord_Graveth._While_the_council_was_deliberating,_Graveth_appeared,_sword_in_hand,_telling_them_that_a_Swadian_raiding_party_was_about_to_descend_on_the_field_of_deliberation_--_which_was_true,_by_the_way_--_and_if_he_were_not_elected_king,_then_he_would_leave_them_to_their_fate.
str_sarranid_rebellion_pretender_story_2 When_Sultan_Ayzar_died,_it_seemed_to_the_emirs_of_the_realm_only_natural_that_I_should_succeed_him_as_ruler,_thus_avoiding_any_danger_of_civil_war._They_insisted,_however,_that_I_should_marry_one_of_his_generals,_the_Emir_Baybak._The_emirs_then_lined_up_to_give_us_the_oath_of_allegiance_together_--_to_Baybak_as_Commander_of_the_Armies,_and_to_me_as_Mother_of_the_Realm._For_the_brief_time_that_we_ruled,_our_realm_prospered.
str_swadian_rebellion_pretender_story_3 I_will_admit_that_I_did_my_cause_no_good_by_cursing_Harlaus_and_all_who_listened_to_him_as_traitors,_but_I_also_believe_that_the_magistrates_who_ruled_in_his_favor_were_bought._No_matter_--_I_will_raise_an_army_of_loyal_subjects,_who_would_honour_their_old_king's_memory_and_will._And_if_anyone_doubts_that_a_woman_can_wield_power,_then_I_will_prove_them_wrong_by_taking_Harlaus'_ill-gotten_crown_away_from_him.
str_vaegir_rebellion_pretender_story_3 Until_I_have_my_rights_restored_in_the_sight_of_all_the_Vaegirs,_I_will_bear_the_sobriquet,_'the_Bastard',_to_remind_me_of_what_I_must_do.
str_khergit_rebellion_pretender_story_3 My_brother_thinks_that_Khergits_will_only_respect_strength:_a_leader_who_takes_what_he_wants,_when_he_wants_it._But_I_think_that_he_misreads_the_spirit_of_our_people.--we_admire_a_resolute_leader,_but_even_more_we_a_just_one,_and_we_know_that_a_man_who_does_not_respect_his_own_brother's_rights_will_not_respect_the_rights_of_his_followers.
str_nord_rebellion_pretender_story_3 So_I_remain_in_exile_--_except_now_I_am_not_looking_for_sages_to_tutor_me_in_the_wisdom_of_faraway_lands,_but_warriors,_to_come_with_me_back_to_the_land_of_the_Nords_and_regain_my_throne._If_Ragnar_doubts_my_ability_to_rule,_then_let_him_say_so_face_to_face,_as_we_stare_at_each_other_over_the_rims_of_our_shields._For_a_warrior_can_be_a_scholar,_and_a_scholar_a_warrior,_and_to_my_mind,_only_one_who_combines_the_two_is_fit_to_be_king!
str_rhodok_rebellion_pretender_story_3 Well,_Graveth_defeated_the_Swadians,_and_for_that,_as_a_Rhodok,_I_am_grateful._When_I_am_king,_I_will_myself_place_the_wreath_of_victory_on_his_head._But_after_that_I_will_have_it_separated_from_his_shoulders,_for_by_his_actions_he_has_shown_himself_a_traitor_to_the_Rhodok_confederacy_and_its_sacred_custom.
str_sarranid_rebellion_pretender_story_3 But_alas,_Baybak_himself_was_soon_killed_in_a_skirmish_with_the_Khergits._Had_I_known_of_his_death_in_time,_I_would_have_been_able_to_prepare_myself_against_any_possibility_of_betrayal._But_alas,_my_husband's_treacherous_nephew_Hakim_came_riding_with_his_men,_still_covered_with_the_dust_of_the_battlefield,_and_drove_me_from_the_palace_at_swordpoint_and_proclaimed_himself_sultan._So_be_it_--_I_shall_gather_an_army_of_my_own,_and_return_him_the_favor.
str_swadian_rebellion_monarch_response_1 Isolla_thinks_she_should_be_Queen_of_the_Swadians?_Well,_King_Esterich_had_a_kind_heart,_and_doted_on_his_daughter,_but_a_good-hearted_king_who_doesn't_use_his_head_can_be_a_curse_to_his_people._Isolla_may_tell_you_stories_of_warrior_queens_of_old,_but_you_might_also_recall_that_all_the_old_legends_end_in_the_same_way_--_with_the_Swadians_crushed_underfoot_by_the_armies_of_the_Calradic_Emperor.
str_vaegir_rebellion_monarch_response_1 Were_Valdym_to_come_to_me_in_peace,_I_would_laden_him_with_titles_and_honours,_and_he_would_become_the_greatest_of_my_vassals._But_as_he_comes_in_war,_I_will_drag_him_before_me_in_chains_and_make_him_acknowledge_me_as_rightful_sovereign,_then_cut_his_tongue_from_his_mouth_so_that_he_cannot_recant.
str_khergit_rebellion_monarch_response_1 My_brother_Dustum_has_perhaps_told_you_of_his_insistence_upon_splitting_the_khanate,_as_though_it_were_a_herd_of_sheep._Let_me_tell_you_something._Ever_since_the_Khergits_established_themselves_on_this_land,_the_death_of_every_khan_has_had_the_same_result_--_the_land_was_divided,_the_khan's_sons_went_to_war,_and_the_strongest_took_it_all_anyway._I_simply_had_the_foresight_to_stave_off_the_civil_war_in_advance.
str_nord_rebellion_monarch_response_1 Lethwin_'Far-Seeker'?_Lethwin_Inkfingers,_is_more_like_it._Perhaps_you_have_heard_the_expression,_'Unhappy_is_the_land_whose_king_is_a_child.'_Unhappy_too_is_the_land_whose_king_is_a_student._You_want_the_Nords_to_be_ruled_by_a_beardless_youth,_whose_hand_bears_no_callouses_left_by_a_sword's_grip,_who_has_never_stood_in_a_shield_wall?_If_Lethwin_were_king,_his_thanes_would_laugh_at_him_to_his_face!
str_rhodok_rebellion_monarch_response_1 No_doubt_Lord_Kastor_told_you_that_I_defiled_the_hallowed_Rhodok_custom_by_interfering_with_the_patricians'_election_of_a_king._Well,_let_me_tell_you_something._The_patricians_of_the_towns_make_longwinded_speeches_about_our_ancient_liberties,_but_then_choose_as_their_king_whichever_noble_last_sat_in_their_villa_and_sipped_a_fine_wine_and_promised_to_overlook_their_unpaid_taxes.
str_sarranid_rebellion_monarch_response_1 Our_scholars_have_long_agreed_that_there_is_one_overriding_principle_in_politics._Men_should_accept_the_authority_of_the_ruler,_because_tyranny_is_better_than_civil_war._It_was_for_that_reason_that_I_accepted_the_authority_of_both_Baybak_and_Arwa,_to_whom_I_gave_my_oath_as_co-rulers.
str_swadian_rebellion_monarch_response_2 Those_who_weep_for_the_plight_of_a_Swadian_princess_denied_her_father's_throne_should_reflect_instead_on_the_fate_of_a_Swadian_herdswoman_seized_by_a_Vaegir_raider_and_taken_as_chattel_to_the_slave_markets._Talk_to_me_of_queens_and_old_stories_when_our_warlike_neighbors_are_vanquished,_and_our_land_is_at_peace.
str_vaegir_rebellion_monarch_response_2 Whatever_my_father_may_or_may_not_have_done_to_secure_the_throne_does_not_matter._I_have_inherited_it,_and_that_is_final._If_every_old_claim_were_to_be_brought_up_anew,_if_every_man's_inheritance_could_be_called_into_question_at_any_time,_then_it_would_be_the_end_of_the_institution_of_kingship,_and_we_would_live_in_a_state_of_constant_civil_war.
str_khergit_rebellion_monarch_response_2 Dustum_would_make_a_fine_assessor_of_flocks,_or_adjudicator_of_land_disputes._But_can_you_imagine_such_a_man_as_khan?_We_would_be_run_off_of_our_land_in_no_time_by_our_neighbors,_and_return_to_our_old_days_of_starving_and_freezing_on_the_steppe.
str_nord_rebellion_monarch_response_2 Old_Hakrim_may_have_had_fancy_ideas_about_how_to_dispose_of_his_kingdom,_but_it_is_not_just_royal_blood_that_makes_a_King_of_the_Nords._I_am_king_by_acclamation_of_the_thanes,_and_by_right_of_being_the_strongest._That_counts_for_more_than_blood,_and_woe_to_any_man_in_this_land_who_says_otherwise.
str_rhodok_rebellion_monarch_response_2 The_only_liberty_that_concerns_them_is_their_liberty_to_grow_fat._Meanwhile,_my_men_sleep_out_on_the_steppe,_and_eat_dry_bread_and_salt_fish,_and_scan_the_horizon_for_burning_villages,_and_shed_our_blood_to_keep_the_caravan_routes_open._Here's_an_idea_--_if_I_ever_meet_a_merchant_who_limps_from_a_Khergit_arrow-wound_or_a_Swadian_sword-stroke,_then_I'll_say,_'Here's_a_man_whose_counsel_is_worth_taking.'
str_sarranid_rebellion_monarch_response_2 You_should_know,_however,_that_Arwa_was_not_chosen_as_Baybak's_partner_because_of_her_wisdom_or_love_of_justice._No,_she_was_chosen_because_she_was_a_witch,_who_could_transform_men_like_Ayzar_and_Baybak_into_stammering_fools._No_matter_--_I_was_true_to_my_oath,_and_respected_her_usurpation,_until_the_very_hour_that_it_was_invalidated_by_the_death_of_her_puppet._Now_she_must_respect_mine.
str_courtship_comment_conventional_generic is_a_very_well-bred_sort
str_courtship_comment_adventurous_generic seems_decent_enough
str_courtship_comment_otherworldly_generic is_most_polite_and_attentive
str_courtship_comment_ambitious_generic lacks_drive_--_but_perhaps_that_may_be_remedied
str_courtship_comment_moralist_generic seems_to_be_a_man_of_good_character
str_feast_description scant
str_feast_description_2 meager
str_feast_description_3 barely_adequate
str_feast_description_4 sufficient
str_feast_description_5 bountiful
str_feast_description_6 magnificent
str_feast_lengthy_description_1 The_food_you_provided_was_insufficient_for_your_guests_and_their_retinues,_forcing_them_to_purchase_their_sustenance_from_the_surrounding_countryside_at_grossly_inflated_prices._The_consensus_among_those_who_attended_was_that_you_failed_to_do_your_duty_as_a_host,_diminishing_both_their_trust_in_you_and_your_overall_reputation.
str_feast_lengthy_description_2 The_food_and_drink_you_provided_eventually_ran_out,_forcing_some_guests_to_either_buy_their_own_from_passing_peddlars,_or_send_some_of_their_retinue_home_early._The_more_charitable_attributed_the_shortfall_to_poor_planning_rather_than_meanness,_but_either_way,_it_did_your_reputation_no_good.
str_feast_lengthy_description_3 The_food_and_drink_you_provided_was_adequate_for_your_noble_guests,_although_some_of_the_commoners_in_their_retinues_went_without._You_are_establishing_a_reputation_as_one_who_has_at_least_a_grasp_of_your_social_obligations_as_a_noble.
str_feast_lengthy_description_4 You_have_provided_enough_food_and_drink,_and_with_sufficient_varieties,_to_do_yourself_credit._The_food,_drink,_and_merriment_have_loosened_your_guests_tongues,_allowing_them_to_converse_candidly_about_the_matters_of_the_realm,_and_deepening_their_trust_in_you.
str_feast_lengthy_description_5 You_have_provided_a_bountiful_table_not_just_for_your_noble_guests_but_for_their_retinues,_with_food_left_over_to_be_distributed_to_the_poor._Your_guests_lavish_praise_upon_you_for_your_generosity,_and_for_your_understanding_of_the_social_obligations_of_your_rank._The_conversation,_fueled_by_the_food_and_drink,_has_been_merry,_strengthening_the_bonds_between_those_who_attended.
str_feast_lengthy_description_6 The_realm_will_be_speaking_of_the_bounty_of_your_table_for_months_to_come,_and_it_will_become_the_standard_to_which_all_other_feasts_will_aspire._You_have_filled_the_bellies_not_just_of_your_noble_guests_and_their_retinues,_but_also_of_the_poor_who_flocked_to_the_gates._
str_kingdom_1_adjective Swadian
str_kingdom_2_adjective Vaegir
str_kingdom_3_adjective Khergit
str_kingdom_4_adjective Nord
str_kingdom_5_adjective Rhodok
str_kingdom_6_adjective Sarranid
str_credits_1 Mount&Blade:_Warband_Copyright_2008-2014_Taleworlds_Entertainment
str_credits_2 Game_design:^Armagan_Yavuz^Steve_Negus^Cem_Cimenbicer
str_credits_3 Programming:^Armagan_Yavuz^Cem_Cimenbicer^Serdar_Kocdemir^Ozan_Gumus^Mustafa_Korkmaz^^Additional_Programming:^Gokhan_Uras^M._Furkan_Yilmaz
str_credits_4 CG_Artists:^Ozgur_Saral^Mustafa_Ozturk^Pinar_Cekic^Ozan_Unlu^Yigit_Savtur^Umit_Singil
str_credits_5 Concept_Artist:^Ganbat_Badamkhand
str_credits_6 Writing:^Steve_Negus^Armagan_Yavuz^Ryan_A._Span
str_credits_7 Original_Music:^Jesse_Hopkins
str_credits_8 Voice_Talent:^Tassilo_Egloffstein
str_credits_9 This_game_has_been_supported_by_The_Scientific_and_Technological_Research_Council_of_Turkey.^^Tutorial_written_by:^Steve_Negus^Armagan_Yavuz^Edward_Spoerl^^Horse_Motion_Capture_Animation_Supplied_by:^Richard_Widgery_&_Kinetic_Impulse^^Physics:^Havok^^Sound_and_Music_Program_Library:^FMODex_Sound_System_by_Firelight_Technologies^^Skybox_Textures:^Jay_Weston^^Chinese_Translation:^Hetairoi;_Gaodatailang;_silentjealousy;_Ginn;_fallout13;_James;_D.Kaede;_Kan2;_alixyang;_muyiboy^^TaleWorlds_Director_of_Communications:^Ali_Erkin^^TaleWorlds_Forum_Programming:^Brett_Flannigan_^^^TaleWorlds.com_Forum_Administrators_and_Moderators:^Janus^Archonsod^Narcissus^Nairagorn^Lost_Lamb^Deus_Ex^Merentha^Volkier^Instag0^Ativan^ego^Guspav^Hallequin^Invictus^okiN^Raz^rejenorst^Skyrage^ThVaz^^^Mount&Blade_Community_Suggestions_and_Feedback:^A_Mustang^adamlug^Adorno^alden^Alhanalem^amade^Anthallas^Alkhadias_Master^Arch3r^Archevious^Arcas_Nebun^Arcon^Arcturus^ares007^Arjihad^BadabombadaBang^Badun^BaronAsh^Berserker_Pride^bgfan^bierdopjeee^Big_Mac^Binboy^blink180heights^BlodsHammar^Bloid^Brandon^Brego^chenjielian^cifre^COGlory^Corinthian_Hoplite^Crazed_Rabbit^CryptoCactus^CtrlAltDe1337^Cuther^Da-V-Man^dimitrischris^dstemmer^EasyCo506^Egbert^ethneldryt^eudaimondaimon^Faranox^Fawzia_dokhtar-i-Sanjar^Fei_Dao^Gabeed^GeN76^General_Hospital^GhosTR^glustrod^Gubbo^guspav^Halcyon^Harn^Hethwill^Highelfwarrior^HULKSMASH^Iberon^ignoble^Jack_Merchantson^JoG^Jov^Kazzan^King_Jonathan_the_Great^Kleidophoros^knight^Kong_Burger^Kristiania^l3asu^Larkraxm^Leandro1021DX^lighthaze^Llew2^Lord_Rich^lordum_ediz^Lucke189^Mabons^MacPharlan^Madnes5^MagicMaster^Makh^ManiK^Manitas^Marin_Peace_Bringer^Martinet^MAXHARDMAN^Merlkir^miguel8500^Mithras^Moddan^Nate^Nemeo^Nite/m4re^noobalicous^Nord_Champion^okiN^Orion^OTuphlos^Papa_Lazarou^Phallas^Plazek^Prcin^PSYCHO78^PsykoOps^Reapy^Red_River^Rhizobium^Riggea^Rongar^Ros^sadnhappy^Sarejo^ScientiaExcelsa^Scorch!^Seawied86^sebal87^shikamaru_1993^Shun^silentdawn^Sir_Gowe^Skyrage^Slawomir_of_Aaarrghh^SoloSebo^SovietSoldier^Stabbing_Hobo^Stratigos001^Styo^TalonAquila^test^The_Yogi^Thundertrod^Thyr^Tim^Titanshoe^tmos^Toffey^Tonttu^Trenalok^Tronde^UberWiggett^Urist^Ursca^urtzi^Vermin^Viajero^Vincenzo^Vulkan^Warcat92^Welcome_To_Hell^Wheem^Wu-long^Yellonet^Yobbo^Yoshi_Murasaki^Yoshiboy^Zyconnic^^^Special_Thanks_to_Toby_Lee_for_his_ideas_and_in_depth_feedback_on_the_combat_system.^...and_many_many_other_wonderful_Mount&Blade_players!^^(This_is_only_a_small_sample_of_all_the_players_who_have_contributed_to_the_game_by_providing_suggestions_and_feedback.^This_list_has_been_compiled_by_sampling_only_a_few_threads_in_the_Taleworlds_Forums.^Unfortunately_compiling_an_exhaustive_list_is_almost_impossible.^We_apologize_sincerely_if_you_contributed_your_suggestions_and_feedback_but_were_not_listed_here,_and_please_know_that_we_are_grateful_to_you_all_the_same...)
str_credits_10 Paradox_Interactive^^President_and_CEO:^Theodore_Bergqvist^^Executive_Vice_President:^Fredrik_Wester^^Chief_Financial_Officer:^Lena_Eriksson^^Finance_&_Accounting:^Annlouise_Larsson^^VP_Sales_&_Marketing_US:^Reena_M._Miranda^^VP_Sales_&_Marketing_EU:^Martin_Sirc^^Distribution_Manager_Nordic:^Erik_Helmfridsson^^Director_of_PR_&_Marketing:^Susana_Meza^^PR_&_Marketing:^Sofia_Forsgren^^Product_Manager:^Boel_Bermann
str_credits_11 Logotype:^Jason_Brown^^Cover_Art:^Piotr_Fox_Wysocki^^Layout:^Christian_Sabe^Melina_Grundel^^Poster:^Piotr_Fox_Wysocki^^Map_&_Concept_Art:^Ganbat_Badamkhand^^Manual_Editing:^Digital_Wordsmithing:_Ryan_Newman,_Nick_Stewart^^Web:^Martin_Ericsson^^Marketing_Assets:^2Coats^^Localization:^S&H_Entertainment_Localization^^GamersGate:^Ulf_Hedblom^Andreas_Pousette^Martin_Ericson^Christoffer_Lindberg
str_credits_12 Thanks_to_all_of_our_partners_worldwide,_in_particular_long-term_partners:^Koch_Media_(Germany_&_UK)^Blue_Label_(Italy_&_France)^Friendware_(Spain)^New_Era_Interactive_Media_Co._Ltd._(Asia)^Snowball_(Russia)^Pinnacle_(UK)^Porto_Editora_(Portugal)^Hell-Tech_(Greece)^CD_Projekt_(Poland,_Czech_Republic,_Slovakia_&_Hungary)^Paradox_Scandinavian_Distribution_(Scandinavia)
str_multi_scene_1 Ruins
str_multi_scene_2 Village
str_multi_scene_3 Hailes_Castle
str_multi_scene_4 Ruined_Fort
str_multi_scene_5 Scene_5
str_multi_scene_6 Scene_6
str_multi_scene_7 Field_by_the_River
str_multi_scene_8 Rudkhan_Castle
str_multi_scene_9 Snowy_Village
str_multi_scene_10 Turin_Castle
str_multi_scene_11 Nord_Town
str_multi_scene_16 Port_Assault
str_multi_scene_17 Brunwud_Castle
str_multi_scene_18 Battle_on_Ice
str_multi_scene_19 Mahdaar_Castle
str_multi_scene_20 Jameyyed_Castle
str_multi_scene_21 The_Arena
str_multi_scene_22 Forest_Hideout
str_multi_scene_23 Canyon
str_multi_scene_24 Desert_Town
str_multi_scene_25 Cold_Coast
str_multi_scene_12 Random_Plains_(Medium)
str_multi_scene_13 Random_Plains_(Large)
str_multi_scene_14 Random_Steppe_(Medium)
str_multi_scene_15 Random_Steppe_(Large)
str_multi_scene_end multi_scene_end
str_multi_game_type_1 Deathmatch
str_multi_game_type_2 Team_Deathmatch
str_multi_game_type_3 Battle
str_multi_game_type_4 Fight_and_Destroy
str_multi_game_type_5 Capture_the_Flag
str_multi_game_type_6 Conquest
str_multi_game_type_7 Siege
str_multi_game_type_8 Duel
str_multi_game_type_9 Invasion
str_multi_game_types_end multi_game_types_end
str_poll_kick_player_s1_by_s0 {s0}_started_a_poll_to_kick_player_{s1}.
str_poll_ban_player_s1_by_s0 {s0}_started_a_poll_to_ban_player_{s1}.
str_poll_change_map_to_s1_by_s0 {s0}_started_a_poll_to_change_map_to_{s1}.
str_poll_change_map_to_s1_and_factions_to_s2_and_s3_by_s0 {s0}_started_a_poll_to_change_map_to_{s1}_and_factions_to_{s2}_and_{s3}.
str_poll_change_number_of_bots_to_reg0_and_reg1_by_s0 {s0}_started_a_poll_to_change_bot_counts_to_{reg0}_and_{reg1}.
str_poll_kick_player Poll_to_kick_player_{s0}:_1_=_Accept,_2_=_Decline
str_poll_ban_player Poll_to_ban_player_{s0}:_1_=_Accept,_2_=_Decline
str_poll_change_map Poll_to_change_map_to_{s0}:_1_=_Accept,_2_=_Decline
str_poll_change_map_with_faction Poll_to_change_map_to_{s0}_and_factions_to_{s1}_versus_{s2}:_1_=_Accept,_2_=_Decline
str_poll_change_number_of_bots Poll_to_change_number_of_bots_to_{reg0}_for_{s0}_and_{reg1}_for_{s1}:_1_=_Accept,_2_=_Decline
str_poll_time_left ({reg0}_seconds_left)
str_poll_result_yes The_poll_is_accepted_by_the_majority.
str_poll_result_no The_poll_is_rejected_by_the_majority.
str_total_item_cost_reg0 Total_cost:_{reg0}
