str_no_string|ŽÁDNÉ ŘETĚZCE!
str_lord_declines_negotiation_offer_pitiless|Do toho mi nic není. Haha! Chci se s tebou utkat.
str_lord_declines_negotiation_offer_cunning|Bohužel. Však víš - chci se s tebou utkat.
str_lord_declines_negotiation_offer_sadistic|Šetři svůj jazyk! Budeš ho ještě potřebovat, až budeš prosit o slitování.
str_lord_declines_negotiation_offer_goodnatured|Je mi líto, ale nemůžu tě jen tak nechat odjet. To necítíš žádný vztek?
str_lord_declines_negotiation_offer_upstanding|Možná máš pravdu. Ale jsem něčím povinován svému pánu, a proto se s tebou musím utkat.
str_prisoner_released_default|Jsem ti velmi vděčný, {pane/paní}. Nezapomenu na tvou laskavost.
str_prisoner_released_martial|Jsi skutečně {čestný muž, pane/čestná žena, paní}. Nezapomenu na to.
str_prisoner_released_quarrelsome|Já jsem volný? No.... Tak tedy na shledanou.
str_prisoner_released_pitiless|Děkuji ti. Až tě jednou konečně někdo porazí, přimluvím se za tvou rychlou a milosrdnou smrt. Tedy pokud se mezitím nepřidáš na naši stranu... Zatím na shledanou.
str_prisoner_released_cunning|Opravdu? Jsi dobrý člověk, {pane/paní}. Pokusím se ti to nějak oplatit.
str_prisoner_released_sadistic|Cože? Skutečně jsi tak {krutý/krutá}, že mě raději zahanbeného pustíš na svobodu, než bys mne uvrhl do želez? Tak dobře, užij si to!
str_prisoner_released_goodnatured|Jsi skutečně {čestný muž, pane/čestná žena, paní}. Nezapomenu na to.
str_prisoner_released_upstanding|Jsi skutečně {čestný muž, pane/čestná žena, paní}. Nezapomenu na to.
str_enemy_meet_default|Kdo jsi, ty, {jenž/jež} proti mně pozvedáš zbraň?
str_enemy_meet_martial|Jak ti říkají, {pane/paní}? Kdyby došlo k boji, rád bych věděl, s kým zkřížím zbraň.
str_enemy_meet_quarrelsome|Co jsi sakra zač?
str_enemy_meet_pitiless|Co jsi zač? Povídej, ať vím, koho dneska zabiju.
str_enemy_meet_cunning|Pověz mi své jméno. Vždycky je dobré vědět, jak se nepřítel jmenuje.
str_enemy_meet_sadistic|Co jsi zač? Povídej rychle, než ti vyříznu jazyk.
str_enemy_meet_goodnatured|Jak ti říkají, {pane/paní}? Kdyby došlo k boji, rád bych věděl, s kým zkřížím zbraň.
str_enemy_meet_upstanding|Kdopak jsi, ty, {jenž/jež} pozvedáš zbraň proti naší spravedlivé věci?
str_battle_won_default|Dneska ses {osvědčil/osvědčila} jako cenný spojenec.
str_battle_won_martial|Není většího štěstí než příležitost prokázat svou statečnost na bitevním poli!
str_battle_won_quarrelsome|Ha! Oškubali jsme ty parchanty o pár věcí, co?
str_battle_won_pitiless|Společně nepřítele naučíme, aby se třásl hrůzou před našimi jmény a chvěl se strachem při našem příjezdu!
str_battle_won_cunning|Teď musíme co nejrychleji využít získané výhody, aby všechna ta dnes prolitá krev nevyšla nazmar.
str_battle_won_sadistic|Teď okrademe mrtvé a předhodíme je vranám a krkavcům, aby všichni viděli, jaký osud stihne ty, kdo se nám postaví.
str_battle_won_goodnatured|To byla dobrá mlata! Není větší radosti nad opojnou chuť vítězství, co?
str_battle_won_upstanding|Teď bychom měli vzdát nebesům díky za dosažené vítězství a truchlit pro všechny ty dobré chlapy, kteří dnes padli.
str_battle_won_grudging_default|Dnes se ti na bojišti podařilo zvrátit průběh bitvy v náš prospěch. Ať už si o tobě myslím cokoli, z nedostatku statečnosti tě rozhodně vinit nemohu.
str_battle_won_grudging_martial|{playername}, dnes jsi {prokázal/prokázala}, že jsi pro mne cenným vazalem, bez ohledu na to, jakých chyb ses v minulosti {dopustil/dopustila}.
str_battle_won_grudging_quarrelsome|Hmm. Nemůžu říct, že bych za normálních okolností ten tvůj ksicht někde rád viděl, ale myslím, že dneska bych ti měl poděkovat za pomoc.
str_battle_won_grudging_pitiless|Tvá pomoc byla dnes pro nás velmi cenná. Nemyslím, žes mi {přispěchal/přispěchala} na pomoc z dobroty srdce, ale i tak ti děkuji.
str_battle_won_grudging_cunning|Bylo by ode mě nemoudré, kdybych ti nepoděkoval za pomoc v hodině nejpotřebnější. Takže... Jsem ti velmi vděčný.
str_battle_won_grudging_sadistic|No skvělé! Přímo dojemné! {playername} mě přijíždí zachránit.
str_battle_won_grudging_goodnatured|{playername}! Nemůžu říct, že bych s tebou v minulosti vycházel vždycky dobře, ale dneska jsi {bojoval/bojovala} skvěle. Patří ti mé díky!
str_battle_won_grudging_upstanding|Možná jsem se v tobě mýlil. {Přijel/Přijela} jsi v pravý čas. Jsem ti velmi vdečný.
str_battle_won_unfriendly_default|Tak tě tu konečně máme. No, hádám, že lépe pozdě než nikdy.
str_battle_won_unfriendly_martial|V minulosti mezi námi padla tvrdá slova, ale teď bychom se mohli prostě jen těšit z vítězství.
str_battle_won_unfriendly_quarrelsome|Jestli tam stojíš proto, že čekáš, jestli ti nepoděkuju, můžeš klidně vystát důlek. Já jsem tvou pomoc vůbec nepotřeboval, ale tys neměl nic lepšího na práci, co?
str_battle_won_unfriendly_pitiless|{Přispěchal/Přispěchala} jsi sem jako šakal ke lví hostině. Dobře tedy, pochutnej si na zbytcích, bránit ti nebudu.
str_battle_won_unfriendly_cunning|{playername}... No, myslím, že tvůj příjezd ničemu neuškodí, i když nebudu předstírat, že jsem rád, že tě vidím.
str_battle_won_unfriendly_sadistic|Dej si odchod, ty bídný červe! Tohle bylo moje vítězství a ty se nesnaž získat na něm nějakou slávu pro sebe.
str_battle_won_unfriendly_goodnatured|Aha, to jsi ty. No, myslím, že bych ti měl poděkovat za pomoc.
str_battle_won_unfriendly_upstanding|Děkuji ti, žes mi {přišel/přišla} na pomoc. A teď mne omluv, než řeknu něco, čeho bych pak litoval.
str_troop_train_request_default|Potřebují někoho, jako jsi ty, aby je zkopal do čtverečku.
str_troop_train_request_martial|Potřebují někoho, kdo by jim ukázal, jak má vypadat statečnost a odvaha.
str_troop_train_request_quarrelsome|Jsou to líní, vyžraní parchanti. Dělá se mi z nich zle.
str_troop_train_request_pitiless|Mají z nepřítele větší strach než ze mě a to není dobré.
str_troop_train_request_cunning|Jenže chlapi jsou jako meče - v žáru bitvy či výhně se zakalí a získávají potřebnou tvrdost.
str_troop_train_request_sadistic|Potřebují, aby jim za zadkem neustále stál někdo s mečem, kdo by do nich buď namlátil trochu odvahy, nebo je pozabíjel ve snaze o totéž.
str_troop_train_request_goodnatured|Jsou to docela dobří chlapi, ale bojím se, že na pořádný boj ještě nejsou zcela připraveni.
str_troop_train_request_upstanding|Kdybych je nahnal do boje tak, jak jsou, byla by to vražda. 
str_unprovoked_attack_default|Co? Proč jste nás napadli? Mluv, ty neřáde!
str_unprovoked_attack_martial|Není mi proti mysli zkřížit s tebou zbraně, ale můžu se zeptat, proč jsi nás {napadl/napadla}?
str_unprovoked_attack_quarrelsome|Děláš velkou chybu, {hochu/děvče}. Co si vůbec myslíš, že děláš?
str_unprovoked_attack_pitiless|Opravdu? Pokud skutečně chceš dneska umřít, s radostí ti to přání splním, ale jsem zvědav, čeho jsi tím {chtěl/chtěla} dosáhnout.
str_unprovoked_attack_cunning|Vážně? Domnívám se, že jednáš naprosto nezodpovědně. Čeho doufáš, že tím dosáhneš?
str_unprovoked_attack_sadistic|Co to má znamenat? Chceš, abych ti dal vypíchnout oči?
str_unprovoked_attack_goodnatured|Proč to děláš? Nejsme spolu ve při, {pane/paní}.
str_unprovoked_attack_upstanding|Budu to považovat za nevyprovokovaný útok a budu si stěžovat králi. Proč jsi to {udělal/udělala}?
str_unnecessary_attack_default|Jestli budu muset, zabiju tě bez váhání, ale ještě máš možnost z toho vycouvat.
str_unnecessary_attack_martial|Dychtím přijmout tvou výzvu, {pane/paní}, ale dám ti ještě minutku na rozmyšlenou.
str_unnecessary_attack_quarrelsome|Pche! Na takové nesmysly dneska nemám náladu. Jdi mi z cesty.
str_unnecessary_attack_pitiless|Jsem dneska v obzvláště milosrdné náladě. Budu předstírat, že jsem tě neslyšel.
str_unnecessary_attack_cunning|Nechápu, co z toho budeš mít, když si mě znepřátelíš. Možná bude lepší, když prostě odjedeš.
str_unnecessary_attack_sadistic|S takovým bídným červem, jako jsi ty, nebudu ztrácet čas. Jdi mi z cesty.
str_unnecessary_attack_goodnatured|Nechápu, co z toho budeš mít, pokud se rozhodneš bojovat, {pane/paní}. Pořád máš ještě možnost odjet.
str_unnecessary_attack_upstanding|Pokud skutečně toužíš po boji, {pane/paní}, máš ho mít, ale dám ti ještě šanci se stáhnout.
str_lord_challenged_default|Jak si přeješ. Připrav se na smrt!
str_lord_challenged_martial|Dobře tedy. Braň se!
str_lord_challenged_quarrelsome|Ty nestydatý klacku! Rozmáčknu tě jako štěnici!
str_lord_challenged_pitiless|Pokud tak naléhavě toužíš po smrti, nezbývá mi, než ti ji dopřát.
str_lord_challenged_cunning|No, když mi nedáš jinou šanci...
str_lord_challenged_sadistic|Ty hromado svinstva! Budeš si přát, aby ses nikdy {nenarodil/nenarodila}.
str_lord_challenged_goodnatured|Dobře tedy. Doufal jsem, že na zbraně nedojde, ale vidím, že nemám na vybranou.
str_lord_challenged_upstanding|Tak se staň. Mrzí mne, že se nedokážeš na věc podívat z rozumného hlediska.
str_lord_mission_failed_default|No, {zklamal/zklamala} jsi mě, ale určitě budeš mít spoustu příležitostí to napravit.
str_lord_mission_failed_martial|Nesplnit úkol, který sis {vytyčil/vytyčila}, není žádné hrdinství, ale budu věřit tvému slovu.
str_lord_mission_failed_quarrelsome|Nepodařilo se? Pche. Co jiného se dalo čekat od někoho, jako jsi ty.
str_lord_mission_failed_pitiless|Nepodařilo se? Aha. {Zklamal/Zklamala} jsi mě a to je velká chyba.
str_lord_mission_failed_cunning|No, {zklamal/zklamala} jsi mě, ale kdo dokáže zařídit, aby se na něj paní Štěstěna vždy usmívala?
str_lord_mission_failed_sadistic|Vskutku? Ti, kteří mne zklamou, toho obvykle brzy litují.
str_lord_mission_failed_goodnatured|No tak dobře. Stejně to byla taková nejistá záležitost. Děkuji ti za snahu.
str_lord_mission_failed_upstanding|Dobře. Jsem si jist, že ses {snažil/snažila} ze všech sil.
str_lord_follow_refusal_default|Já že mám následovat tebe? Zapomínáš, kde je tvé místo, {pane/paní}.
str_lord_follow_refusal_martial|Pokud jednoho dne prokážeš, že jsi chrabrým a čestným bojovníkem, možná bych byl ochoten tě následovat. Teď ale ne.
str_lord_follow_refusal_quarrelsome|Následovat někoho, jako jsi ty? Ani náhodou.
str_lord_follow_refusal_pitiless|Šlechtic, jako jsem já, nebude následovat někoho, jako jsi ty, {pane/paní}.
str_lord_follow_refusal_cunning|Nejdřív prokaž, že jsi ten typ člověka, který mne nepřivede do problémů, a pak tě možná budu následovat.
str_lord_follow_refusal_sadistic|Myslím, že ne! To spíš ty bys {měl/měla} následovat mě, jako se zbitý pes plazí za svým pánem.
str_lord_follow_refusal_goodnatured|No, teď mám právě trochu moc práce. Možná někdy později.
str_lord_follow_refusal_upstanding|Nejdřív prokaž, že jsi {hoden/hodna} ujmout se velení, a pak tě třeba budu následovat.
str_lord_insult_default|sprostý kmán
str_lord_insult_martial|podlý sketa
str_lord_insult_quarrelsome|špinavý parchant
str_lord_insult_pitiless|bídný červ nízkého původu
str_lord_insult_cunning|lenivý pitomec
str_lord_insult_sadistic|usmrkaný spratek
str_lord_insult_goodnatured|nepříjemný mizera
str_lord_insult_upstanding|hanebný lotr
str_lord_derogatory_default|prach a špína
str_lord_derogatory_martial|umíněný
str_lord_derogatory_quarrelsome|hádavý a podvratný
str_lord_derogatory_pitiless|krutý a bezohledný
str_lord_derogatory_cunning|bezohledný a manipulativní
str_lord_derogatory_sadistic|ohavný a nestoudný
str_lord_derogatory_goodnatured|beznadějně naivní
str_lord_derogatory_upstanding|tvrdohlavý a pokrytecký
str_lord_derogatory_result|zničí nás
str_lord_derogatory_martial_action|zaútočit na nepřítele bez náznaku jakéhokoli plánu a promarnit životy svých mužů
str_lord_derogatory_quarrelsome_action|vyvolat spory s ostatními vládci a oslabit a rozdělit zemi
str_lord_derogatory_pitiles_action|odcizit se kmánům a donutit je ke vzpouře a odporu
str_lord_derogatory_cunning_action|porušit dohodu s nepřítelem za zády
str_lord_derogatory_sadistic_action|uvalit hanbu na naše skutky a naši říši
str_lord_derogatory_goodnatured_action|slitovat se nad nepřáteli a raději s nimi nebojovat
str_lord_derogatory_upstanding_action|povýšit svůj přehnaný smysl pro čest nad zájmy naší říše
str_rebellion_dilemma_martial|{s45} zjevně utrpěl křivdu. {s46} sice přijal mou vazalskou přísahu, ale ta mě nezavazuje, abych ho podpořil, pokud se ilegálně zmocnil trůnu.
str_rebellion_dilemma_quarrelsome|Hmm. {s46} mi nikdy nevyplatil žádnou odměnu, a tak myslím, že mu nic nedlužím. Na druhé straně je možné, že {s45} nebude o nic lepší a {s46} se alespoň dostavil osobně.
str_rebellion_dilemma_pitiless|Hmm. {s45} tvrdí, že trůn po právu náleží {reg3?jí:jemu}. To je dobře, {s46} by mě tím musel zprostit vazalské přísahy. Přesto však musím své rozhodnutí bedlivě uvážit.
str_rebellion_dilemma_cunning|Hmm. {s46} sice přijal mou vazalskou přísahu, ale my, kdož máme sílu na své straně, nemusíme držet slovo jako obyčejná lůza. Je naší povinností plně využít své schopnosti, nastolit pořádek a zabránit tomu, aby všichni bojovali mezi sebou navzájem.
str_rebellion_dilemma_sadistic|Hmm. V tomto špatností prolezlém světě musí moudrý člověk myslet především sám na sebe, protože nikdo jiný to za něj neudělá. Takže co z toho budu mít já?
str_rebellion_dilemma_goodnatured|Nevím, co ti na to mám říct. {s46} přijal mou vazalskou přísahu a podle práva je mým lenním pánem, ale pokud zároveň podle téhož práva není právoplatným vládcem, nejsem si jist, jak to s tou mojí přísahou vlastně je.
str_rebellion_dilemma_upstanding|To je problém. Prohlásit za neplatnou vazalskou přísahu, kterou ode mne přijal {s46}, je vážná věc a zároveň bychom tím uvolnili pouta, která drží zemi pohromadě a brání tomu, aby upadla do anarchie. Na druhé straně je mou povinností podpořit právoplatného následníka trůnu a {s45} na něj vznesl oprávněný požadavek.
str_rebellion_dilemma_2_martial|Na druhé straně, {s46} byl naším vládcem v dobách války i míru a mně se příčí porušit svou přísahu věrnosti.
str_rebellion_dilemma_2_quarrelsome|Tak mi řekni, proč bych se měl obrátit zády k parchantovi, kterého znám, kvůli {reg3?osobě, kterou:bastardovi, kterého} vůbec neznám?
str_rebellion_dilemma_2_pitiless|Jsem ve značně nezáviděníhodném postavení, pokud ti mám říct, koho bych viděl raději {reg3?vládcem:králem} této země. Ale zároveň to pro mne znamená velkou příležitost konečně získat vše, co mi náleží dědičným právem!
str_rebellion_dilemma_2_cunning|{s46} byl jako právoplatný vládce zpochybněn, a tak nikdy nebude tak silným vůdcem jako někdo, proti jehož nárokům není námitek. Pokud se však {s45} zmocní trůnu silou, také nebude tak {reg3?silnou vládkyní:silným vládcem} jako v případě získání trůnu mírovou cestou.
str_rebellion_dilemma_2_sadistic|Možná, že pokud mne {s45} přijme do svých služeb teď, když je ještě {reg3?slabá:slabý}, bohatě by se mi {reg3?odměnila:odměnil}, ale na druhu stranu, když ode mne {s46} dostane darem tvou hlavu, možná mi dá ještě lepší odměnu.
str_rebellion_dilemma_2_goodnatured|{s46} se mnou vždy zacházel dobře, i když je pravda, že {s45} od něj utrpěl křivdu. Váhám se zříci vazalské přísahy, kterou ode mne {s46} přijal, i když na druhé straně se domnívám, že podporovat bezpráví není dobré.
str_rebellion_dilemma_2_upstanding|Obávám se, že budu muset udělat to, co je správné v zájmu říše - nedovolím, aby ji rozvrátila občanská válka a zpustošili nepřátelé.
str_political_philosophy_martial|Dokud jsem ve službách svého právoplatného vládce, je mu můj meč k dispozici.
str_political_philosophy_quarrelsome|Bah! Je to jen banda mizerných bídáků. Udělám vše pro to, aby ti, kteří na mně spáchali bezpráví, trpce litovali.
str_political_philosophy_pitiless|Lidé se budou vždy snažit podvádět na zákonných odvodech. V tomhle špinavém světě se každý musí za svá práva bít.
str_political_philosophy_cunning|Nu, je to drsný svět. A na nás je volit si drsná řešení. Občas je zapotřebí posloužit krutému vládci, aby se udržel mír. A občas trocha vzdoru donutí krále chovat se čestně. Záleží jen na okolnostech.
str_political_philosophy_sadistic|Můj životní postoj je jednoduchý: Je lepší být vlkem než jehnětem.
str_political_philosophy_goodnatured|Je správné držet slovo a nepáchat křivdy. Občas je však těžké rozhodnout se správně. Drž se lidí, kterým můžeš věřit, a nemůžeš se jen tak ocitnout na scestí.
str_political_philosophy_upstanding|Postavení králů a pánů vzniklo proto, aby se mohl udržovat mír a zabránilo se válkám všech proti všem. To nás však neopravňuje k tomu, abychom se dopouštěli křivdy.
str_political_philosophy_roguish|Hmm... hádám, že být pánem je asi dobrá věc.
str_political_philosophy_benefactor|Dobrý vládce dokáže zajistit, aby byli všichni spravedlivě souzeni. Osobně se budu snažit svou moc využívat k tomu, aby se ti, co žijí na mém panství, měli co nejlépe.
str_political_philosophy_custodian|Dobrý vládce dokáže ve své zemi nastolit správné podmínky pro její prosperitu. Já osobně se budu snažit své bohatství využívat k vytváření dalšího bohatství, které bude k mému i k obecnému prospěchu.
str_rebellion_prior_argument_very_favorable|Nějaké argumenty ve prospěch tvého kandidáta na trůn už jsem slyšel a v podstatě s nimi souhlasím.
str_rebellion_prior_argument_favorable|Nějaké argumenty ve prospěch tvého kandidáta na trůn už jsem slyšel a v podstatě s nimi souhlasím.
str_rebellion_prior_argument_unfavorable|Nějaké argumenty ve prospěch tvého kandidáta na trůn už jsem slyšel, ale moc mě to nepřesvědčilo.
str_rebellion_prior_argument_very_unfavorable|Nějaké argumenty ve prospěch tvého kandidáta na trůn už jsem slyšel, ale s většinou z nich nesouhlasím.
str_rebellion_rival_martial|{s49}, tvůj spojenec {s44} si kdysi dovolil zpochybnit mou čest a statečnost. Nestává se mi často, že by se mi naskytla příležitost postavit se mu v boji, ale teď ho donutím, aby své tvrzení odvolal.
str_rebellion_rival_quarrelsome|{s49}, {s44} je tvým spojencem. Je to prohnaný šejdíř, liška podšitá a já bych mu nevěřil, ani co by se za nehet vešlo.
str_rebellion_rival_pitiless|{s49}, zdá se, že mezi těmi, kdo tě podporují, je i {s44}. Slaboch, měkota a hlupák neschopný spravovat léno, jehož už dlouhá léta nenávidím.
str_rebellion_rival_cunning|{s49}, {s44}, jenž se k tobě připojil, je umíněný, hádavý a není na něj vůbec spolehnutí.
str_rebellion_rival_sadistic|{s49}, netoužím bojovat po boku tvého spojence jménem {s44}. Dělá se mi zle z toho, jak staví na odiv své ctnosti.
str_rebellion_rival_goodnatured|{s49}, odmítám bojovat na stejné straně jako {s44}, který je vyhlášený svou krutostí.
str_rebellion_rival_upstanding|{s49}, tvůj spojenec {s44} je podle mého názoru nebezpečný, nespolehlivý a krajně bezcharakterní člověk.
str_rebellion_argument_favorable|Respektuji tvé argumenty.
str_rebellion_argument_neutral|Shledávám tvé argumenty pouze mírně přesvědčivými.
str_rebellion_argument_unfavorable|Na těch tvých argumentech není nic přesvědčivého.
str_rebellion_persuasion_favorable|Předložil jsi svůj případ velmi výmluvně.
str_rebellion_persuasion_neutral|Zní to jako rozumný případ.
str_rebellion_persuasion_unfavorable|Tvůj případ nezní příliš přesvědčivě.
str_rebellion_relation_very_favorable|Osobně si tě velice vážím.
str_rebellion_relation_favorable|Znám tě osobně a velice si tě vážím.
str_rebellion_relation_neutral|Neznám tě tak dobře, jak bych chtěl.
str_rebellion_relation_unfavorable|Nedůvěřuji ti.
str_and_comma_3|A kromě toho,
str_but_comma_3|Avšak
str_and_comma_1|, a
str_but_comma_1|, ale
str_and_comma_2|. Navíc,
str_but_comma_2|Nicméně,
str_rebellion_agree_martial|Rozhodl jsem se. Podpořím právoplatného následníka trůnu, kterým je {s45}.
str_rebellion_agree_quarrelsome|Ale co, už o tom rozumujeme dost dlouho. {s46} stejně nikdy nebyl můj oblíbenec. Tak jo, sebereme mu trůn a bude.
str_rebellion_agree_pitiless|Máš štěstí - myslím totiž, že se k tobě přidám. Ale chraň tě ruka Páně, jestli mi dáš důvod mého rozhodnutí litovat.
str_rebellion_agree_cunning|Toto je velice troufalé, přesto se k tobě připojím. Doufejme, že to bude pro dobro věci.
str_rebellion_agree_sadistic|Ano, už mám ve věcech jasno - {reg3?tvá žena:tvůj muž} {s45} bude mít mou podporu. Ale postarej se, ať se mi za to náležitě odmění!{reg3?:}
str_rebellion_agree_goodnatured|Nu dobrá, myslím, že {reg3?tvá žena:tvůj muž} bude vládnout dobře. Přidám se k vám.
str_rebellion_agree_upstanding|Tak budiž. Mou nejpřednější povinností je sloužit této zemi a chránit její lid před bezprávím. Proto bude mít mou plnou podporu {s45} a {s46} nechť vyslechne mé rozhodnutí. Kéž mi nebesa odpustí, jestli se mýlím!
str_rebellion_refuse_martial|Je mi líto. {s45} sice vznesl oprávněný požadavek, ale to nestačí jako důvod, proč bych měl ukázat záda svému lennímu pánu, což je {s46}. Zachovám mu věrnost.
str_rebellion_refuse_quarrelsome|Kdepak. To tvoje štěně {s45} nemá potřebné schopnosti, aby mohlo vládnout tak velké říši. Zůstanu věrný svému pánovi, což je {s46}.
str_rebellion_agree_pitiless|Ne, k vašemu povstání se nepřipojím. Podle mě se podobáte vzteklému dítěti, kterému někdo kopl do hraček. {reg3?:} {reg3?:}. Proto se raději budu držet někoho, jako je {s46} a o jehož schopnosti vládnout není žádných pochyb.
str_rebellion_agree_cunning|Je mi líto, ale nevidím žádný přesvědčivý důkaz, že by se vítězství mohlo přiklonit na tvou stranu. Spousta lidí zahyne a já rozhodně nehodlám být mezi nimi. Kdepak - mou podporu má i nadále {s46}.
str_rebellion_agree_sadistic|Ne. Na tvé hry rozhodně nemám náladu. Natahuješ ruku po koruně, ale místo toho tě nejspíš čeká rychlá cesta na popraviště. A já i {s46} se pak budeme s radostí dívat, jak kat zvedá sekyru a tvá hlava se kutálí ze špalku.
str_rebellion_agree_goodnatured|Je mi líto, ale {s46} mi věří a já nepovažuji za čestné se k {němu/ní} v takovém případě obracet zády. Sbohem na bojišti!
str_rebellion_agree_upstanding|Je mi líto, ale {s45} podle mě nemá v ruce natolik přesvědčivé argumenty, aby pro ně stálo za to podněcovat nepokoje a povstáním pak přivádět chudinu do ještě větší bídy. Proto má mou podporu i nadále {s46}. Kéž mi nebesa odpustí, jestli se mýlím!
str_talk_later_martial|Teď není čas na politické žvásty! Přijel jsem se svými spojenci ve zbrani a zbroji. Připrav se bojovat.
str_talk_later_quarrelsome|Myslíš, že se s tebou budu vybavovat o tom, že bych spolu s tebou zradil svého lenního pána, ačkoli jsme v obklíčení jeho armády? Co bych z toho měl, ty pitomý idiote?
str_talk_later_pitiless|Drž jazyk za zuby, ano?! Pokud mám k této záležitosti co říci, rozhodně o tom nebudu mluvit tady a teď, uprostřed celé armády.
str_talk_later_cunning|Na takovou debatu tady není vhodné místo ani čas. Možná bychom si o tom mohli promluvit později, na bezpečnějším místě, ale prozatím jsme stále nepřátelé.
str_talk_later_sadistic|{Nemohl/Nemohla} už bys pro jednou držet hubu?! Umíš si představit, co by se stalo, kdyby nás zaslechli jiní vazalové, jak se spolu domlouváme na zradě?
str_talk_later_goodnatured|Tak ty si se mnou chceš promluvit o zradě? Zkus to znovu, až všude kolem nás nebude armáda mého lenního pána a já si pak možná poslechnu, co máš na srdci.
str_talk_later_upstanding|Ať už si o legitimnosti následníka trůnu myslím cokoliv, tady a teď se o tom bavit nebudu. Pokud se znovu setkáme někde, kde si budeme moct promluvit v soukromí, poslechnu si, co máš na srdci. Prozatím mne však stále považuj za svého nepřítele.
str_gossip_about_character_default|Říká se, že {s6} nemá jedinou zajímavou charakterovou vlastnost.
str_gossip_about_character_martial|Říká se, že {s6} nadevše miluje válku.
str_gossip_about_character_quarrelsome|Říká se, že se {s6} nakonec vždycky pobije s někým, kdo utrousí nějakou poznámku o jeho nosu. 
str_gossip_about_character_selfrighteous|Slyšel jsem, že {s6} nechal popravit jednoho panoše, protože ten chudák nešťastnou náhodou složil v jeho lesích srnku.
str_gossip_about_character_cunning|Říká se, že je {s6} vychytralým protivníkem.
str_gossip_about_character_sadistic|Říká se, že {s6} rád mučí své nepřátele. Nechtěl bych se mu dostat do spárů.
str_gossip_about_character_goodnatured|Říká se, že je {s6} dobrý člověk a že se příkladně stará o lid na svém panství. To je víc, než se dá říct o většině dnešních šlechticů.
str_gossip_about_character_upstanding|Mezi lidmi se povídá, že je dobré, když tě {s6} vezme do služby. Je ke svým stoupencům hodný a za práci je dobře odměňuje.
str_latest_rumor|{s6} je předmětem následujících nejnovějších klepů, které se k tobě donesly:
str_changed_my_mind_martial|Nicméně tvá plamenná slova mě donutila zvážit mé postavení.
str_changed_my_mind_quarrelsome|Na tvých slovech něco je. Stále ještě poslouchám.
str_changed_my_mind_pitiless|Pokud to však omlouváš tímto, nejspíš to ještě zvážím.
str_changed_my_mind_cunning|Jak jistě víš, tvůj jazyk je velice obratný. To na mě dělá dojem. Stále ještě naslouchám.
str_changed_my_mind_sadistic|Ale jelikož tvůj stříbrný jazyk zpívá tak nádhernou píseň, protentokrát tu myšlenku ještě zcela nezavrhnu.
str_changed_my_mind_goodnatured|Jsi však dobrým příkladem, takže to zkusím ještě zvážit.
str_changed_my_mind_upstanding|Jsi však výmluvným příkladem, takže stále ještě naslouchám.
str_swadian_rebellion_pretender_intro|Jsem Isolla, právoplatná královna swádská.
str_vaegir_rebellion_pretender_intro|Jmenuji se Valdym. Někteří lidé mi říkají 'Bastard.' Jsem vaegirským princem, ale podle práva bych měl být králem celého Vaegiru - já, ne můj bratránek Jaroglek.
str_khergit_rebellion_pretender_intro|Jsem chán Dustum, syn chána Janakira a právoplatný chán všech Khergitů.
str_nord_rebellion_pretender_intro|Jsem Lethwin Pátrající v dálavách, syn Hakrima Starého, a měl bych správně být králem všech Nordů v celé Calradii.
str_rhodok_rebellion_pretender_intro|Jsem lord Kastor, právoplatný král všech Rhodoků, které jednoho dne osvobodím od nynější tyranie.
str_sarranid_rebellion_pretender_intro|Jsem Arwa zvaná Perla, Matka Sarranidů a jejich právoplatná královna.
str_swadian_rebellion_pretender_story_1|Byla jsem jediným dítětem svého otce, krále Estericha. Jsem sice jen holka, ale miloval mě jako syna a prohlásil mne svou dědičku. Ne jednou, ale několikrát, před nejurozenějšími šlechtici země, aby nikdo nemohl pochybovat o jeho záměrech. U nás žádný zákon ženám vládnout nezakazuje. Naopak, my Swádové si vyprávíme zkazky o královnách válečnicích, které vládly v dávné minulosti.
str_vaegir_rebellion_pretender_story_1|Můj otec zemřel, když jsem byl ještě malý kluk, a svěřil mne do péče svého bratra, regenta Bureleka. Ten ale místo, aby pro mne chránil trůn, dokud nevyrostu, využil nově získané moci k tomu, aby obvinil mou matku z cizoložství a prohlásil, že nejsem skutečným synem svého otce. Máti popravili za zradu a mě prohlásili za bastarda.
str_khergit_rebellion_pretender_story_1|Chán Sandžar a já jsme bratři, oba jsme synové starého chána Janakira, i když každý z nás má jinou matku. Já jsem sice mladší bratr, ale všichni, kdo starého chána znali, ti dosvědčí, že jsem byl celý život otcovým oblíbencem a že mi často svěřoval různé vládní pravomoci. Sandžar se zabýval převážně lovem a pořádal hostiny, na nichž se ucházel o přízeň méně disciplinovaných otcových velitelů.
str_nord_rebellion_pretender_story_1|Říkají mí Pátrající v dálavách, protože jsem procestoval lán světa, dokonce i na nordské poměry, a hledal vědomosti. Než jsem dosáhl plnoletosti, poslal mě otec na studijní cestu ke dvorům a na university zámořských zemí. Pokud se Nordové chtějí nazývat dědici Calradijské říše, musí se podle toho také chovat, osvojit si znalosti říšského práva a písemnictví a nespokojit se jen s bojem, pleněním a pitím.
