dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Przełożę mianowanie władcy, dopóki nie usłyszę opinii poddanych
dlga_lord_mission_deal_with_bandits_told:lord_mission_deal_with_bandits_accepted|Nie martw się, mogę udać się do miejscowości o nazwie {s15} i rozprawić z tymi szumowinami w twoim imieniu.
dlga_lord_mission_deal_with_bandits_told:lord_mission_deal_with_bandits_rejected|Będziesz musiał poszukać pomocy gdzie indziej, nie mam na to czasu.
dlga_lord_mission_deal_with_bandits_accepted:close_window|Zrobisz to? Wiedz, że będę ci bardzo wdzięczny. Oto trochę pieniędzy na wydatki związane z wyprawą. Spraw, aby {s43} zapamiętali tę lekcję na długo.
dlga_lord_mission_deal_with_bandits_rejected:lord_pretalk|Ach... No dobrze. Zapomnij, że o tym wspominałem.
dlga_lord_tell_mission:lord_tell_mission_raise_troops|Żaden dowódca nie powinien tego przyznawać, {playername}, ale przeprowadziłem pewnego dnia inspekcję moich wojsk i stwierdziłem, że są tam żołnierze, którzy nie wiedzą, za który koniec chwyta się miecz. {s43} Ty, {playername}, jako {wojownik/wojowniczka} posiadasz tak wielką renomę... Czy wyszkolisz dla mnie trochę ludzi? Będę bardzo wdzięczny.
dlga_lord_tell_mission_raise_troops:lord_tell_mission_raise_troops_2|Ilu ludzi potrzebujesz?
dlga_lord_tell_mission_raise_troops_2:lord_mission_raise_troops_told|Jeśli zdołasz wyszkolić i przyprowadzić do mnie {reg1} {s14}, to z pewnością wystarczy.
dlga_lord_mission_raise_troops_told:lord_mission_raise_troops_accepted|Oczywiście, {s65}. Daj mi {reg1} świeżych rekrutów, a wyszkolę ich na prawdziwych {s14}.
dlga_lord_mission_raise_troops_told:lord_mission_raise_troops_rejected|Mam zbyt wiele na głowie, by szkolić kogokolwiek.
dlga_lord_mission_raise_troops_accepted:close_window|Zdejmujesz z moich ramion potężny ciężar, {playername}. Powiem moim sierżantom, aby przysłali ci rekrutów i przekazali pod twoje dowodzenie. Otrzymasz również pieniądze na pokrycie wydatków. Proszę, zawartość tej sakiewki powinna wystarczyć. Dziękuję ci za pomoc.
dlga_lord_mission_raise_troops_rejected:lord_pretalk|Och, oczywiście. Tego się właśnie spodziewam. Cóż, powodzenia życzę.
dlga_lord_tell_mission:lord_mission_collect_taxes_told|Wiesz już pewnie, że jestem panem {reg9?miasta:wioski} {s3}. Minęło już jednak kilka miesięcy od dnia, kiedy mieszkańcy {s3} przesłali mi podatki i należne opłaty. Najwyraźniej tamtejsza populacja zapomniała o zasadach i muszę kogoś tam posłać, aby przypomniał im o obowiązkach. A gdyby zaszła potrzeba... przekonał ich, jeśli nie zechcą słuchać. Udaj się tam i zbierz należne mi podatki, a otrzymasz jedną piątą całej sumy.
dlga_lord_mission_collect_taxes_told:lord_mission_collect_taxes_accepted|Dobra oferta, {s65}. Mamy umowę.
dlga_lord_mission_collect_taxes_told:lord_mission_collect_taxes_rejected|Wybacz mi, nie mam czasu.
dlga_lord_mission_collect_taxes_accepted:close_window|Dobrze wiedzieć, {playername}. Powierzę ci tę sprawę. Pamiętaj, ci {reg9?mieszczanie:chłopi} to cwane bestie, zrobią wszystko, by wykręcić się od zapłaty podatków. Nie pozwól, by cię ogłupili.
dlga_lord_mission_collect_taxes_rejected:lord_pretalk|Och, tak. Cóż, powodzenia życzę.
dlga_lord_tell_mission:lord_mission_hunt_down_fugitive_told|Jest coś, w czym możesz mi pomóc. Mam problem z unikającym prawa bandytą znanym jako {s4}. Zamordował jednego z moich ludzi i od tamtej pory ucieka przed sądem. Nie mogę pozwolić, by uszło mu to na sucho, więc wyznaczyłem 300 denarów nagrody za jego głowę. Przyjaciele zamordowanego uważają, że zabójca mógł schronić się u swojej rodziny w wiosce {s3}. Być może zdołasz go wytropić i dać mu to, na co zasługuje? Nagroda za jego głowę przypadnie wówczas tobie.
dlga_lord_mission_hunt_down_fugitive_told:lord_mission_hunt_down_fugitive_accepted|W takim razie wytropię go i sprawiedliwości stanie się zadość.
dlga_lord_mission_hunt_down_fugitive_told:lord_mission_hunt_down_fugitive_rejected|Mam w tej chwili zbyt wiele spraw na głowie, żeby go szukać.
dlga_lord_mission_hunt_down_fugitive_accepted:close_window|To wspaniale, {playername}. Ja oraz rodzina zabitego będziemy ci wdzięczni. Nagroda za jego głowę będzie oczywiście należeć do ciebie. Cóż, udanego polowania życzę.
dlga_lord_mission_hunt_down_fugitive_rejected:lord_pretalk|Jak sobie życzysz, {playername}. Myślę, że w okolicy jest wystarczająco wielu łowców głów...
dlga_lord_tell_mission:lord_mission_told_kill_local_merchant|Najgorsze jest to, że mam dość poważny dług względem jednego z kupców w miejscowości {s3}. Nie mam zamiaru go spłacać oczywiście, ale ten pyskaty głupiec robi wokół tego straszny zamęt. Posunął się nawet do tego, by przyjść do mnie i mi grozić za pomocą listu do gildii handlowych i bankierów! On chce zrujnować moją reputację! Potrzebuję więc {mężczyzny/kobiety} do tego zadania i to z umiejętnością zachowania milczenia. Na zawsze.
dlga_lord_mission_told_kill_local_merchant:lord_mission_accepted_kill_local_merchant|Nie martw się, nawet słowem nie pisnę.
dlga_lord_mission_told_kill_local_merchant:lord_mission_rejected|Nie jestem pospolitym mordercą, panie. Znajdź kogoś innego dla swojej brudnej roboty.
dlga_lord_mission_accepted_kill_local_merchant:close_window|Bardzo dobrze. Wierzę w twoje umiejętności i dyskrecję, {playername}. Nie zawiedź mnie. Idź teraz i czekaj na wieści ode mnie, wyślę ci wiadomość z informacją mówiącą o tym gdzie i kiedy możesz znaleźć kupca. Pozbądź się go dla mnie, a wynagrodzę cię sowicie.
dlga_lord_tell_mission:lord_mission_told_meet_spy_in_enemy_town|Mam pewną delikatną sprawę, którą należy się zająć, {playername}, a nie mam nikogo zaufanego pod ręką. Chodzi o to, że mam szpiega w miejscowości o nazwie {s13}, który informuje mnie o wszystkim i zgłasza sprawy, które mogą mnie zainteresować. Co tydzień wysyłam kogoś, aby odebrał raporty od niego i przywiózł je do mnie. Jeśli chcesz, to możesz się tym zająć.
dlga_lord_mission_told_meet_spy_in_enemy_town:quest_meet_spy_in_enemy_town_accepted|Nie zaszkodzi odrobina dobrej zabawy. Wchodzę w to.
dlga_lord_mission_told_meet_spy_in_enemy_town:quest_meet_spy_in_enemy_town_rejected|Muszę odmówić. Zabawa w stylu płaszcza i szpady nie jest dla mnie.
dlga_quest_meet_spy_in_enemy_town_accepted:quest_meet_spy_in_enemy_town_accepted_response|Doskonale! Udaj się jak najszybciej do miejscowości o nazwie {s13}, szpieg będzie czekał.
dlga_quest_meet_spy_in_enemy_town_accepted_response:quest_meet_spy_in_enemy_town_accepted_2|{s13} jest dobrze chronionym miejscem. Jak się mam tam dostać niepostrzeżenie?
dlga_quest_meet_spy_in_enemy_town_accepted_2:quest_meet_spy_in_enemy_town_accepted_response|Konieczne będzie dokonanie tego ukradkiem. Staraj się unikać wrogich twierdz, wiosek i patroli oraz nie zabieraj ze sobą zbyt wielu ludzi. Jeśli nie uda ci się przemknąć za pierwszym razem, zaczekaj, aż garnizon utraci czujność, albo będziesz mieć problemy z przedostaniem się do miasta.
dlga_quest_meet_spy_in_enemy_town_accepted_response:quest_meet_spy_in_enemy_town_accepted_3|Jak rozpoznam szpiega?
dlga_quest_meet_spy_in_enemy_town_accepted_3:quest_meet_spy_in_enemy_town_accepted_response|Kiedy dostaniesz się do miejscowości o nazwie {s13}, musisz porozmawiać z miejscowymi, szpieg będzie jednym z nich. Jeśli uznasz, że masz kontakt ze szpiegiem, wypowiedz zdanie ''{s11}''  Szpieg odpowie na to: ''{s12}'' W ten sposób się zidentyfikujecie, a {reg7?ona:on} przekaże ci informacje, które {reg7?zebrała:zebrał} w ostatnim czasie.
dlga_quest_meet_spy_in_enemy_town_accepted_response:quest_meet_spy_in_enemy_town_accepted_4|Czy otrzymam zapłatę?
dlga_quest_meet_spy_in_enemy_town_accepted_4:quest_meet_spy_in_enemy_town_accepted_response|Oczywiście, mam mnóstwo srebra dla lojalnych {mężczyzn/kobiet}, takich jak ty. Nie zawiedź mnie, {playername}, a wysoko zajdziesz.
dlga_quest_meet_spy_in_enemy_town_accepted_response:quest_meet_spy_in_enemy_town_accepted_end|Wiem, co robić. Do zobaczenia, panie.
dlga_quest_meet_spy_in_enemy_town_accepted_end:lord_pretalk|Powodzenia, {playername}. Pamiętaj, hasło brzmi ''{s11}'', a odzew ''{s12}''  Przynieś raporty, a zapłacę ci za fatygę.
dlga_quest_meet_spy_in_enemy_town_rejected:lord_pretalk|Jak sobie życzysz, {playername}, ale sugeruję zapomnieć o tym, co ci powiedziałem na temat szpiegów. Oni nie istnieją, nigdy nie istnieli i nikt nigdy ich nie znajdzie. Zapamiętaj to.
dlga_lord_tell_mission:lord_mission_told_raid_caravan_to_start_war|Traktat pokojowy, który został niedawno podpisany przez {s13}, nie jest mi na rękę, {playername}. Za długo pozwalamy już tym świniom robić swoje. Teraz z każdym dniem stają się silniejsi, a ich arogancja nie zna granic. Musimy wypowiedzieć im wojnę, zanim będzie za późno! Niestety kilka krwawiących serc wśród lordów w naszym królestwie blokuje możliwość wypowiedzenia wojny. Bezmózgie tchórze bez odrobiny zapału do walki.
dlga_lord_mission_told_raid_caravan_to_start_war:lord_mission_tell_raid_caravan_to_start_war_2|Masz rację, {s65}, ale co możemy zrobić?
dlga_lord_mission_told_raid_caravan_to_start_war:quest_raid_caravan_to_start_war_rejected_1|Nie zgadzam się, panie. Lepiej będzie, jak pozostanie pokój.
dlga_lord_mission_tell_raid_caravan_to_start_war_2:lord_mission_tell_raid_caravan_to_start_war_3|Ach, dobrze wiedzieć, że ktoś mnie rozumie! Tak naprawdę, to jest coś, co możemy zrobić, {playername}. Taka drobna prowokacja. Jeśli jedna z naszych wojennych wypraw zdoła dostać się na ich terytorium i splądrować kilka ich karawan, lub najechać na jedną z ich wiosek i zostawić po sobie kilka pamiątek świadczących, że to {s14}... Być może będzie to dla nich odpowiednią motywacją, aby wypowiedzieć nam wojnę. A wtedy... No cóż, nawet tchórze pośród nas będą musieli się bronić. Co ty na to? Wchodzisz w to?
dlga_lord_mission_tell_raid_caravan_to_start_war_3:quest_raid_caravan_to_start_war_accepted|Znakomity plan. Wchodzę w to.
dlga_lord_mission_tell_raid_caravan_to_start_war_3:lord_mission_tell_raid_caravan_to_start_war_4|Dlaczego sam tego nie zrobisz?
dlga_lord_mission_tell_raid_caravan_to_start_war_4:lord_mission_tell_raid_caravan_to_start_war_5|Cóż, {playername}, część lordów w naszym królestwie nie wyobraża sobie, by ktoś wypowiedział wojnę bez ich zgody. Już teraz szukają pretekstu, by się mnie pozbyć, a gdyby im się udało, musiałbym za to słono zapłacić. Ciebie jednak cechuje młodość i odwaga, więc zapewne uda ci się ujść z tym na sucho. Oczywiście będę stał po twojej stronie i w razie potrzeby podejmę odpowiednie kroki, jeśli ktoś będzie ci chiał przeszkodzić. Może się tak zdarzyć, że kilku lordom nie spodoba się to co robisz, ale z pewnością nie będzie to dla ciebie problemem.
dlga_lord_mission_tell_raid_caravan_to_start_war_5:quest_raid_caravan_to_start_war_accepted|Słuszna uwaga. Jestem skłonn{y/a} to zrobić.
dlga_lord_mission_tell_raid_caravan_to_start_war_5:quest_raid_caravan_to_start_war_rejected_2|Nie podoba mi się to. Poszukaj sobie kogoś innego, kto weźmie na siebie winę za twoje knowania.
dlga_quest_raid_caravan_to_start_war_accepted:close_window|Bardzo dobrze! Najazd na karawanę lub atak na jedną z wiosek powinien wystarczyć, by skłócić nasze państewka. Teraz powodzenia i udanych łowów. Postaw granice w płomieniach!
dlga_quest_raid_caravan_to_start_war_rejected_1:lord_pretalk|Ach, tak sądzisz? A jak długo potrwa twój cenny pokój? Niedługo, uwierz mi.
dlga_quest_raid_caravan_to_start_war_rejected_2:lord_pretalk|Hm. Jak sobie życzysz, {playername}. Myślałem, że jest w tobie prawdziwy ogień, ale chyba się pomyliłem.
dlga_lord_tell_mission:lord_mission_told.1|Cóż, część poddanych pracujących na moich polach w {s4} uciekła. Cóż za niewdzięczność, pozwoliłem im uprawiać moje pola i korzystać z moich chat, a oni tak mi odpłacili! Z tego, co słyszałem, uciekają co sił w nogach do {s3} i rozdzielili się na trzy grupy, aby uniknąć schwytania. Twoim zadaniem jest złapać wszystkie trzy grupy i za wszelką cenę przyprowadzić je z powrotem do {s4}. Powinienem ich wszystkich powiesić za próbę ucieczki, ale potrzebni mi są ludzie przy zbiorach, więc tym razem skończy się na solidnej chłoście.
dlga_lord_tell_mission:lord_tell_mission_follow_spy|Mam informacje, że pewien człowiek w tym mieście jest wrogim szpiegiem. Należy go za to schwytać i powiesić, wierzymy jednak, że wkrótce opuści miasto, by spotkać się ze swoim mocodawcą, człowiekiem, któremu przekazuje wszystkie informacje. Sam szpieg jest niewiele wart, ale jego pan, to niebezpieczny człowiek i mógłby wiele nam ujawnić, gdybyśmy zdołali go schwytać...
dlga_lord_tell_mission_follow_spy:lord_tell_mission_follow_spy_2|Masz tutaj zaczekać, aż szpieg opuści miasto. Następnie musisz śledzić go niezauważenie aż do miejsca spotkania. Musisz dołożyć wszelkich starań, aby szpieg nie zobaczył cię po drodze, bo może nabrać podejrzeń i zawrócić. Kiedy pojawi się mocodawca, musisz ich zaatakować i aresztować, a następnie przyprowadzić obu do mnie. Tylko żywych, proszę...
dlga_lord_tell_mission_follow_spy_2:lord_tell_mission_follow_spy_accepted|Tak też zrobię, {s65}.
dlga_lord_tell_mission_follow_spy_2:lord_tell_mission_follow_spy_rejected|Nie, ta zabawa w chowanego nie jest dla mnie.
dlga_lord_tell_mission_follow_spy_accepted:close_window|Dobrze, z pewnością świetnie sobie poradzisz. Jeden z moich ludzi wskaże ci szpiega, kiedy ten opuści miasto, wiadomo więc będzie, za kim masz iść. Pamiętaj, chcę ich obu żywych.
dlga_lord_tell_mission_follow_spy_rejected:lord_pretalk|Szkoda. No cóż, to twoja decyzja, {playername}...
dlga_lord_tell_mission:lord_tell_mission_capture_enemy_hero|Jest pewne trudne zadanie, które należy wykonać, {playername}, a ty możesz być właściwą {osobą/osobą}. Potrzebny mi ktoś, kto porwie jednego z lordów, którego państwem jest {s13} i przyprowadzi go do mnie. Później będę mógł go wymienić na mojego krewnego przetrzymywanego przez jego braci. To zadanie jest oczywiste, ale kogokolwiek wybierzesz, z pewnością będzie chroniony przez lojalnych stronników. Wchodzisz w to?
dlga_lord_tell_mission_capture_enemy_hero:lord_tell_mission_capture_enemy_hero_accepted|Uznaj to za wykonane, {s65}.
dlga_lord_tell_mission_capture_enemy_hero:lord_tell_mission_capture_enemy_hero_rejected|Muszę odmówić, {s65}. Nie jestem {typem porywacza/jakąś tam porywaczką}.
dlga_lord_tell_mission_capture_enemy_hero_accepted:close_window|Cóż za duch walki! Idź i przyprowadź mi jednego z naszych wrogów, a ja wzniosę toast za ciebie po powrocie! I oczywiście wynagrodzę twoje wysiłki...
dlga_lord_tell_mission_capture_enemy_hero_rejected:lord_pretalk|Wyraźnie brak ci zapału, o który cię podejrzewałem. Cóż, {playername}, znajdę kogoś innego.
dlga_lord_tell_mission:lord_tell_mission_lend_companion|Nie mam dla ciebie teraz pracy, ale twój towarzysz {s3} to {reg3?zdolna dziewka:zdolny chłopak}, a ja potrzebuję kogoś o takim talencie. Czy mogę skorzystać z {reg3?jej:jego} usług przez jakiś czas?
dlga_lord_tell_mission_lend_companion:lord_tell_mission_lend_companion_2|Jak długo będzie ci {reg3?potrzebna:potrzebny}?
dlga_lord_tell_mission_lend_companion_2:lord_mission_lend_companion_told|Kilka dni, maksymalnie tydzień.
dlga_lord_mission_lend_companion_told:lord_tell_mission_lend_companion_accepted|W takim razie {s3} pozostanie z tobą na tydzień.
dlga_lord_mission_lend_companion_told:lord_tell_mission_lend_companion_rejected|Przykro mi, ale {s3} nie może odejść ode mnie na cały tydzień.
dlga_lord_tell_mission_lend_companion_accepted:close_window|Nie wiem, jak ci dziękować, {playername}. Nie martw się, twój towarzysz powróci tak szybko, jak to możliwe.
dlga_lord_tell_mission_lend_companion_rejected:lord_pretalk|Cóż, to niedobrze się składa, sądzę jednak, że ani ty, ani {s3} nie może niczego robić na siłę. Będę musiał jakoś sobie poradzić.
dlga_lord_tell_mission:lord_tell_mission_collect_debt|Jakiś czasu temu {s3} pożyczył ode mnie znaczną sumę pieniędzy. Dokładniej rzecz ujmując było to {reg4} denarów. Pieniądze miał mi zwrócić w ciągu miesiąca, a to już drugi mija, jak nie oddał mi ani miedziaka. Będę bardzo zobowiązany, jeśli zdołasz odebrać ten dług w moim imieniu. Pozwolę ci nawet zatrzymać jedną piątą tej kwoty za fatygę. Co ty na to?
dlga_lord_tell_mission_collect_debt:lord_tell_mission_collect_debt_2|Czy wiesz, gdzie przebywa {s3}, {s65}?
dlga_lord_tell_mission_collect_debt_2:lord_tell_mission_collect_debt_3|Jeśli zaraz wyruszysz, powin{ieneś/naś} go zastać wizytującego {s4}. Nie mam wątpliwości, że będzie wystarczająco zakłopotany tą sytuacją i zwróci pieniądze.
dlga_lord_tell_mission_collect_debt_3:lord_tell_mission_collect_debt_accepted|W takim razie {s3} rozmówi się ze mną w tej sprawie. Oczywiścię mówić będę w twoim imieniu.
dlga_lord_tell_mission_collect_debt_3:lord_tell_mission_collect_debt_rejected|Wybacz, {s65}, ale wątpię, by moja skuteczność przewyższała twoją.
dlga_lord_tell_mission_collect_debt_accepted:close_window|Jestem bardzo zadowolony, że przyjmujesz to zadanie, {playername}. Proszę, użyj {swojego daru przekonywania/swich wdzięków}, by {s3} oddał dług.
dlga_lord_tell_mission_collect_debt_rejected:lord_pretalk|Chyba nie, {playername}. Pewnie nigdy nie odzyskam tych pieniędzy...
dlga_lord_tell_mission:lord_tell_mission_incriminate_commander|Mówię ci, ten mamroczący głupek {s13} nie nadaje się do rządzenia takim miejscem, jak {s14}. Bóg jeden wie, czy nie zostałby natychmiast pozbawiony swoich ziem, gdyby nie jeden z jego lojalnych wasali, {s15}. Dopóki pomaga mu jego wasal, pokonanie go nie będzie łatwe. {s15} musi zostać usunięty z gry i mam już plan jak tego dokonać... Oczywiście z twoją pomocą.
dlga_lord_tell_mission_incriminate_commander:lord_tell_mission_incriminate_commander_2|{s66}, zamieniam się w słuch.
dlga_lord_tell_mission_incriminate_commander:lord_tell_mission_incriminate_commander_rejected|Nie chcę mieszać się w nic niehonorowego, czego ofiarą byłby {s15}.
dlga_lord_tell_mission_incriminate_commander_rejected:lord_pretalk|Niehonorowego? Ba! Myślałem, że mogę na ciebie liczyć, {playername}, ale teraz widzę, jakim jestem głupcem. Muszę znaleźć kogoś, komu mogę zaufać.
dlga_lord_tell_mission_incriminate_commander_2:lord_tell_mission_incriminate_commander_3|Napisałem fałszywy list, którego {s15} jest adresatem, gdzie moja osobista pieczęć czyni go współodpowiedzialnym za konspirację prowadzącą do przewrotu w miejscowości {s14}. Jeśli {s13} uwierzy, że list jest oryginalny, {s15} zapłaci za to bardzo szybko. Oczywiście głównym wyzwaniem jest to, aby {s13} uwierzył w prawdziwość listu...
dlga_lord_tell_mission_incriminate_commander_3:lord_tell_mission_incriminate_commander_4|Kontynuuj proszę, {s65}...
dlga_lord_tell_mission_incriminate_commander_3:lord_tell_mission_incriminate_commander_rejected|Nie, nie zhańbię się takim niehonorowym spiskiem.
dlga_lord_tell_mission_incriminate_commander_4:lord_tell_mission_incriminate_commander_5|Tu właśnie ty wkraczasz do gry. Zabierzesz list do osoby o imieniu {s14}, przekażesz jednemu z twoich żołnierzy, a potem poinstruujesz go, by zabrał list do osoby o imieniu {s15}. Poproszę jednego z moich szpiegów, aby poinformował miejski garnizon, i żeby aresztowano twojego człowieka po drodze. Strażnicy znajdą wówczas list i {s13} szybko go otrzyma. Oczywiście będą torturować twojego człowieka i próbować wydobyć z niego prawdę, ale on będzie wiedział tylko tyle, że otrzymał rozkaz przekazania listu dla osoby o imieniu {s15}. {s13} wie, że mi służysz i głupiec z pewnością uwierzy w całą tą maskaradę.
dlga_lord_tell_mission_incriminate_commander_5:lord_tell_mission_incriminate_commander_7|Czy to wszystko?
dlga_lord_tell_mission_incriminate_commander_7:lord_tell_mission_incriminate_commander_8|Jest jeszcze jeden drobiazg... Twój posłaniec musi być kimś godnym zaufania. Jeśli wyślesz list za pośrednictwem prostego chłopa, kogoś niewiele wartego, {s13} może zacząć coś podejrzewać. Może i ma umysł ślimaka, ale nawet ślimak widzi to, co oczywiste. Daj list komuś wyższej rangi. Może dobrze, gdyby był to {s9}.
dlga_lord_tell_mission_incriminate_commander_8:lord_tell_mission_incriminate_commander_9|Co? {s9}? Nie wyślę takiego człowieka na pewną śmierć!
dlga_lord_tell_mission_incriminate_commander_8:lord_tell_mission_incriminate_commander_fin|W takim razie {s8}.
dlga_lord_tell_mission_incriminate_commander_9:lord_tell_mission_incriminate_commander_10|Daj spokój, {playername}. Istnieje miejsce dla sentymentów, ale nie tutaj. Uwierz mi, dobrze cię wynagrodzę, a jaki cel ma żołnierz, jak nie umrzeć na twój rozkaz?
dlga_lord_tell_mission_incriminate_commander_10:lord_tell_mission_incriminate_commander_fin|A więc {s8}.
dlga_lord_tell_mission_incriminate_commander_10:lord_tell_mission_incriminate_commander_rejected|Nie, nie poświęcę jednego z moich najlepszych ludzi.
dlga_lord_tell_mission_incriminate_commander_fin:lord_pretalk|Nie umiem wyrazić, jak bardzo mnie to cieszy, {playername}. Usuniesz jedną z największych przeszkód na mojej drodze. Oto list oraz 300 denarów na twoje wydatki. Pamiętaj, będzie tego więcej, jeśli ci się powiedzie. Dużo, dużo więcej...
dlga_lord_tell_mission:lord_mission_told.2|Grupa moich żołnierzy została schwytana podczas jednej z ostatnich potyczek z wrogiem. Na szczęście mamy wspólną umowę dotyczącą wymiany jeńców i moi ludzie zostaną uwolnieni, ale w zamian chcą podobną liczbę jeńców o zbliżonej randze... Jeńców, którymi teraz nie dysponuję. Potrzebn{y/a} mi więc {dobry wojownik/dobra wojowniczka}, aby pojmać dla mnie tychże jeńców. Sądzę, że {reg1} {s3} na wymianę wystarczy.
dlga_lord_tell_mission:lord_pretalk|Nie, {playername}. Niepotrzebna mi teraz twoja pomoc.
dlga_lord_mission_told:lord_mission_accepted|Możesz na mnie liczyć, {s65}.
dlga_lord_mission_told:lord_mission_rejected|Obawiam się, że nie mogę teraz przyjąć takiej misji.
dlga_lord_mission_accepted:close_window|Doskonale, {playername}, doskonale. Ufam, że zdołasz tego dokonać.
dlga_lord_mission_rejected:close_window|Czyżby? Cóż, sądzę, że nie nadajesz się do tego zadania. Muszę znaleźć kogoś, kto ma nieco większy zapał.
dlga_lord_talk:lord_leave_prison|Muszę teraz odejść.
dlga_lord_talk:lord_leave|Nasze spotkanie dobiegło końca. Pozwól, że się oddalę.
dlga_lord_talk:lord_leave.1|Proszę wybaczyć, ale muszę teraz odejść.
dlga_lord_leave:lord_leave_give_quest|Zanim odejdziesz, {playername}, chcę cię o coś poprosić... Możemy być wrogami w tej wojnie, ale pragnę wierzyć, że wciąż możemy być dla siebie normalnymi ludźmi. Dlatego też mam nadzieję, że możesz pomóc mi w pewnym ważnym dla mnie zadaniu.
dlga_lord_leave_give_quest:enemy_lord_tell_mission|Słucham.
dlga_enemy_lord_tell_mission:lord_mission_told|Mam tu przyjaciela, starego wojownika, który jest bardzo chory. Zaraza dotknęła jego starą ranę i jeśli wkrótce nie zobaczy go chirurg, z pewnością umrze. Ten człowiek wiele dla mnie znaczy, {playername}, ale zarazem jest uparty jak wieprz i nie zgadza się, by ktokolwiek oglądał jego ranę, ponieważ za grosz nie ufa tutejszym lekarzom. Doszły mnie słuchy, że masz u siebie zdolnego chirurga. Jeśli pozwolisz, by twój chirurg przyszedł tutaj i rzucił na niego okiem, to może uda się przekonać go do wyrażenia zgody na operację. Proszę, będę ci dłużny, jeśli spełnisz moją prośbę.
dlga_lord_leave_prison:close_window|Spotkamy się jeszcze.
dlga_lord_leave:close_window|Żegnaj, moja pani. Pozostanę twym najbardziej żarliwym wielbicielem.
dlga_lord_leave:close_window.1|Oczywiście, {playername}. Żegnaj.
dlga_lord_leave:close_window.2|Udanych podróży, {playername}...
dlga_lord_leave:close_window.3|Tak, żegnaj.
dlga_lord_leave:close_window.4|Spotkamy się ponownie.
dlga_member_chat:lady_journey_1|Podoba ci się podróż, {s65}?
dlga_lady_journey_1:close_window|Dobrze sobie radzę, {playername}. Dziękuję ci za troskę.
dlga_start:spouse_talk|Tak, mężu?
dlga_spouse_talk:minister_issues|Jako że jesteś moim naczelnym ministrem, chciałbym z tobą porozmawiać o wydarzeniach w państwie.
dlga_spouse_talk:offer_gift_quest_complete|I have the materials for {s4}'s gift.
dlga_spouse_talk:spouse_cancel_political_quest|Porzućmy nasz pomysł mający na celu {s10}.
dlga_spouse_cancel_political_quest:spouse_cancel_political_quest_confirm|Czy na pewno chcesz porzucić ten pomysł?
dlga_spouse_cancel_political_quest_confirm:spouse_pretalk|Tak, jestem. Porzućmy już ten pomysł.
dlga_spouse_cancel_political_quest_confirm:spouse_pretalk.1|Właściwie, nieważne.
dlga_spouse_talk:combined_political_quests|Zastanówmy się nad sposobem, w jaki możemy poprawić naszą pozycję w tym królestwie.
dlga_spouse_talk:spouse_organize_feast|Myślę, że dobrym rozwiązaniem byłoby zorganizowanie wielkiej fety.
dlga_spouse_talk:spouse_household_possessions|Zróbmy spis naszych zapasów.
dlga_spouse_household_possessions:spouse_pretalk|Tak czy inaczej, właśnie tak wygląda zawartość naszej spiżarni.
dlga_spouse_talk:close_window|{Żono/Mężu}, porozmawiamy później.
dlga_wedding_ceremony_bride_vow:wedding_ceremony_player_vow|Mężu mój, przyrzekam być twoją żoną i być u twego boku w doli i niedoli. Niech niebiosa pobłogosławią nas dziećmi, trzodą i ziemią.
dlga_wedding_ceremony_player_vow:wedding_ceremony_vows_complete|Przyrzekam ci to samo. Zostańmy mężem i żoną.
dlga_wedding_ceremony_player_vow:close_window|Czekaj, chwila, nie jestem na to gotowy.
dlga_wedding_ceremony_vows_complete:close_window|Ogłaszam wszem i wobec, że {s3} i ty zostajecie mężem i żoną. Udajcie się teraz do przygotowanej komnaty, a my zadbamy o to, żeby panna młoda dołączyła do ciebie w holu w {s11}.
dlga_spouse_pretalk:spouse_talk|{Mężu/Żono}, czy mogę coś jeszcze dla ciebie zrobić?
dlga_spouse_organize_feast:spouse_pretalk|Wspaniały pomysł, {mój mężu/moja żono}. Jednakże zaczekajmy na koniec obecnej uczty, zanim zaczniemy planować kolejną.
dlga_spouse_organize_feast:spouse_pretalk.1|Wspaniały pomysł, {mój mężu/moja żono}. Jednakże musimy umiejscowić gdzieś nasz dwór, zanim zaczniemy wydawać uczty.
dlga_spouse_organize_feast:spouse_pretalk.2|Wspaniały pomysł, {mój mężu/moja żono}. Jednakże w naszym królestwie obchodziliśmy ostatnio ucztę. Być może powinniśmy zaczekać )reg3) dni zanim zorganizujemy kolejną?
dlga_spouse_organize_feast:spouse_evaluate_larder_for_feast|Doskonały pomysł, {mężu/żono}. Jednak, aby nie urazić twoich gości, musimy zadbać o to, aby zapewnić sowity i różnorodny posiłek dla szlachciców, ich rodzin i świty. W sumie będziemy mieli jakieś kilkaset gęb do wyżywienia przez kilka dni. Pozwól, że sporządzimy spis naszego posiadania...
dlga_spouse_evaluate_larder_for_feast:spouse_feast_confirm|{s9}
dlga_spouse_feast_confirm:spouse_feast_added_items|Pozwól, że dodam trochę więcej artykułów do naszych magazynów.
dlga_spouse_feast_added_items:spouse_evaluate_larder_for_feast|Dobrze, pozwól, że ocenię nasze zapasy...
dlga_spouse_feast_confirm:spouse_feast_confirm_yes|Pozwolisz, że roześlemy zaproszenia.
dlga_spouse_feast_confirm:spouse_pretalk|Pozwolisz, że zaczekamy.
