str_no_string|NO STRING!
str_comment_you_ran_from_me_enemy_coldblooded|Ostatnim razem skończyło się twoją ucieczką. To była mądra decyzja.
str_comment_you_ran_from_me_enemy|Ostatnio, kiedy skrzyżowały się nasze drogi, udało ci się uciec, ale następnym razem nie będziesz mieć tyle szczęścia.
str_comment_you_ran_from_foe_allied_chivalrous|Powiadają, że widziano, jak {s54} napędził ci takiego strachu i jak uciekasz przed nim, pozostawiając swoich ludzi. Modlę się, by to nie była prawda, bo takie zachowanie zhańbiłoby nas wszystkich.
str_comment_you_ran_from_foe_allied_upstanding|Powiadają, że widziano, jak {s54} napędził ci takiego strachu i jak uciekasz przed nim, pozostawiając swoich ludzi. Nie zawsze wierzę w takie pogłoski i wiem również, że rozpaczliwe sytuacje wymagają rozpaczliwych rozwiązań. Proszę jednak, abyś uważał bardziej na swoje imię, ponieważ ludzie nie zechcą dla nas walczyć jeśli usłyszą, że pozostawiamy ich na polu bitwy.
str_comment_you_ran_from_foe_allied_spiteful|Tak przy okazji, ponoć widziano, jak {s54} napędził ci takiego strachu i jak uciekasz przed nim  niczym wystraszony królik, pozostawiając swoich ludzi na rzeź. Ha! Cóż to musiał być za widok!
str_comment_you_defeated_my_friend_enemy_pragmatic|Być może {s54} został przez ciebie pokonany, ale nie dasz rady nam wszystkim.
str_comment_you_defeated_my_friend_enemy_chivalrous|Doszły mnie słuchy, że {s54} został przez ciebie pokonany i od tej pory marzę, by skrzyżować z tobą miecze.
str_comment_you_defeated_my_friend_enemy_spiteful|Twoja sława cię wyprzedza, {playername}. {s54} uległ twoim sztuczkom, lecz ze mną tak łatwo nie wygrasz.
str_comment_you_defeated_my_friend_enemy|Słyszałem, że {s54} z tobą walczył i przegrał. Ja jednak będę prawdziwszym sprawdzianem twoich umiejętności bojowych.
str_comment_you_captured_a_lord_allied_friendly_spiteful|Doszły mnie słuchy, że {s54} został przez ciebie pojmany. Mam nadzieję, że udało ci się wycisnąć za niego jak najwięcej denarów.
str_comment_you_captured_a_lord_allied_unfriendly_spiteful|Doszły mnie słuchy, że {s54} został przez ciebie pojmany. Twoje skrzynie muszą być zapełnione pieniędzmi z okupu. Szkoda, że takie sumy nie potrafią zmieniać nisko urodzonej osoby w arystokratę!
str_comment_you_captured_a_lord_allied_chivalrous|Doszły mnie słuchy, że {s54} został przez ciebie pojmany. Bardzo dobrze. Zakładam oczywiście, że został potraktowany godnie.
str_comment_you_captured_a_lord_allied|Doszły mnie słuchy, że {s54} został przez ciebie pojmany. Bardzo dobrze. Okup za niego musi mieć niezłą wartość.
str_comment_you_let_go_a_lord_allied_chivalrous|Doszły mnie słuchy, że {s54} został przez ciebie pojmany, ale potem zwolniony. Taka wspaniałomyślność dobrze nam nie służy.
str_comment_you_let_go_a_lord_allied_upstanding|Doszły mnie słuchy, że {s54} został przez ciebie pojmany, ale potem zwolniony. Cóż, to było honorowe zachowanie, ale również niebezpieczne.
str_comment_you_let_go_a_lord_allied_coldblooded|Doszły mnie słuchy, że {s54} został przez ciebie pojmany, ale potem zwolniony. To było bardzo wspaniałomyślne, ale wspaniałomyślność nie wygrywa bitew.
str_comment_you_let_go_a_lord_allied_unfriendly_spiteful|Doszły mnie słuchy, że {s54} został przez ciebie pojmany, ale potem zwolniony. Jakże rycerski gest! Bez wątpienia wdowy i sieroty, które za sobą pozostawi, zechcą poznać cię osobiście.
str_comment_you_let_go_a_lord_allied|Doszły mnie słuchy, że {s54} został przez ciebie pojmany, ale potem zwolniony. Cóż, nie powiem ci, co my robimy z naszymi jeńcami.
str_comment_you_let_me_go_spiteful|Ostatnim razem leżałem u twoich stóp prosząc o łaskę i zostałem puszczony wolno. Mam nadzieję, że podobała ci się ta zabawa w kotka i myszkę, ponieważ to ty wkrótce znajdziesz się na mojej łasce.
str_comment_you_let_me_go_enemy_chivalrous|Ostatnim razem leżałem u twoich stóp prosząc o łaskę i zostałem puszczony wolno. To był piękny gest, którego nie zapomnę. Muszę jednak również pamiętać o mojej przysiędze lojalności, nasze królestwa wciąż walczą.
str_comment_you_let_me_go_enemy_coldblooded|Ostatnim razem leżałem u twoich stóp prosząc o łaskę i zostałem puszczony wolno. Wciąż jednak pozostajemy wrogami i nie mogę obiecać, że w przyszłości odpłacę podobną wspaniałomyślnością.
str_comment_you_let_me_go_enemy|Ostatnim razem leżałem u twoich stóp prosząc o łaskę i zostałem puszczony wolno. To miło z twojej strony. Mimo to, wciąż toczymy ze sobą wojnę.
str_comment_you_let_me_go_default|Ostatnim razem leżałem u twoich stóp prosząc o łaskę i zostałem puszczony wolno. To miło z twojej strony i cieszę się, że nasze królestwa nie toczą już wojny.
str_comment_pledged_allegiance_allied_martial_unfriendly|Słyszałem o twojej przysiędze lojalności względem naszego władcy, którym jest {s54}. Nie zhańb nas w jakiś tchórzliwy sposób.
str_comment_pledged_allegiance_allied_martial|Słyszałem o twojej przysiędze lojalności względem naszego władcy, którym jest {s54}. Z chęcią będę walczył wspólnie z tobą przeciwko naszym wrogom.
str_comment_pledged_allegiance_allied_quarrelsome_unfriendly|Słyszałem o twojej przysiędze lojalności względem naszego władcy, którym jest {s54}. Ba. Wyświadcz sobie przysługę i trzymaj się ode mnie z daleka.
str_comment_pledged_allegiance_allied_quarrelsome|Słyszałem o twojej przysiędze lojalności względem naszego władcy, którym jest {s54}. Walcz z naszym wrogiem, szanuj lepszych od siebie i nie wchodź mi w drogę, a wszystko będzie dobrze.
str_comment_pledged_allegiance_allied_selfrighteous_unfriendly|Słyszałem o twojej przysiędze lojalności względem naszego władcy, którym jest {s54}. Na jego miejscu nie powierzyłbym ci nawet umycia kuchni.
str_comment_pledged_allegiance_allied_selfrighteous|Słyszałem o twojej przysiędze lojalności względem naszego władcy, którym jest {s54}. Walcz dzielnie, a z pewnością dobrze cię wynagrodzi. Zdradź nas, a staniesz się przykładem, którego inni szybko nie zapomną.
str_comment_pledged_allegiance_allied_cunning_unfriendly|Słyszałem o twojej przysiędze lojalności względem naszego władcy, którym jest {s54}. Nie udaję, że cieszy mnie ta decyzja, ale może lepiej mieć cię wewnątrz namiotu sikającego na zewnątrz, niż odwrotnie.
str_comment_pledged_allegiance_allied_cunning|Słyszałem o twojej przysiędze lojalności względem naszego władcy, którym jest {s54}. To dobrze. Im więcej mamy zdolnych wojowników w tych ciężkich czasach, tym lepiej. Będę obserwował twoje postępy.
str_comment_pledged_allegiance_allied_debauched_unfriendly|Słyszałem o twojej przysiędze lojalności względem naszego władcy, którym jest {s54}. Bez wątpienia wkrótce go zdradzisz, a ja będę miał przyjemność obejrzeć śmierć zdrajcy.
str_comment_pledged_allegiance_allied_debauched|Słyszałem o twojej przysiędze lojalności względem naszego władcy, którym jest {s54}. Doskonale... Z pewnością zostaniemy dobrymi przyjaciółmi. Ale pamiętaj, jeśli nas zdradzisz, to będzie twój największy błąd w życiu.
str_comment_pledged_allegiance_allied_goodnatured_unfriendly|Słyszałem o twojej przysiędze lojalności względem naszego władcy, którym jest {s54}. Cóż, nie mogę powiedzieć, że ja ci ufam, ale może zasługujesz na jakiś kredyt zaufania.
str_comment_pledged_allegiance_allied_goodnatured|Słyszałem o twojej przysiędze lojalności względem naszego władcy, którym jest {s54}. Dobrze {człowieku/kobieto}! Nasz lord to szlachetna dusza i sowicie wynagradza za lojalność oraz odwagę.
str_comment_pledged_allegiance_allied_upstanding_unfriendly|Słyszałem o twojej przysiędze lojalności względem naszego władcy, którym jest {s54}. Niestety znam cię na tyle, że obawiam się, iż nas zhańbisz. Mam jednak nadzieję, że się mylę.
str_comment_pledged_allegiance_allied_upstanding|Słyszałem o twojej przysiędze lojalności względem naszego władcy, którym jest {s54}. Walcz dzielnie z naszymi wrogami, ale pamiętaj o honorze i współczuciu. Dobre imię jest równie cenne, co ostry miecz lub szybki koń.
str_comment_our_king_granted_you_a_fief_allied_friendly_cruel|Doszły mnie słuchy, że {s54} przekazał ci {s51} jako lenno. Nie zapomnij, oszczędzisz bata, a zepsujesz chłopów!
str_comment_our_king_granted_you_a_fief_allied_friendly_cynical|Doszły mnie słuchy, że {s54} przekazał ci {s51} jako lenno. Dobrze widzieć, że się rozwijasz, ale uważaj. Ludzie to żmije, zazdrosne o swoich sąsiadów. Trzymaj się blisko mnie, a będziesz bezpieczny.
str_comment_our_king_granted_you_a_fief_allied_friendly|Doszły mnie słuchy, że {s54} przekazał ci {s51} jako lenno. Niech twoja nowa ziemia dobrze prosperuje.
str_comment_our_king_granted_you_a_fief_allied_unfriendly_upstanding|Doszły mnie słuchy, że {s54} przekazał ci {s51} jako lenno. Pamiętaj jednak, że duma może doprowadzić cię do upadku.
str_comment_our_king_granted_you_a_fief_allied_unfriendly_spiteful|Doszły mnie słuchy, że {s54} przekazał ci {s51} jako lenno. Podejrzewam jednak, że fortuna jeszcze bardziej cię upokorzy i sprawi, że w końcu trafisz w bagno, z którego pochodzisz.
str_comment_our_king_granted_you_a_fief_allied_spiteful|Doszły mnie słuchy, że {s54} przekazał ci {s51} jako lenno. Miejmy nadzieję, że naprawdę zasługujesz na takie względy u naszego lorda.
str_comment_our_king_granted_you_a_fief_allied|Doszły mnie słuchy, że {s54} przekazał ci {s51} jako lenno. Wygląda na to, że nieźle sobie radzisz.
str_comment_you_renounced_your_alliegance_enemy_friendly|Słyszałem o wycofaniu twojej przysięgi lojalności względem naszego władcy, którym jest {s54}. Szkoda, że znów będziemy musieli spotkać się na polu walki.
str_comment_you_renounced_your_alliegance_friendly|Słyszałem o wycofaniu twojej przysięgi lojalności względem naszego władcy, którym jest {s54}. Módlmy się, żebyśmy nie musieli walczyć.
str_comment_you_renounced_your_alliegance_unfriendly_spiteful|Zawsze uważałem, że zdradzisz {s54}, a teraz wychodzi na to, że się nie myliłem. Mam nadzieję, że umrzesz śmiercią zdrajcy!
str_comment_you_renounced_your_alliegance_unfriendly_moralizing|Słyszałem o wycofaniu twojej przysięgi lojalności względem naszego władcy, którym jest {s54}. Jestem zmuszony uznać cię za zdrajcę.
str_comment_you_renounced_your_alliegance_enemy|Słyszałem o wycofaniu twojej przysięgi lojalności względem naszego władcy, którym jest {s54}. Cóż, w taki sposób starzy towarzysze zostają wrogami.
str_comment_you_renounced_your_alliegance_default|Słyszałem o wycofaniu twojej przysięgi lojalności względem naszego władcy, którym jest {s54}. Cóż, to twoja decyzja, ale nie spodziewaj się, że potraktuję cię ulgowo na polu bitwy.
str_comment_you_claimed_the_throne_1_player_liege|Moi informatorzy donoszą, iż niektórzy mówią o tobie jak o przyszłym królu. Jak rozumiem, ukrócisz niedługo tę bezsensowną i niebezpieczną gadaninę.
str_comment_you_claimed_the_throne_2_player_liege|Moi informatorzy donoszę, że twoi kompani rozpowiadają chłopom o twych roszczeniach do tronu. Mam nadzieję, że nie działają z twego rozkazu.
str_comment_lord_intervened_against_me|{s54} i ja mieliśmy w przeszłości zatargi, ale {s50} osądził, iż słuszność leżała po stronie mego rywala.
str_comment_i_protested_marshall_appointment|{s54} wydał decyzję, by {s51} został marszałkiem. Powszechnie wiadomo, że ta decyzja wzbudziła mój sprzeciw.
str_comment_i_blamed_defeat|{s54} zniechęca mnie względami, których doświadcza {s51}, winny porażki przeciw siłom osoby znanej jako {s56}.
str_comment_i_was_entitled_to_fief|Odczuwam zawód, iż {s54} otrzymał lenno, którego poprzednim właścicielem był {s51}. Owo lenno powinno należeć do mnie.
str_comment_i_quarreled_with_troop_over_woman|Wiadomo, że {s54} obdarzyła wdziękami innego, gdy starałem się o jej rękę. Tym człowiekiem jest {s51} i zamierzam nauczyć go, by trzymał się od niej z daleka!
str_comment_i_quarreled_with_you_over_woman_default|Doszły mnie słuchy, że interesuje cię {s54}, i że smalisz do niej cholewki. Nie jesteś godzien tak nadobnej damy, zaprzestań więc starań o nią.
str_comment_i_quarreled_with_you_over_woman_derisive|Doszły mnie słuchy, że interesuje cię {s54}, i że smalisz do niej cholewki. Coś ci powiem... Ona interesowała mnie od czasu, gdym był jeszcze chłopcem, a ona dziewczynką. To dobrze urodzona dama, która nie powinna znosić prostackich zalotów przybłędy. Trzymaj się od niej z dala, bo gorzko tego pożałujesz!
str_comment_player_suggestion_succeeded|Dzięki twoim sugestiom udało mi się znacznie wzbogacić.
str_comment_player_suggestion_failed|Przez twoje sugestie spotkała mnie katastrofa. Obarczam cię odpowiedzialnością za nią!
str_comment_you_enfiefed_a_commoner_hesitant|Rozumiem, że {s51} należy teraz do tego prostaka, który zwie się {s54}. Uważaj na siebie. Nauczyć się sztuki zarządzania nie jest łatwo, a najlepiej, gdy dziedziczy się ją po ojcu. Odradzam ci zabawy z instytucją władcy.
str_comment_you_enfiefed_a_commoner_derisive|Rozumiem, że {s51} przypadła prostakowi, który zwie się {s54}. Czy starożytni mistrzowie nie ostrzegali przed szyciem królewskich szat ze świńskiej skóry?
str_comment_you_enfiefed_a_commoner_nasty|Rozumiem, że {s51} przypada prostakowi, który zwie się {s54}. Uważaj na siebie! Pies może zwrócić się przeciw swemu panu!
str_comment_marriage_normal_family|Gratuluję, moja {s11} {s50} jest twoją żoną. Możesz uważać się teraz za część rodziny.
str_comment_marriage_normal|Gratuluję! {s50} jest teraz twą żoną! Ta wieść przynosi zaszczyt mnie i tobie.
str_comment_marriage_normal_nasty|Widzę, że {s50} wyszła za ciebie. Zawsze była głupią dziewczyną, niezdolną dobrze oceniać ludzi.
str_comment_marriage_elopement_family|Jakimś cudem moja {s11} {s50} została twoją żoną. Nie wiem, co jej zrobiłeś, ale nasza rodzina nie zapomni tego upokorzenia.
str_comment_marriage_elopement_liege|Widzę, że {s50} została przez ciebie uprowadzona. Nie podoba mi się to. Jej rodzina należy do największych władców mego królestwa, a ja nie lubię, gdy wychodzą oni na głupców.
str_comment_you_broke_truce_as_my_vassal|Doszły mnie słuchy, że {s55} został przez ciebie zaatakowany. Wiesz, jak ja teraz wyglądam? Jeśli działasz z moich rozkazów, wychodzę na osobę niehonorową, a jeśli nie, to na słabą. Zastanawiam się, czy nie posądzić cię o zdradę tu i teraz.
str_comment_you_attacked_neutral_as_my_vassal|Ponoć kupcy, których domem jest {s55}, zostali przez ciebie zaatakowani. Teraz mają pretekst, by zaatakować mnie. Zobaczymy, co z tego będzie. Masz za sobą wspaniały dzień pracy!
str_personality_archetypes|lennik
str_martial|wojskowy
str_quarrelsome|zrzędliwy
str_selfrighteous|bezlitosny
str_cunning|przebiegły
str_debauched|sadystyczny
str_goodnatured|dobrze usposobiony
str_upstanding|rzetelny
str_roguish|łotr
str_benevolent|dobrotliwy
str_mercantile|interesowny
str_surrender_demand_default|Poddaj się lub giń!
str_surrender_demand_martial|Nie masz dziś zbyt wielkich szans. Możesz z nami walczyć, ale nie będzie wstydu, jeśli teraz się poddasz.
str_surrender_demand_quarrelsome|Jesteś w sytuacji bez wyjścia. Poddaj się albo zginiesz jak pies.
str_surrender_demand_pitiless|Nie dasz rady mnie pokonać... A jeśli spróbujesz, dam ci bolesną lekcję. Poddaj się!
str_surrender_demand_cunning|Dziś poniesiesz porażkę. Poddaj się, jeśli nie z myślą o sobie, to z myślą o swoich ludziach!
str_surrender_demand_sadistic|Poddaj się, albo wypatroszę cię jak rybę!
str_surrender_demand_goodnatured|Mamy nad tobą przewagę. Poddaj się, a dobrze cię potraktujemy.
str_surrender_demand_upstanding|Możesz z nami walczyć, ale wielu ludzi zostanie zabitych i zapewnie przegrasz. Poddaj się i oszczędź nam niepotrzebnego rozlewu krwi.
str_surrender_offer_default|Stop! Poddaję się!
str_surrender_offer_martial|Stop! Poddaję się!
str_surrender_offer_quarrelsome|Dosyć! Dziś wygrywasz, ty{ psie!/...} Ach, co za szkoda!
str_surrender_offer_pitiless|Poddaję się! Zwyciężasz. Niech ten dzień będzie przeklęty!
str_surrender_offer_cunning|Stop! Poddaję się!
str_surrender_offer_sadistic|Poddaję się! Poddaję! Odwołaj swoje psy!
str_surrender_offer_goodnatured|Poddaję się! Gratuluję ci zwycięstwa {panie/pani}!
str_surrender_offer_upstanding|Poddaję się! Proszę, potraktuj mnie z honorem!
str_lord_declines_negotiation_offer_default|Może i tak, ale chcę z tobą walczyć.
str_lord_declines_negotiation_offer_martial|Może i tak, ale moim obowiązkiem jest stanąć z tobą do walki.
str_lord_declines_negotiation_offer_quarrelsome|Ha! Za to ja chcę walczyć z tobą.
str_lord_declines_negotiation_offer_pitiless|A co mnie to obchodzi. Chcę z tobą walczyć.
str_lord_declines_negotiation_offer_cunning|Ale niestety, chcę z tobą walczyć.
str_lord_declines_negotiation_offer_sadistic|Wciąż mielesz ozorem! Wkrótce przyda ci się do błagania o litość.
str_lord_declines_negotiation_offer_goodnatured|Wybacz, nie mogę pozwolić ci tak po prostu odjechać. Bez urazy.
str_lord_declines_negotiation_offer_upstanding|Może i tak, ale wierność seniorowi nakazuje mi z tobą walczyć.
str_prisoner_released_default|Masz moją wdzięczność {panie/pani}. Nie zapomnę o twojej dobroci.
str_prisoner_released_martial|Jesteś {szlachetnym mężczyzną/szlachetną kobietą}, {panie/pani}. Nie zapomnę o tym!
str_prisoner_released_quarrelsome|Jestem wolny? No cóż... Do zobaczenia zatem.
str_prisoner_released_pitiless|Dziękuję. Kiedy w końcu przegrasz, poproszę, by twoja śmierć była szybka i bezbolesna. No, chyba że postanowisz do nas dołączyć... Do zobaczenia zatem.
str_prisoner_released_cunning|Czyżby? Jesteś {szlachetnym mężczyzną/szlachetną kobietą}. Znajdę sposób, by ci się odwdzięczyć.
str_prisoner_released_sadistic|Czyżby? Twoje okrucieństwo jest tak wielkie, że wolisz mnie ujrzeć wolnego i upokorzonego, niż w łańcuchach. Ciesz się swoim triumfem!
str_prisoner_released_goodnatured|Jesteś {szlachetnym mężczyzną/szlachetną kobietą} {panie/pani}. Nie zapomnę o tym!
str_prisoner_released_upstanding|Jesteś {szlachetnym mężczyzną/szlachetną kobietą} {panie/pani}. Nie zapomnę o tym!
str_enemy_meet_default|Kim jesteś, że stajesz przede mną z bronią w ręce?
str_enemy_meet_martial|Jak brzmi twoje imię {panie/pani}? Jeśli dojdzie do starcia, będę wiedział, z kim walczę.
str_enemy_meet_quarrelsome|Kim ty do diabła jesteś?
str_enemy_meet_pitiless|Kim jesteś? Mów, abym wiedział, kogo zarzynam.
str_enemy_meet_cunning|Ujawnij mi swoje imię. Zawsze dobrze jest znać tożsamość przeciwnika.
str_enemy_meet_sadistic|Kim jesteś? Mów szybko, zanim odetnę ci język.
str_enemy_meet_goodnatured|Jak brzmi twoje imię {panie/pani}? Jeśli dojdzie do starcia, będę wiedział, z kim walczę.
str_enemy_meet_upstanding|Kim jesteś, że przychodzisz z bronią dyskutować o sprawiedliwości? 
str_battle_won_default|Dziś znalazłem w tobie prawdziwego sojusznika.
str_battle_won_martial|Nie ma większego szczęścia, niż możliwość pokazania swojej odwagi na polu walki!
str_battle_won_quarrelsome|Ha! Pokazaliśmy tym draniom kilka sztuczek, prawda?
str_battle_won_pitiless|Razem sprawimy, że wróg nauczy się trwożyć na dźwięk naszych imion i kulić się, gdy nadchodzimy!
str_battle_won_cunning|Teraz musimy naciskać, aby nie zmarnować dzisiejszego rozlewu krwi.
str_battle_won_sadistic|Oczyśćmy teraz poległych i zostawmy ich krukom, aby wszyscy znali los tych, którzy ważą się stanąć naprzeciw nas.
str_battle_won_goodnatured|To była dobra walka! Nie ma to jak radość ze zwycięstwa, co?
str_battle_won_upstanding|A teraz podziękujmy niebiosom za nasze zwycięstwo i opłakujmy tych wspaniałych mężczyzn, którzy dzisiaj polegli.
str_battle_won_grudging_default|Dziś dzięki tobie zmienił się przebieg bitwy. Cokolwiek o tobie myślę, nie mogę winić cię za brak odwagi.
str_battle_won_grudging_martial|{playername} - dziś udało ci się udowodnić, że jesteś {dzielnym mężczyzną/dzielną kobietą}, niezależnie od twoich czynów w przeszłości.
str_battle_won_grudging_quarrelsome|Hmf. Twoja twarz nie należy do tych, które z przyjemnością widuję, ale dziś powinienem podziękować ci za pomoc.
str_battle_won_grudging_pitiless|Twoja pomoc była dziś nieoceniona. Nie spodziewałem się, że otrzymam od kogoś jakąkolwiek pomoc, a do tego z czystej sympatii. Dziękuję ci, {panie/pani}.
str_battle_won_grudging_cunning|Źle bym się zachował nie podziękowawszy ci za pomoc. A więc... Masz moją wdzięczność.
str_battle_won_grudging_sadistic|Cóż! Wzruszające! {playername} przybywa mi na ratunek.
str_battle_won_grudging_goodnatured|{playername}! Nie mogę powiedzieć, że zawsze nam się dobrze żyło ze sobą, ale dziś to była znakomita walka. Bardzo ci dziękuję!
str_battle_won_grudging_upstanding|Być może myliłem się co do ciebie. Udało ci się przybyć w samą porę. Masz moją wdzięczność.
str_battle_won_unfriendly_default|A więc jesteś. Cóż, lepiej późno niż wcale.
str_battle_won_unfriendly_martial|W przeszłości powiedzieliśmy sobie wiele ostrych słów, ale teraz po prostu radujmy się ze zwycięstwa.
str_battle_won_unfriendly_quarrelsome|Jeśli stoisz tutaj w oczekiwaniu na podziękowania, to możesz czekać dalej. Twoja pomoc tak naprawdę nie była potrzebna, ale pewnie i tak nie mieliście nic lepszego do roboty.
str_battle_won_unfriendly_pitiless|Pojawiasz się tutaj jak szakal po zdobycz lwa. No cóż, skorzystaj zatem z łupów. Nie będę cię zatrzymywał.
str_battle_won_unfriendly_cunning|{playername}... Cóż, twoje przybycie nie boli, ale nie będę udawał, że cieszę się na twój widok.
str_battle_won_unfriendly_sadistic|Cofnij się padlinożerco! To było moje zwycięstwo, niezależnie od tego, jak bardzo chcesz mi ukraść zasługi.
str_battle_won_unfriendly_goodnatured|Och, to ty. No cóż, chyba powinienem podziękować ci za pomoc?
str_battle_won_unfriendly_upstanding|Dziękuję za twoje przybycie z pomocą. Teraz już pójdę, zanim powiem coś, czego mogę potem żałować.
str_troop_train_request_default|Potrzebny mi ktoś taki jak ty, żeby dać im szkołę.
str_troop_train_request_martial|Potrzebny im ktoś, kto pokaże im znaczenie odwagi.
str_troop_train_request_quarrelsome|Tłuste, leniwe dranie. Niedobrze mi się robi na ich widok.
str_troop_train_request_pitiless|Bardziej boją się wroga niż mnie, a tak być nie może.
str_troop_train_request_cunning|Ale ludzi, niczym miecze, utwardza się w ogniu.
str_troop_train_request_sadistic|Potrzebuję kogoś z głową na karku, kto wymusi na nich odwagę lub pozabija podczas ćwiczeń.
str_troop_train_request_goodnatured|To dobre chłopaki, ale obawiam się, że nie są jeszcze przygotowani do bitwy.
str_troop_train_request_upstanding|To byłoby równoznaczne z morderstwem, gdybym w tym stanie posłał ich do walki.
str_unprovoked_attack_default|Co? Dlaczego nas atakujesz? Mów, ty łajdaku!
str_unprovoked_attack_martial|Nie mam nic przeciwko próbie broni, ale zapytam, z jakiego powodu nas atakujesz?
str_unprovoked_attack_quarrelsome|Popełniasz wielki błąd {chłopcze/dziewko}. Co ty sobie wyobrażasz?
str_unprovoked_attack_pitiless|Czyżby? Jeśli naprawdę chcesz dziś umrzeć, to z wielką chęcią ci w tym pomogę, jestem jednak ciekaw, co próbujesz osiągnąć.
str_unprovoked_attack_cunning|Naprawdę? Myślę, że postępujesz bardzo nierozważnie. Co chcesz w ten sposób osiągnąć?
str_unprovoked_attack_sadistic|Co to ma być? Naprawdę szukasz guza?
str_unprovoked_attack_goodnatured|Dlaczego to robisz? Przecież nie walczymy ze sobą, {panie/pani}.
str_unprovoked_attack_upstanding|Uznaję to za napaść, której nie prowokowałem i złożę protest przed twoim królem. Dlaczego to robisz?
str_unnecessary_attack_default|Nie zawaham się rozpłatać cię na dwoje, ale daję ci szansę wycofać się z tego błędu.
str_unnecessary_attack_martial|Nie mogę się doczekać, żeby przyjąć twoje wyzwanie {panie/pani}, choć dam ci minutę na rozważenie tej decyzji.
str_unnecessary_attack_quarrelsome|Ha! Nie jestem dziś w nastroju na takie głupoty. Zejdź mi z drogi.
str_unnecessary_attack_pitiless|Jestem dziś w litościwym nastroju. Udam, że tego nie słyszałem.
str_unnecessary_attack_cunning|Nie rozumiem, co chcesz osiągnąć, robiąc sobie ze mnie wroga. Myślę, że czas już odjechać.
str_unnecessary_attack_sadistic|Nie mam czasu dla kogoś takiego, jak ty. Zejdź mi z drogi.
str_unnecessary_attack_goodnatured|Nie wiem co chcesz osiągnąć, rozpoczynając walkę {panie/pani}. Wciąż masz szansę odjechać.
str_unnecessary_attack_upstanding|Jeśli życzysz sobie walki {panie/pani}, to ją dostaniesz, ale oferuję ci jeszcze jedną szansę na zmianę decyzji.
str_lord_challenged_default|Jak sobie życzysz. Przygotuj się na śmierć!
str_lord_challenged_martial|Niech będzie. Broń się!
str_lord_challenged_quarrelsome|Ty {zuchwały szczeniaku/zuchwała dziewko}! Zmiażdżę cię!
str_lord_challenged_pitiless|Tak bardzo chcesz umrzeć, że nie dajesz mi wyboru... Muszę ci w tym pomóc.
str_lord_challenged_cunning|Cóż, nie pozostawiasz mi wyboru...
str_lord_challenged_sadistic|Ty sterto łajna! Pożałujesz tej decyzji!
str_lord_challenged_goodnatured|Dobrze. Miałem nadzieję, że zdołamy uniknąć walki, ale nie pozostawiasz mi wyboru.
str_lord_challenged_upstanding|Niech będzie. Smuci mnie, że nie można ci przemówić do rozsądku.
str_lord_mission_failed_default|Cóż, jestem rozczarowany, ale z pewnością będziesz mieć jeszcze wiele okazji zrekompensowania się.
str_lord_mission_failed_martial|Nie ma honoru w niewypełnieniu powierzonego zadania, ale przyjmę twój raport.
str_lord_mission_failed_quarrelsome|Nie udało ci się? Ha. Powinienem się tego spodziewać po kimś takim jak ty.
str_lord_mission_failed_pitiless|Nie udało ci się? Cóż... Rozczarowujesz mnie, a to bardzo nierozważna rzecz.
str_lord_mission_failed_cunning|Cóż, jestem rozczarowany, ale nikt nie gwarantuje, że pomyślne wiatry zawsze będą nam sprzyjać.
str_lord_mission_failed_sadistic|Czyżby? Ci, którzy mnie zawiedli, nie zawsze dożywają chwili, by tego pożałować.
str_lord_mission_failed_goodnatured|Och. No cóż, nie było to łatwe. Dziękuję ci za podjęcie próby.
str_lord_mission_failed_upstanding|Dobrze. Jestem pewien, że twoje intencje były szczere.
str_lord_follow_refusal_default|Dołączyć do ciebie? Zapominasz się {panie/pani}.
str_lord_follow_refusal_martial|Może kiedyś, kiedy pokażesz, że jesteś dzielnym i honorowym wojownikiem, podążę za tobą. Ale nie dziś.
str_lord_follow_refusal_quarrelsome|Pójść za kimś takim jak ty? Nie wydaje mi się.
str_lord_follow_refusal_pitiless|Lordowie tacy jak ja nie idą za ludźmi takimi jak ty {panie/pani}.
str_lord_follow_refusal_cunning|Najpierw udowodnij, że jesteś typem {mężczyzny, który/kobiety, która} nie doprowadzi mnie do zguby, a być może podążę za tobą.
str_lord_follow_refusal_sadistic|Nie sądzę! To raczej ty chodź za mną, jak popędzane biczem bydło za swoim panem.
str_lord_follow_refusal_goodnatured|Hm, jestem obecnie nieco zajęty. Może w późniejszym czasie.
str_lord_follow_refusal_upstanding|Najpierw pokaż mi, że potrafisz dowodzić, a być może pójdę z tobą.
str_lord_insult_default|nikczemny drań
str_lord_insult_martial|niehonorowy łotr
str_lord_insult_quarrelsome|niegodny niczego bękart
str_lord_insult_pitiless|nisko urodzona glista
str_lord_insult_cunning|nieostrożny niedołęga
str_lord_insult_sadistic|zasmarkany kundel
str_lord_insult_goodnatured|nieprzyjemny gość
str_lord_insult_upstanding|haniebna kanalia
str_lord_derogatory_default|nikczemny
str_lord_derogatory_martial|uparty
str_lord_derogatory_quarrelsome|kłótliwy i swarliwy
str_lord_derogatory_pitiless|okrutny, tyrański
str_lord_derogatory_cunning|pozbawiony skrupułów i skłonny do manipulacji
str_lord_derogatory_sadistic|nikczemny i bez honoru
str_lord_derogatory_goodnatured|beznadziejnie naiwny
str_lord_derogatory_upstanding|niepokorny i świętoszkowaty
str_lord_derogatory_result|zrujnować nas
