str_no_string|NINCS SZÖVEG!
str_comment_we_fought_in_siege_unfriendly|Nem feledem, hogyan rohantuk le {s51} várát - de a köztünk lévő egyéb ügyeket sem feledhetem.
str_comment_we_fought_in_siege_cruel|Nem fogom elfeledni, hogy törtük át {s51} falait, s hánytuk kardélre védőit. Kellemes emlék!
str_comment_we_fought_in_siege_quarrelsome|Emlékszel, hogy visított az ellenség, midőn áttörtük {s51} falait? Azt hitték, biztonságban  vannak! Letöröltük az önelégült vigyort a képükről!
str_comment_we_fought_in_siege_upstanding|Nem feledem, miként foglaltuk el {s51} várát. Köszönjük meg még egyszer az Úrnak, s imádkozzunk, hogy büszkeségünk ne vakítson el miket!
str_comment_we_fought_in_siege_default|Nem feledem, miként foglaltuk el együtt {s51} várát. Megtiszteltetés, hogy az oldaladon harcolhattam!
str_comment_we_fought_in_major_battle_unfriendly_spiteful|Gondolom, koccintanál velem diadalunkra {s51} mellett. Nos, hagyd szárazon kupád - a bor nem mossa el korábbi gyalázatos tetteid szégyenfoltjait.
str_comment_we_fought_in_major_battle_unfriendly|Nem feledem, hogyan harcoltunk együtt a nagy csatában {s51} mellett - de a köztünk lévő egyéb ügyeket sem feledhetem.
str_comment_we_fought_in_major_battle_cruel|Nem fogom elfeledni a nagy csatát {s51} mellett, mikoron áttörtük az ellenséges vonalakat, s ők visítva menekültek előlünk. Csodás emlék!
str_comment_we_fought_in_major_battle_quarrelsome|Remek harc volt a(z) {s51} közelében, midőn megfutamítottuk azokat a semmirekellőket!
str_comment_we_fought_in_major_battle_upstanding|Nem fogom elfeledni, miként harcoltunk vállt vállnak vetve {s51} mellett. Köszönjük meg még egyszer az Úrnak, s imádkozzunk, hogy büszkeségünk ne vakítson el miket!
str_comment_we_fought_in_major_battle_default|Nem fogom elfeledni, miként harcoltunk egymás oldalán {s51} mellett. Megtiszteltetés, hogy melletted harcolhattam!
str_comment_you_defeated_a_lord_allied_liege|Szóval {s54}, a hitvány, összemérte veled kardját, s te kerültél ki győztesen? Nagy örömmel hallom!
str_comment_you_defeated_a_lord_allied_unfriendly_spiteful|Úgy hallom, {s54} megküzdött veled, s te legyőzted őt. Nos, egyszer mindenkinek lehet jó napja.
str_comment_you_defeated_a_lord_allied_spiteful|Azt mondják, a kutya {s54} kardot akasztott veled, s te legyőzted. Ó, bárcsak hallottam volna, mikor kegyelemért könyörög!
str_comment_you_defeated_a_lord_allied_unfriendly_chivalrous|Úgy hallom, csatában győztél {s54} felett. Remélem, nem használtál ehhez becstelen eszközöket.
str_comment_you_defeated_a_lord_allied|Úgy hallom, csatában győztél {s54} felett. Nos, élvezd diadalodat!
str_comment_you_defeated_me_enemy_chivalrous|Midőn legutóbb találkoztunk, legyőztél. Nem sajnálom tőled, de alig várom a visszavágót!
str_comment_you_defeated_me_enemy_spiteful|Vártam már, hogy újból találkozzunk. Másodszor már a cseleid nem fognak megtéveszteni, s élvezettel fogom hallgatni, ahogy irgalomért könyörögsz.
str_comment_you_defeated_me_enemy|Midőn legutóbb találkoztunk, {playername}, legyőztél. De biztosíthatlak, ez nem fog még egyszer előfordulni.
str_comment_i_defeated_you_enemy_spiteful|Még többet akarsz? Harcoljunk megint, s most a kutyáim a beleidből fognak lakmározni.
str_comment_i_defeated_you_enemy_chivalrous|Eljöttél, hogy ismét próbára tedd vitézségedet ellenem, {playername}?
str_comment_i_defeated_you_enemy_benevolent|Tehát újból megtámadsz? Hát soha nem tanulsz?
str_comment_i_defeated_you_enemy_coldblooded|Kitartó vagy, de csak egy apró kellemetlenség.
str_comment_i_defeated_you_enemy|Hányszor kell még elkergetnelek, hogy megtanulj távolságot tartani tőlem?
str_comment_we_were_defeated_unfriendly_spiteful|Mikor legutóbb láttalak, {s54} emberei épp legyűrtek. Téged okollak e szerencsétlenségért. Milyen kár, hogy túlélted!
str_comment_we_were_defeated_unfriendly|Mikor legutóbb láttalak, {s54} emberei épp legyűrtek. Nos, látom, túlélted.
str_comment_we_were_defeated_cruel|Mikor legutóbb láttalak, {s54} emberei épp föléd kerekedtek. Egyet se félj - megtaláljuk, s lenyomjuk a torkán a győzelmét.
str_comment_we_were_defeated_default|Mikor legutóbb láttalak, {s54} emberei épp legyűrtek. Örülök, hogy túlélted, s jól vagy.
str_comment_you_were_defeated_allied_friendly_spiteful|Úgy hallottam, {s54} megszorongatott. Egyet se félj, barátom - megtalálom neked, s elhozom ajándékba a fejét. 
str_comment_you_were_defeated_allied_unfriendly_cruel|Azt hallottam, {s54} lemészárolta sereged, mint egy birkacsordát. De te itt vagy, és élsz. Micsoda csalódás!
str_comment_you_were_defeated_allied_spiteful|Azt hallottam, {s54} eltaposott, mint egy hangyát. Hah! Gyermekeknek nem volna szabad felnőtt játékokkal próbálkozni, {kisfiú/kislány}!
str_comment_you_were_defeated_allied_pitiless|Úgy hallottam, {s54} legyőzött, s szétverte sereged. Micsoda csalódás...
str_comment_you_were_defeated_allied_unfriendly_upstanding|Úgy hallottam, {s54} legyőzött. Talán el kellene gondolkodnod azon, hogy járt-e bármi bűnös gondolat a fejedben! Meglehet, az Úr ily módon büntet.
str_comment_you_were_defeated_allied_unfriendly|Úgy hallottam, {s54} legyőzött. Nézd, próbáld meg minél kevesebb emberünket megöletni, rendben?
str_comment_you_were_defeated_allied|Úgy hallottam, {s54} legyőzött. De fel a fejjel - hamarosan fordul a kocka!
str_comment_you_helped_my_ally_unfriendly_chivalrous|Úgy hallottam, {s54} vesztésre állt, de te segítettél neki. Bármit is gondolok rólad, ezért mindenképp meg kell, hogy dicsérjelek.
str_comment_you_helped_my_ally_liege|Úgy hallottam, {s54} vazallusomat megmentetted a valószínű vereségtől.
str_comment_you_helped_my_ally_unfriendly_spiteful|Úgy hallottam, szegény {s54} megmentésére siettél. Azt hitted, valami bajba jutott kisasszony? Nem számít - előfordul az ilyen.
str_comment_you_helped_my_ally_spiteful|Úgy hallottam, {s54} neked köszönhetően megmenekült egy vereségtől. Szerintem hagynod kellett volna, hogy megleckéztessék.
str_comment_you_helped_my_ally_chivalrous|Úgy hallottam, {s54} szorult helyzetből szabadult általad. Nemes cselekedet volt!
str_comment_you_helped_my_ally_default|Úgy hallottam, {s54} nehéz helyzetből szabadult általad. Szép munka!
str_comment_you_were_defeated_allied_unfriendly|Úgy hallottam, {s54} legyőzött. Nézd, ha lehet, minél kevesebb emberünket mészároltasd le, jó?
str_comment_you_were_defeated_allied|Úgy hallottam, {s54} legyőzött. De ne csüggedj, hamarosan fordul a kocka!
str_comment_you_abandoned_us_unfriendly_spiteful|Te féreg! {s54} ellen harcolunk, s te magunkra hagysz minket, mi? Köpök rád!
str_comment_you_abandoned_us_unfriendly_pitiless|Nos... {s54} ellen harcoltunk, te pedig otthagytál minket, nem igaz? A hitszegők sírjában fogsz elrohadni!
str_comment_you_abandoned_us_spiteful|{s54} ellen harcolunk, s te eltűnsz a csata kellős közepén... Remélem, jó magyarázatod van rá. Nem bírta a gyomrod? Túlságosan remegett a kezed, és nem bírtad a fegyvered fogni?
str_comment_you_abandoned_us_chivalrous|Mi történt? {s54} ellen harcoltunk, te pedig eltűntél a csata kellős közepén. Csak azt remélem, oly súlyosan megsebesültél, hogy fel kellett adnod, mivel szégyenteljes lenne egy gyáva oldalán harcolnom.
str_comment_you_abandoned_us_benefitofdoubt|Mi történt? {s54} ellen harcoltunk, te pedig eltűntél a csata kellős közepén. Feltételezem, megsebesültél, de nagyon gyanús dolog volt.
str_comment_you_abandoned_us_default|Mi történt? Az egyik pillanatban még velünk harcolsz {s54} ellen, a következőben pedig hűlt helyed találjuk.
str_comment_you_ran_from_me_enemy_spiteful|Legutóbb, mikor találkoztunk, úgy iszkoltál előlem, mint egy szűkölő kutya. Miért jöttél - ismét megugatni engem, vagy kegyelemért nyüszíteni? 
str_comment_you_ran_from_me_enemy_chivalrous|Legutóbbi találkozásunkkor elmenekültél előlem. Tanulj meg úriemberként harcolni!
str_comment_you_ran_from_me_enemy_benevolent|Midőn láttalak legutóbbi találkozásunkkor menekülni, azt reméltem, nem kell ismét harcolnom veled.
str_comment_you_ran_from_me_enemy_coldblooded|Legutóbb, midőn találkoztunk, elmenekültél előlem. Bölcs döntés volt.
str_comment_you_ran_from_me_enemy|Legutóbb, midőn útjaink keresztezték egymást, tán meg tudtál szökni előlem, de kétlem, hogy legközelebb ily szerencséd lenne.
str_comment_you_ran_from_foe_allied_chivalrous|Azt beszélik, megfutamodtál {s54} elől, embereidet hátrahagyva. Imádkozom, hogy ez ne legyen igaz, mivel ily viselkedés mindkettőnkre szégyent hoz.
str_comment_you_ran_from_foe_allied_upstanding|Azt beszélik, megfutamodtál {s54} elöl, embereidet hátrahagyva. Nem mindig hiszek ily mendemondáknak, s azt is tudom, nehéz helyzet nehéz döntéseket szül. De könyörgöm, vigyázz jobban jó híredre, mivel senki nem akar majd seregeinkben harcolni, ha azt hallják, otthagyod katonáid a csatamezőn.
str_comment_you_ran_from_foe_allied_spiteful|Apropó, azt beszélik, eliszkoltál {s54} elől, mint egy reszkető nyuszi, embereidet otthagyva ebek harmincadjára. Ha! Sokért nem adnám, ha láthattam volna!
str_comment_you_defeated_my_friend_enemy_pragmatic|{s54} fölé kerekedhettél, de mindannyiunkat nem győzheted le.
str_comment_you_defeated_my_friend_enemy_chivalrous|Úgy hallottam, győzelmet arattál {s54} felett, és azóta alig várom, hogy összemérjem erőmet veled.
str_comment_you_defeated_my_friend_enemy_spiteful|A híred megelőzött, {playername}. {s54} bedőlhetett fortélyaidnak, de ha velem megküzdesz, sokkal agyafúrtabb ellenségre lelsz.
str_comment_you_defeated_my_friend_enemy|Azt beszélik, győzelmet arattál {s54} felett. Ám harci tudásodat igazán velem szemben mérheted le.
str_comment_you_captured_a_lord_allied_friendly_spiteful|Úgy hallottam, {s54} a fogságodba került. Remélem, kipréselsz belőle minden dénárt! 
str_comment_you_captured_a_lord_allied_unfriendly_spiteful|Úgy hallottam, {s54} a fogságodba került. A kincsesládád bizonnyal duzzad már a váltságdíjtól. Milyen kár, hogy a pénz nem változtathat egy korcs kutyát nemesemberré!
str_comment_you_captured_a_lord_allied_chivalrous|Úgy hallottam, {s54} a fogságodba került. Nagyszerű. Persze felteszem, rangjának megfelelően bántál vele.
str_comment_you_captured_a_lord_allied|Úgy hallottam, {s54} a fogságodba került. A váltságdíja bizonnyal szép summa volt.
str_comment_you_let_go_a_lord_allied_chivalrous|Úgy hallottam, {s54} a fogságodba került, de elengedted. Ily lovagiasság ügyünk hasznára válik.
str_comment_you_let_go_a_lord_allied_upstanding|Úgy hallottam, {s54} a fogságodba került, de elengedted. Nos, ez tiszteletet érdemlő tett volt, bár veszélyes.
str_comment_you_let_go_a_lord_allied_coldblooded|Úgy hallottam, {s54} a fogságodba került, de elengedted. Nagyon lovagias volt ez tőled, de a lovagiasság nem nyeri meg a háborúkat.
str_comment_you_let_go_a_lord_allied_unfriendly_spiteful|Úgy hallottam, {s54} a fogságodba került, de elengedted. Minő lovagiasság! Bizonyára az özvegyek és árvák, kik útját szegélyezik, személyesen akarják majd ezt neked megköszönni.
str_comment_you_let_go_a_lord_allied|Úgy hallottam, {s54} a fogságodba került, de elengedted. Nos, én nem szólok bele, mit tegyél a foglyaiddal.
str_comment_you_let_me_go_spiteful|Midőn legutóbb találkoztunk, megkegyelmeztél nekem, és szabadon engedtél. Remélem, élvezted a játékot velem, mint macska az egérrel, mert hamarosan én gyakorolhatok kegyet fölötted, hogy kedvemre lemészároljalak vagy megalázzalak.
str_comment_you_let_me_go_enemy_chivalrous|Midőn legutóbb találkoztunk, megkegyelmeztél nekem, és szabadon engedtél. Rendkívül lovagias volt tőled, és nem feledem - de a hűbéruramnak tett esküt sem, mivel királyságaink még harcban állnak.
str_comment_you_let_me_go_enemy_coldblooded|Midőn legutóbb találkoztunk, megkegyelmeztél nekem, és szabadon engedtél. De még ellenségek vagyunk, és nem ígérhetem meg, hogy hasonlóképp viszonzom majd könyörületességedet.
str_comment_you_let_me_go_enemy|Midőn legutóbb találkoztunk, megkegyelmeztél nekem, és szabadon engedtél. Kedves volt tőled. De még hadban állunk.
str_comment_you_let_me_go_default|Midőn legutóbb találkoztunk, megkegyelmeztél nekem, és szabadon engedtél. Kedves volt tőled, s örülök, hogy királyságaink nem állnak már hadban.
str_comment_pledged_allegiance_allied_martial_unfriendly|Úgy hallottam, szövetség köttetett urunk, {s54} és közted. Kérlek, ne hozz szégyenbe minket gyáva módon!
str_comment_pledged_allegiance_allied_martial|Úgy hallottam, szövetség köttetett urunk, {s54} és közted. Alig várom, hogy veled harcoljak ellenségeinkkel szemben.
str_comment_pledged_allegiance_allied_quarrelsome_unfriendly|Úgy hallottam, szövetség köttetett urunk, {s54} és közted. Tégy meg egy szívességet, és ne állj utamba!
str_comment_pledged_allegiance_allied_quarrelsome|Úgy hallottam, szövetség köttetett urunk, {s54} és közted. Harcolj keményen ellenségeinkkel, tiszteld feljebbvalóidat, és ne állj utamba - s jól kijövünk majd.
str_comment_pledged_allegiance_allied_selfrighteous_unfriendly|Úgy hallottam, szövetség köttetett urunk, {s54} és közted. Ha én lettem volna a helyében, a latrina kipucolását sem bíztam volna rád.
str_comment_pledged_allegiance_allied_selfrighteous|Úgy hallottam, szövetség köttetett urunk, {s54} és közted. Ha bátran harcolsz, jól meg leszel jutalmazva. Ám ha elárulsz minket, oly példát statuálunk veled, melyet nem egyhamar felednek el.
str_comment_pledged_allegiance_allied_cunning_unfriendly|Úgy hallottam, szövetség köttetett urunk, {s54} és közted. Nem fogok úgy tenni, mintha örülnék e döntésnek, de tán jobb, ha a mi sátrunkból vizelsz kifelé, mint fordítva.
str_comment_pledged_allegiance_allied_cunning|Úgy hallottam, szövetség köttetett urunk, {s54} és közted. Remek. Minél több képzett harcos van velünk e nehéz időkben, annál jobb. Figyelni fogom tetteid.
str_comment_pledged_allegiance_allied_debauched_unfriendly|Úgy hallottam, szövetség köttetett urunk, {s54} és közted. Bizonyára hamarosan cserbenhagyod őt, s én örömmel fogom nézni, miként pusztul el egy áruló.
str_comment_pledged_allegiance_allied_debauched|Úgy hallottam, szövetség köttetett urunk, {s54} és közted. Nagyszerű... Biztos vagyok benne, hogy te és én nagyon jó barátok leszünk. De ne feledd - ha elárulsz minket, az lesz életed legnagyobb hibája.
str_comment_pledged_allegiance_allied_goodnatured_unfriendly|Úgy hallottam, szövetség köttetett urunk, {s54} és közted. Nos, nem mondhatom, hogy megbízom benned, de talán kiérdemelted, hogy újra fontolóra vegyem.
str_comment_pledged_allegiance_allied_goodnatured|Úgy hallottam, szövetség köttetett urunk, {s54} és közted. Jó {ember/asszony}! Urunk nemes lélek, s a hűséget és hősiességet szívélyesen és nagylelkűen megjutalmazza.
str_comment_pledged_allegiance_allied_upstanding_unfriendly|Úgy hallottam, szövetség köttetett urunk, {s54} és közted. Sajnos abból, amit rólad tudok, azt félem, szégyent hozol ránk, de boldog leszek, ha rám cáfolsz.
str_comment_pledged_allegiance_allied_upstanding|Úgy hallottam, szövetség köttetett urunk, {s54} és közted. Harcolj ellenségeinkkel szemben hősiesen, de becsülettel és könyörülettel. Háborúban a jó hírnév épp annyira fontos, mint az éles kard és a gyors ló.
str_comment_our_king_granted_you_a_fief_allied_friendly_cruel|Úgy hallottam, {s54} adományaként {s51} hűbérbirtokod lett. Ne feledd - bánj takarékosan a korbáccsal, és semmizd ki a parasztot!
str_comment_our_king_granted_you_a_fief_allied_friendly_cynical|Úgy hallottam, {s54} adományaként {s51} hűbérbirtokod lett. Örömmel látom gyarapodásod - de légy óvatos! Az emberek rosszindulatúak, irigyek és kapzsik szomszédaik vagyonára. Maradj a közelemben, s én megvédelek.
str_comment_our_king_granted_you_a_fief_allied_friendly|Úgy hallottam, {s54} adományaként {s51} hűbérbirtokod lett. Virágozzék új területed!
str_comment_our_king_granted_you_a_fief_allied_unfriendly_upstanding|Úgy hallottam, {s54} adományaként {s51} hűbérbirtokod lett. De ne feledd, a büszkeség a bukás előhírnöke.
str_comment_our_king_granted_you_a_fief_allied_unfriendly_spiteful|Úgy hallottam, {s54} adományaként {s51} hűbérbirtokod lett. Bár gyanítom, ez a vagyon csak azért emel fel, hogy annál nagyobb legyen megaláztatásod, midőn visszazuhansz a trágyába, melyből jöttél.
str_comment_our_king_granted_you_a_fief_allied_spiteful|Úgy hallottam, {s54} adományaként {s51} hűbérbirtokod lett. Reménykedjünk, hogy valóban elnyerted urunk kegyét.
str_comment_our_king_granted_you_a_fief_allied|Úgy hallottam, {s54} adományaként {s51} hűbérbirtokod lett. Úgy tűnik, jól boldogulsz.
str_comment_you_renounced_your_alliegance_enemy_friendly|Úgy hallottam, többé nem tekinted {s54} szövetségesének magad. Sajnálom, hogy ezentúl a csatatéren fogunk találkozni.
str_comment_you_renounced_your_alliegance_friendly|Úgy hallottam, többé nem tekinted {s54} szövetségesének magad. Imádkozzunk, hogy ne kelljen megvívnunk egymással.
str_comment_you_renounced_your_alliegance_unfriendly_spiteful|Mindig is tudtam, hogy {s54} árulója leszel, s most úgy látszik, igazam is lett. Remélem, felkészültél, hogy hitszegőként pusztulj el!
str_comment_you_renounced_your_alliegance_unfriendly_moralizing|Úgy hallottam, többé nem tekinted {s54} szövetségesének magad. Kénytelen vagyok árulóként tekinteni rád.
str_comment_you_renounced_your_alliegance_enemy|Úgy hallottam, többé nem tekinted {s54} szövetségesének magad. Nos, ez a világ rendje, a régi bajtársak ellenséggé válnak.
str_comment_you_renounced_your_alliegance_default|Úgy hallottam, többé nem tekinted {s54} szövetségesének magad. Nos, ez a te döntésed, de ne várd el, hogy kíméletesen bánjak veled, ha a harcmezőn találkozunk.
str_comment_you_claimed_the_throne_1_player_liege|Tudósítóim szerint van e birodalomban, ki téged említ következő királyként. Feltételezem, véget fogsz vetni ezen üres és veszélyes fecsegésnek.
str_comment_you_claimed_the_throne_2_player_liege|Tudósítóim szerint néhány társad arról beszél a parasztoknak, hogy magadnak követeled a trónt. Őszintén remélem, hogy nem parancsodra cselekszenek.
str_comment_lord_intervened_against_me|Közismert, hogy {s54} vitába keveredett velem, és {s50}  vetélytársam javára döntött.
str_comment_i_protested_marshall_appointment|Közismert, hogy tiltakoztam {s54} azon döntése ellen, amely {s51} tábornagyi kinevezésére vonatkozott.
str_comment_i_blamed_defeat|Közismert, hogy nem tetszik {s54}  {s51} irányába mutatott kegye, holott ő vezette hadainkat vereségbe {s56} seregek ellenében.
str_comment_i_was_entitled_to_fief|Közismert, hogy {s54} csalódást okozott azzal, hogy elfogadta {s51} hűbérbirtokát, ami engem illetett volna.
str_comment_i_quarreled_with_troop_over_woman|Közismert, hogy {s51} {s54} kezére pályázik, mikor én is neki udvarlok. Nem méltó a figyelmére és meg kívánom tanítani neki, hogy tartson távolságot a hölgytől. 
str_comment_i_quarreled_with_you_over_woman_default|Úgy hallom, {s54} kezére pályázol. Nem hinném, hogy méltó lennél oly szép hölgyre, mint ő, és erősen ajánlom, hogy hagyj fel az udvarlással. 
str_comment_i_quarreled_with_you_over_woman_derisive|Úgy hallom, {s54} kezére pályázol. Hadd mondjak valamit, már fiúkoromban kinéztem őt magamnak, mikor még bakfis volt. Előkelő születésű hölgye birodalmunknak és nem téveszthetik meg egy idegen nyers szándékai. Tratsd magad távol tőle, vagy megfizetsz!
str_comment_player_suggestion_succeeded|Követtem javaslatodat és hasznomra vált tanácsod.
str_comment_player_suggestion_failed|Követtem javaslatodat, ám katasztrófa sült ki belőle, amiért te vagy a felelős.
str_comment_you_enfiefed_a_commoner_hesitant|Úgy értesültem hogy {s51} birtokot a magát {s54} néven szólító közembernek adtad. Légy óvatos. A kormányzás tudománya nem egyszerű feladat és talán jobb, ha az apák adják át e tudást fiuknak. Az tanácsolom, ne bolygasd nagyon a főúri intézményeket. 
str_comment_you_enfiefed_a_commoner_derisive|Úgy értesültem hogy {s51} birtokot a magát {s54} néven szólító közembernek adtad. Hát nem figyelmeztettek minket az őseink, hogy ne varrjunk disznóbőrből királyi palástot?
str_comment_you_enfiefed_a_commoner_nasty|Úgy értesültem, hogy {s51} birtokot a magát {s54} néven szólító közembernek adtad. Jól vigyázz! A kutya könnyen gazdája ellen fordulhat!
str_comment_marriage_normal_family|Gratulálok a(z) {s50} és közted létrejött frigyhez. Immár családunk részének tekintheted magad!
str_comment_marriage_normal|Gratulálok a(z) {s50} és közted létrejött frigyhez. A hír mindkettőtök számára előnyt jelent.
str_comment_marriage_normal_nasty|Nos, látom, immár {s50} hitvesed. Mindig bolond leány volt, megdöbbentően gyenge ítélőképességgel.
str_comment_marriage_elopement_family|Nos... {s50} valahogy kötélnek állt, hogy frigyre lépjen veled. Nem tudom, mit tettél, hogy elfogadta leánykérésed, de csaléádunk sosem feledi ezt a megaláztatást.
str_comment_marriage_elopement_liege|Úgy hallom, te és {s50} megszöktetek. Nem örülök neki Nem szeretem, ha bolondot csinálnak birodalmam legjobb családjaiból.
str_comment_you_broke_truce_as_my_vassal|Úgy hallom, megszegted a fegyverszünetet {s55} megtámadásával. Tudod te, milyen színben tüntet ez fel engem? Ha a parancsaim szerint cselekedtél, tisztességtelennek tűnök, ha nem, hát gyengének. Egyik felem azt mondja, vádoljalak meg árulással itt és most.
str_comment_you_attacked_neutral_as_my_vassal|Úgy hallom, megtámadtad {s55} alattvalóit. Ezzel okot szolgáltattál nekik arra, hogy megtámadjanak, ha akarnak...  Meglátjuk mi lesz ebből. Egy napi pluszmunkát csináltál.
str_personality_archetypes|vazallus
str_martial|harcias
str_quarrelsome|összeférhetetlen
str_selfrighteous|könyörtelen
str_cunning|számító
str_debauched|szadista
str_goodnatured|szívélyes
str_upstanding|őszinte
str_roguish|gaz
str_benevolent|jó szándékú
str_mercantile|pénzsóvár
str_surrender_demand_default|Add meg magad, vagy meghalsz!
str_surrender_demand_martial|Az esélyek ma nem neked kedveznek. Harcolhatsz velünk, de nem válik szégyenedre, ha megadod magad.
str_surrender_demand_quarrelsome|Sarokba szorítottalak. Add fel, vagy eltiporlak, mint egy férget!
str_surrender_demand_pitiless|Nem győzhetsz le - fájdalmas leckét adok, ha megpróbálod! Add meg magad!
str_surrender_demand_cunning|Ma felülmúltalak. Add fel - gondolj embereidre, ha már magaddal nem törődsz!
str_surrender_demand_sadistic|Add meg magad, vagy kibelezlek, mint egy halat!
str_surrender_demand_goodnatured|Mi vagyunk fölényben. Add meg magad, és nem esik bántódásod.
str_surrender_demand_upstanding|Harcolhatsz velünk, de sok embered elesett, és alighanem veszíteni fogsz. Add meg magad, kíméld meg mindkettőnket a fölösleges vérontástól.
str_surrender_offer_default|Elég! Megadom magam!
str_surrender_offer_martial|Elég! Megadom magam!
str_surrender_offer_quarrelsome|Elég volt! Ma legyőztél, te kutya! Ó, minő gyalázat!
str_surrender_offer_pitiless|Megadom magam! Győztél! Átkozott legyen ez a nap.
str_surrender_offer_cunning|Elég! Megadom magam!
str_surrender_offer_sadistic|Feladom! Feladom! Hívd vissza a kutyáidat!
str_surrender_offer_goodnatured|Megadom magam! Gratulálok a győzelmedhez, {uram/hölgyem}!
str_surrender_offer_upstanding|Megadom magam! Hadd tegyem meg becsülettel, és legyen tiéd az érdem!
str_lord_declines_negotiation_offer_default|Az lehet, de én meg kívánok küzdeni veled
str_lord_declines_negotiation_offer_martial|Az lehet, de nekem kötelességem megküzdeni veled
str_lord_declines_negotiation_offer_quarrelsome|Ha! Küzdeni akarok veled
str_lord_declines_negotiation_offer_pitiless|Miért érdekelne ez: küzdeni óhajtok veled
str_lord_declines_negotiation_offer_cunning|Á. Sajnos, amint látod, én meg kívánok küzdeni veled
str_lord_declines_negotiation_offer_sadistic|Már megint ez a nyelv! Rövidesen hasznát veszed majd, midőn kegyelemért esedezel
str_lord_declines_negotiation_offer_goodnatured|Sajnálom, de nem hagyhatom, hogy csak úgy ellovagolj Szent a béke?
str_lord_declines_negotiation_offer_upstanding|Az lehet, de hűbéruramnak tett esküm arra kötelez, hogy megküzdjek veled
str_prisoner_released_default|Hálás vagyok neked, {uram/hölgyem}. Nem fogom elfelejteni jóindulatodat.
str_prisoner_released_martial|Valóban a becsület példaképe vagy, {uram/hölgyem}. Ezt soha nem felejtem el!
str_prisoner_released_quarrelsome|Szabad vagyok? Nos... akkor minden jót.
str_prisoner_released_pitiless|Köszönöm. Majd midőn legyőzetsz, kérni fogom, hogy halálod gyors és kegyes legyen. Hacsak, persze, nem állsz át hozzánk. Addig is, minden jót.
str_prisoner_released_cunning|Valóban? Nemes {férfiú/asszony} vagy. Megpróbálom meghálálni valamiképp.
str_prisoner_released_sadistic|Valóban? Tehát ily kifinomult a kegyetlenséged: inkább látsz szabadon és megalázva, mint láncokban? Élvezd hát ki győzelmedet!
str_prisoner_released_goodnatured|Valóban a becsület példaképe vagy, {uram/hölgyem}. Ezt soha nem felejtem el!
str_prisoner_released_upstanding|Valóban a becsület példaképe vagy, {uram/hölgyem}. Ezt soha nem felejtem el!
str_enemy_meet_default|Ki vagy te, ki haddal jössz ellenem?
str_enemy_meet_martial|Mi a neved, {uram/hölgyem}? Ha már össze kell csapnunk, szeretném tudni, kivel harcolok.
str_enemy_meet_quarrelsome|Hát te meg ki az ördög vagy?
str_enemy_meet_pitiless|Ki vagy te? Beszélj, hadd tudjam meg, kit mészárolok le!
str_enemy_meet_cunning|Áruld el neved. Nem árt ismerni ellenségeinket.
str_enemy_meet_sadistic|Ki vagy te? Gyorsan bökd ki, mielőtt kivágom a nyelved!
str_enemy_meet_goodnatured|Mi a neved, {uram/hölgyem}? Ha már össze kell csapnunk, szeretném tudni, kivel harcolok.
str_enemy_meet_upstanding|Ki vagy te, ki igazamat fegyverrel akarod kétségbe vonni?
str_battle_won_default|Ma bebizonyítottad, hogy becses szövetséges vagy.
str_battle_won_martial|Nincs nagyobb szerencse, mint mikor bebizonyíthatjuk vitézségünket a harcmezőn!
str_battle_won_quarrelsome|Hah! Mutattunk egy-két dolgot azoknak a fattyaknak, nemdebár?
str_battle_won_pitiless|Együtt megtanítjuk ellenségeinknek, hogy féljék nevünket, s jöttünkre meghunyászkodjanak!
str_battle_won_cunning|Nos, most gondoskodnunk kell róla, hogy kihasználjuk előnyünket, így a mai vérontás nem volt hiábavaló.
str_battle_won_sadistic|Most pedig csupaszítsuk le, és hagyjuk a varjakra halottaikat, hogy mindenki tudja, mi vár azokra, kik ellenünkre törnek.
str_battle_won_goodnatured|Jó kis csata volt! Nincs nagyobb öröm a győzelemnél, ne de bár?
str_battle_won_upstanding|Most pedig adjunk hálát az Úrnak győzelmünkért, és gyászoljuk meg a sok jó embert, kik ma elestek.
str_battle_won_grudging_default|Segítségeddel a magunk javára fordítottuk a csatát. Bármit is gondolok rólad, bátorságodat nem vonhatom kétségbe.
str_battle_won_grudging_martial|{playername} - ma bebizonyítottad, hogy kiváló {férfiú/asszony} vagy, bármit is vétettél a múltban.
str_battle_won_grudging_quarrelsome|Hm. Általában nem szívesen látom a képedet, de azt hiszem, most meg kell köszönnöm a segítségedet.
str_battle_won_grudging_pitiless|Rendkívül értékes volt a segítséged. Nem feltételezem, hogy baráti érzületből segítettél, mindazonáltal köszönöm.
str_battle_won_grudging_cunning|Nem lenne bölcs dolog tőlem, ha nem köszönném meg, hogy kihúztál a csávából. Így hát... fogadd hálám.
str_battle_won_grudging_sadistic|Nicsak, mily megható! {playername} eljött, hogy megmentsen!
str_battle_won_grudging_goodnatured|{playername}! Nem mondhatnám, hogy a múltban mindig jól kijöttünk egymással, de ma derekasan harcoltál. Köszönöm neked!
str_battle_won_grudging_upstanding|Lehet, hogy tévedtem veled kapcsolatban. Épp időben érkeztél. Hálás vagyok neked.
str_battle_won_unfriendly_default|Itt vagy hát. Nos, úgy vélem, jobb későn, mint soha.
str_battle_won_unfriendly_martial|Kemény viták dúltak köztünk a múltban, de most élvezzük ki győzelmünket!
